# 由 qingjian-dict-convert 从 Unicode CLDR zh annotations 生成（Unicode License v3）。词\temoji emoji …
0	0⃣
00	🕐 🕑 🕒 🕓 🕔 🕕 🕖 🕗 🕘 🕙 🕚 🕛
1	¹ 1⃣
10	🕥 🕙
100	💯
10:00	🕙
10:30	🕥
11	🕦 🕚
11:00	🕚
11:30	🕦
12	🕧 🕛
1234	🔢
12:00	🕛
12:30	🕧
18禁	🔞
1:00	🕐
1:30	🕜
2	² 2⃣
2:00	🕑
2:30	🕝
3	³ 3⃣
3.5英寸	💾
30	🕟 🕠 🕡 🕢 🕣 🕤 🕜 🕝 🕞 🕥 🕦 🕧
3:00	🕒
3:30	🕞
4	4⃣
4:00	🕓
4:30	🕟
5	5⃣
5:00	🕔
5:30	🕠
6	6⃣
6:00	🕕
6:30	🕡
7	7⃣
7:00	🕖
7:30	🕢
8	8⃣
8:00	🕗
8:30	🕣
8号球	🎱
9	9⃣
9:00	🕘
9:30	🕤
AB型血	🆎
A型血	🅰
B型血	🅱
CL按钮	🆑
DNA	🧬
DVD	📀
ID按钮	🆔
NG按钮	🆖
N元乘积	∏
N元交集	⋂
N元并集	⋃
N元求和	∑
N元逻辑或	⋁
OK	👌
OK手势	🙆
OK手势女	🙆‍♀
OK手势男	🙆‍♂
OK按钮	🆗
SOS按钮	🆘
T恤	👕
VS按钮	🆚
X射线	🩻
a	🅰
ab	🆎
abc	🔤
abcd	🔠 🔡
ab型血	🆎
atm	🏧
a型血	🅰
b	🅱
btc	₿
b型血	🅱
cd	💿
cl	🆑
cl按钮	🆑
cool	🆒
cool按钮	🆒
dna	🧬
dvd	📀
free	🆓
id	🆔 🪪
id按钮	🆔
koko	🈁
k歌	🎤
lgbt	🌈
lol	😂 😆
lolol	🤣
m	Ⓜ
md	💽
minidisk	💽
mini光盘	💽
new按钮	🆕
ng	🆖
ng按钮	🆖
n元乘积	∏
n元交集	⋂
n元并集	⋃
n元求和	∑
n元逻辑或	⋁
o	🅾
ok	👌 🆗 🙆 🙆‍♀ 🙆‍♂
ok手势	🙆
ok手势女	🙆‍♀
ok手势男	🙆‍♂
ok按钮	🆗
ok绷	🩹
on	🔛
o型血	🅾
o形	⭕
pc	💻 🖥
pga	🏌
sa	🈂
sos	🆘
sos按钮	🆘
suv	🚙
t恤	👕
ufo	👽 👾 🛸
up	🆙
up按钮	🆙
vhs	📼
vs	🆚
vs按钮	🆚
v形图案	🔰
wc	😻 🚻 🚽
wi-fi	🛜
wlan	🛜
x射线	🩻
一孩	🧑‍🧑‍🧒 🧑‍🧒
一孩家庭	🧑‍🧑‍🧒
一心多用	🤹 🤹‍♂
一条面包	🍞
一杯奶	🥛
一杯威士忌	🥃
一点	🕐 🤏
一点半	🕜
一点点	🤏
一片式	🩱 🩲
一片比萨	🍕
一片派	🥧
一片蛋糕	🍰
一男一女	👫
一百分	💯
一箭穿心	💘
一脚蹬	🥿
一言为定	🤝
一锅食物	🍲
一面老一面嫩的煎蛋	🍳
七夕	🎋
七夕树	🎋
七点	🕖
七点半	🕢
万圣节	🍫 🍬 🎃 🐈‍⬛ 👻 🧛 🧟
万字夹	📎 🖇
万龙属	🦕
三冠	🏇
三叉戟	🔱 🧜
三叉戟徽章	🔱
三叶草	☘
三撇	‴
三日月	🌒
三明治	🥪
三点	🕒
三点半	🕞
三点式	👙
三种	🤟
三线	≡
三脚鸡	🛺
三角	📐 ∆ ⏭ ⏮ ⏯
三角尺	📐
三角形	🔺 🔻
