# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
㘎	v. roar
㙘	adj. beautiful
㙦	n. mound
㛃	adj. pure
㛚	adj. same
㛹	adj. beautiful
㠇	n. mountain
㠓	adj. misty
㤘	v. to be stubborn
㥄	adj. sad
㧐	v. to push
㧑	v. wave
㧟	v. to scratch
㫰	v. dry
㬊	adj. bright
㬚	adj. bright
㭎	n. oak
㭕	n. tree
㰀	v. drink
㳇	n. wave
㳘	n. sound
㳚	n. puddle
㴔	adj. swift
㵐	v. dry
㶲	n. exergy
㸆	v. roast
㸌	adj. bright
㺄	n. beast
㽏	n. bowl
㿠	adj. bright
䁖	v. look
䂮	n. sharp
䃅	n. stone
䃎	n. stone
䅟	n. grain
䌹	n. thin silk
䎃	adj. soft
䎖	v. soar
䏝	n. intestine
䏡	n. meat
䏲	n. thin
䐃	n. fat
䓖	n. grass
䓛	n. chrysene
䓨	n. basket
䓫	n. grass
䓬	n. tropane
䗖	n. rainbow
䗛	n. stick insect
䗪	n. cockroach
䗴	n. insect
䜣	n. Xin
䝙	n. beast
䢺	n. place
䢼	n. tripod
䣘	n. village
䥽	n. hoe
䦃	n. hoe
䲟	n. remora
䲠	n. Spanish mackerel
䲢	n. stargazer
䴓	n. nuthatch
䴔	n. bird
䴕	n. woodpecker
䴖	n. bird
䴗	n. bird
䴘	n. grebe
䴙	n. grebe
一	num. one
一一	adv. one by one
一一七中学	n. No. 117 Middle School
一一生绿苔	phr. moss grows everywhere
一丁	m. one block
一丁点	n. a bit
一丁点儿	phr. a tiny bit
一万	num. ten thousand
一万个	num. ten thousand
一万倍	n. ten thousand times
一万元	n. ten thousand yuan
一万多	phr. over ten thousand
一万年	n. ten thousand years
一万次	phr. ten thousand times
一万遍	phr. ten thousand times
一丈	m. one zhang
一上午	n. whole morning
一上来	adv. at first
一上班	v. start work
一下	m. once	m. a bit
一下下	phr. a little while
一下么	phr. a bit
一下了	phr. for a while
一下午	n. whole afternoon
一下吧	phr. just do it
一下啊	phr. a bit
一下嘛	phr. just a bit
一下子	adv. suddenly	adv. at once
一下就	phr. in a flash
一下而已	phr. just a moment
一下雨	phr. when it rains
一不小心	phr. carelessly
一不留神	phr. carelessly
一专多能	phr. versatile
一世	n. lifetime	n. generation
一丘一壑	phr. secluded
一丘之貉	phr. birds of a feather
一丝	m. a trace of
一丝一毫	phr. a bit
一丝不挂	phr. stark naked
一丝不苟	phr. meticulous
一丝丝	m. a tiny bit
一丢丢	phr. a tiny bit
一两	num. one or two
一两个	num. one or two
一两个月	phr. one or two months
一两天	n. a day or two
一两年	phr. one or two years
一两次	phr. once or twice
一个	m. one
一个一个	phr. one by one
一个世纪	phr. a century
一个个	phr. one by one
一个中国	phr. One China
一个人	n. one person
一个人吃	phr. eat alone
一个人啊	phr. alone
一个人的	phr. alone
一个人睡	phr. sleep alone
一个人走	phr. walk alone
一个亿	phr. one hundred million
一个例子	phr. an example
一个冬天	n. one winter
一个分支	phr. a branch
一个劲	adv. continuously
一个劲儿	adv. continuously
一个包	phr. a bag
一个区	phr. a district
一个半	num. one and a half
一个半个	phr. one or two
一个县	phr. a county
一个吃货	phr. a foodie
一个同学	phr. a classmate
一个吻	phr. a kiss
一个啊	phr. one
一个团	phr. a regiment
一个国家	phr. a country
一个地方	phr. a place
一个城市	phr. a city
一个多月	phr. more than a month
一个女人	n. a woman
一个女儿	phr. a daughter
一个女子	phr. a woman
一个女孩	phr. a girl
一个女生	phr. a girl
一个女的	phr. a woman
一个好人	phr. a good person
一个好的	phr. a good one
一个字	phr. one character	phr. one word
一个孩子	phr. a child
一个家	phr. a home
一个小孩	phr. a child
一个小时	n. one hour
一个小镇	phr. a small town
一个市	phr. a city
一个心眼儿	phr. single-minded
一个愿望	n. a wish
一个故事	phr. a story
一个新的	phr. a new one
一个星期	phr. one week
一个是	phr. one is
一个晚上	n. one night
一个普通	phr. an ordinary
一个暑假	n. a summer vacation
一个月	phr. one month
一个月了	phr. one month
一个月内	phr. within a month
一个月前	phr. a month ago
一个月后	phr. one month later
一个朋友	phr. a friend
一个机会	phr. a chance
一个村	phr. a village
一个样	phr. the same
一个没有	phr. none
一个游戏	phr. a game
一个独立	phr. an independent
一个班	phr. a class
一个球	n. a ball
一个理由	n. a reason
一个男人	phr. a man
一个男子	n. a man
一个目标	phr. one goal
一个省	n. a province
一个苹果	phr. an apple
一个萝卜一个坑	phr. one for each
一个角色	n. a role
一个词	n. a word
一个赞	phr. a like
一个道理	phr. the same principle
一个都没	phr. not a single one
一个钟	phr. one hour
一个问题	phr. a question
一个陌生	phr. a stranger
一个非	phr. a non-
一中	n. No.1 Middle School
一串	m. a string of
一串红大造桥虫	n. salvia looper
一串红小地老虎	n. salvia cutworm
一串红朱砂叶螨	n. salvia spider mite
一串红白粉虱	n. salvia whitefly
一串红白粉蝶	n. salvia white butterfly
一串红绿盲蝽	n. salvia green mirid bug
一串红银纹夜蛾	n. salvia silver Y moth
一串铃法	phr. chain method
一为迁客去长沙	phr. once exiled to Changsha
一举	adv. at one stroke
一举一动	phr. every move
一举成功	phr. succeed at first try
一举成名	phr. become famous overnight
一举成名天下知	phr. become famous overnight
一举累十觞	phr. one toast after another
一之濑	n. Ichinose
一书	n. a book
一书中	phr. in a book
一了百了	phr. end it all
一争高低	phr. compete
一事	n. matter
一事一议制度	n. one-vote system
一事不再理	phr. ne bis in idem
一事无成	phr. accomplish nothing
一事无成百不堪	phr. utter failure
一二	num. one or two
一二三	num. one two three
一二九街	n. 129 Street
一二八纪念路	n. January 28 Memorial Road
一二条社区	n. Yiertiao Community
一二档	n. first and second gear
一五一十	phr. in full detail
一些	m. some
一些东西	phr. some things
一些事	phr. some things
一些事情	phr. some things
一些人	n. some people
一些问题	phr. some problems
一亩园	n. Yimu Garden
一亩园社区	n. Yimuyuan community
一人	n. one person
一人之下	phr. under one person
一人之下万人之上	phr. above all but one
一人做事一人当	phr. bear one's own responsibility
一人巷	n. alley
一人得道	phr. one person attains enlightenment
一亿	num. 100 million
一介书生	phr. a mere scholar
一从大地起风雷	phr. when thunder rises
一代	n. generation
一代不如一代	phr. each generation worse
一代人	n. generation
一代新人换旧人	phr. new generation replaces old
