# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词|假名	[词性. ]译词|假名
㑇	n. 㑇
㑊	n. 㑊
㕮	v. 噛む|かむ
㘎	v. ほえる|ほえる
㙍	n. 㙍|た
㙘	adj. 美しい|うつくしい
㙦	n. 塚|つか
㛃	adj. 潔い|きよい
㛚	adj. 同じ|おなじ
㛹	adj. 美しい|うつくしい
㟃	n. 㟃|し
㠇	n. 山|やま
㠓	adj. 霧深い|きりぶかい
㤘	v. 頑固である|がんこである
㥄	adj. 悲しい|かなしい
㧐	v. 押す|おす
㧑	v. 振る|ふる
㧟	v. かく|かく
㫰	v. 干す|ほす
㬊	adj. 明るい|あかるい
㬎	n. 㬎|けん
㬚	adj. 明るい|あかるい
㭎	n. 樫|かし
㭕	n. 木|き
㮾	n. 㮾|ろう
㰀	v. 飲む|のむ
㳇	n. 波|なみ
㳘	n. 音|おと
㳚	n. 水たまり|みずたまり
㴔	adj. 速い|はやい
㵐	v. 干す|ほす
㶲	n. エクセルギー|エクセルギー
㸆	v. 焼く|やく
㸌	adj. 明るい|あかるい
㺄	n. 獣|けもの
㻬	n. 㻬|しょ
㽏	n. 碗|わん
㿠	adj. 明るい|あかるい
䁖	v. 見る|みる
䂮	n. 鋭い|するどい
䃅	n. 石|いし
䃎	n. 石|いし
䅟	n. 穀物|こくもつ
䌹	n. 薄絹|うすぎぬ
䎃	adj. 柔らかい|やわらかい
䎖	v. 舞い上がる|まいあがる
䏝	n. 腸|ちょう
䏡	n. 肉|にく
䏲	n. 痩せた|やせた
䐃	n. 脂肪|しぼう
䓖	n. 草|くさ
䓛	n. クリセン|くりせん
䓨	n. かご|かご
䓫	n. 草|くさ
䓬	n. トロパン|とろぱん
䗖	n. 虹|にじ
䗛	n. ナナフシ|ななふし
䗪	n. ゴキブリ|ゴキブリ
䗴	n. 虫|むし
䜣	n. 欣|きん
䝙	n. 獣|けもの
䢺	n. 場所|ばしょ
䢼	n. 鼎|かなえ
䣘	n. 村|むら
䥽	n. くわ|くわ
䦃	n. 鍬|くわ
䲟	n. コバンザメ|こばんざめ
䲠	n. サワラ|さわら
䲢	n. ミシマオコゼ|ミシマオコゼ
䴓	n. ゴジュウカラ|ごじゅうから
䴔	n. 鳥|とり
䴕	n. キツツキ|キツツキ
䴖	n. 鳥|とり
䴗	n. 鳥|とり
䴘	n. カイツブリ|かいつぶり
䴙	n. カイツブリ|カイツブリ
䶮	n. 䶮|えん
一	num. 一|いち
一一	adv. 一つ一つ|ひとつひとつ
一一七中学	n. 一一七中学|いちいちななちゅうがく
一一如青虫	phr. 一々青虫の如し|いちいちあおむしのごとし
一一生绿苔	phr. 一面に苔が生える|いちめんにこけがはえる
一丁	m. 一丁|いっちょう
一丁点	n. ほんの少し|ほんのすこし
一丁点儿	phr. ほんの少し|ほんのすこし
一万	num. 一万|いちまん
一万个	num. 一万個|いちまんこ
一万倍	n. 一万倍|いちまんばい
一万元	n. 一万元|いちまんげん
一万多	phr. 一万以上|いちまんいじょう
一万年	n. 一万年|いちまんねん
一万年太久	phr. 一万年は長すぎる|いちまんねんはながすぎる
一万次	phr. 一万回|いちまんかい
一万遍	phr. 一万回|いちまんかい
一丈	m. 一丈|いちじょう
一上午	n. 午前中|ごぜんちゅう
一上来	adv. 最初に|さいしょに
一上班	v. 出勤する|しゅっきんする
一下	m. ちょっと|ちょっと
一下下	phr. ちょっと|ちょっと
一下么	phr. ちょっと|ちょっと
一下了	phr. ちょっと|ちょっと
一下午	n. 午後ずっと|ごごずっと
一下吗	phr. ちょっと？
一下吧	phr. やってみよう|やってみよう
一下啊	phr. ちょっと|ちょっと
一下嘛	phr. ちょっとだけ|ちょっとだけ
一下子	adv. 一気に|いっきに
一下就	phr. 一瞬で|いっしゅんで
一下而已	phr. ちょっとだけ|ちょっとだけ
一下雨	phr. 雨が降ると|あめがふると
一不做二不休	phr. やるからには最後まで|やるからにはさいごまで
一不小心	phr. うっかり|うっかり
一不留神	phr. うっかり|うっかり
一专多能	phr. 多才多芸|たさいたげい
一世	n. 一世|いっせい
一丘一壑	phr. 隠遁|いんとん
一丘一壑也风流	phr. 一丘一壑も風流|いっきゅういっかくもふうりゅう
一丘之貉	phr. 同類|どうるい
一丛深色花	phr. 一叢の濃い色の花|いっそうのこいいろのはな
一丝	m. 一筋|ひとすじ
一丝一毫	phr. 少しも|すこしも
一丝不挂	phr. 一糸まとわぬ|いっしまとわぬ
一丝不苟	phr. 細心|さいしん
一丝丝	m. ほんの少し|ほんのすこし
一丢丢	phr. ほんの少し|ほんのすこし
一两天	n. 一両日|いちりょうじつ
一个	m. 一つ|ひとつ
一个一个	phr. 一つ一つ|ひとつひとつ
一个世纪	phr. 一世紀|いっせいき
一个个	phr. 一人一人|ひとりひとり
一个中国	phr. 一つの中国|ひとつのちゅうごく
一个人	n. 一人|ひとり
一个人吃	phr. 一人で食べる|ひとりでたべる
一个人吗	phr. 一人ですか|ひとりですか
一个人啊	phr. 一人だ|ひとりだ
一个人的	phr. 一人の|ひとりの
