# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
aa	n. AA
aaa	n. AAA
aaai	n. AAAI
aachen	n. 亚琛
aah	int. 啊
aaliyah	n. 阿莉娅
aaron	n. 亚伦
ab	n. 腹部
aba	n. 美国律师协会
abab	n. ABAB
aback	adv. 向后
abacus	n. 算盘
abadbabe	n. abadbabe
abalone	n. 鲍鱼
abandon	v. 放弃	v. 抛弃
abandoned	adj. 被抛弃的
abandoning	v. 放弃
abandonment	n. 放弃	n. 遗弃
abandons	v. 放弃
abate	v. 减少	v. 减轻
abated	v. 减弱
abatement	n. 减少	n. 减轻
abattoir	n. 屠宰场
abbas	n. 阿巴斯
abbess	n. 女修道院院长
abbey	n. 修道院
abbot	n. 修道院院长
abbott	n. 雅培
abbreviated	adj. 缩写
abbreviation	n. 缩写
abbreviations	n. 缩写
abby	n. 艾比
abc	n. ABC
abcba	n. abcba
abcd	n. ABCD
abcde	n. abcde
abcdef	n. abcdef
abcdefg	n. abcdefg
abcdefgh	n. abcdefgh
abcdefghi	n. 无
abcdefghij	n. 无
abcdefghijk	n. 无
abcdefghijkl	n. 无
abcdefghijklm	n. 无
abcdefghijklmn	n. 无
abcdefghijklmno	n. 无
abcdefghijklmnop	n. 无
abcdefghijklmnopq	n. 无
abcdefghijklmnopqr	n. 无
abcdefghijklmnopqrs	n. 无
abcdefghijklmnopqrst	n. 无
abcdefghijklmnopqrstu	n. 无
abcdefghijklmnopqrstuv	n. 无
abcdefghijklmnopqrstuvw	n. 无
abcdefghijklmnopqrstuvwx	n. 无
abcdefghijklmnopqrstuvwxy	n. 无
abcdefghijklmnopqrstuvwxyz	n. 字母表
abcs	n. 基础知识
abdicate	v. 退位	v. 放弃
abdicated	v. 退位
abdication	n. 退位
abdomen	n. 腹部
abdominal	adj. 腹部的
abduct	v. 绑架
abducted	v. 绑架
abducting	v. 绑架
abduction	n. 绑架
abductions	n. 绑架
abdul	n. 阿卜杜勒
abe	n. 亚伯
abed	adv. 在床上
abel	n. 亚伯
aberdeen	n. 阿伯丁
abernathy	n. 阿伯内西
aberrant	adj. 异常的
aberration	n. 畸变	n. 偏差
aberrations	n. 畸变
abetted	v. 教唆	v. 怂恿
abetting	v. 教唆
abhor	v. 憎恶
abhorrent	adj. 可恶的
abide	v. 遵守
abides	v. 遵守	v. 容忍
abiding	adj. 持久的
abidjan	n. 阿比让
abigail	n. 阿比盖尔
abilene	n. 阿比林
abilities	n. 能力
ability	n. 能力
abject	adj. 悲惨的
ablation	n. 消融
ablaze	adj. 着火的
able	adj. 能够的
ably	adv. 能干地
abm	n. 反导
abner	n. 阿布纳
abnf	n. 增强巴科斯范式
abnormal	adj. 异常的
abnormalities	n. 异常
abnormality	n. 异常
abnormally	adv. 异常地
aboard	adv. 在船上
abode	n. 住所
abolish	v. 废除
abolished	v. 废除
abolishing	v. 废除
abolition	n. 废除
abolitionist	n. 废奴主义者
abolitionists	n. 废奴主义者
abominable	adj. 可恶的
abomination	n. 憎恶
abominations	n. 憎恶
aboriginal	adj. 土著
aboriginals	n. 原住民
aborigines	n. 土著
abort	v. 中止
abortable	adj. 可中止的
aborted	v. 中止
abortion	n. 堕胎
abortions	n. 堕胎
abortive	adj. 失败的
abound	v. 丰富
abounds	v. 充满
about	prep. 关于	prep. 大约
above	prep. 在...上面
abraham	n. 亚伯拉罕
abram	n. 亚伯兰
abrams	n. 艾布拉姆斯
abrasion	n. 磨损	n. 擦伤
abrasions	n. 擦伤
abrasive	adj. 磨蚀的	adj. 粗糙的
abreast	adv. 并肩
abridged	adj. 删节的
abroad	adv. 国外
abrupt	adj. 突然的
abruptly	adv. 突然
abs	n. 防抱死系统
abscess	n. 脓肿
absence	n. 缺席	n. 缺乏
absences	n. 缺席
absent	adj. 缺席的
absentee	n. 缺席者
absenteeism	n. 旷工
absinthe	n. 苦艾酒
absolute	adj. 绝对
absolutely	adv. 绝对地	adv. 完全地
absolution	n. 赦免
absolve	v. 赦免
absolved	v. 赦免
absorb	v. 吸收
absorbed	adj. 专注的
absorbent	adj. 吸收的
absorber	n. 吸收器
absorbers	n. 吸收器
absorbing	adj. 吸引人的
absorbs	v. 吸收
