category	records	distinct_forms	txt_bytes	tsv_bytes
01_characters/standard_8105	8105	8105	32616	444922
01_characters/level1_3500	3500	3500	14000	191451
01_characters/level2_3000	3000	3000	12003	165061
01_characters/level3_1605	1605	1605	6613	88526
02_common/modern_chinese_common_words	56064	55735	439090	2039761
03_domains/IT与计算机	15999	15999	209928	452213
03_domains/财经	3830	3830	40310	96824
03_domains/成语	8519	8519	115370	243278
03_domains/地名	44804	44804	512657	1133568
03_domains/历史人物	13658	13658	123731	313432
03_domains/诗词名句	13703	13703	264965	445486
03_domains/医学	18749	18749	256013	515102
03_domains/饮食	8974	8974	116065	243515
03_domains/法律	9896	9896	244805	386659
03_domains/汽车	1752	1752	25983	51822
03_domains/动物	17287	17287	283394	510768
