rank	main_form	variant
697	年轻	年青
3253	当作	当做
5054	看作	看做
5924	含义	涵义
6106	座位	坐位
6172	作主	做主
6449	交代	交待
6729	盈利	赢利
8171	唯有	惟有
11047	执著	执着
11107	作声	做声
13207	致词	致辞
14340	暗淡	黯淡
14721	唯恐	惟恐
16642	翔实	详实
17453	磨炼	磨练
20263	约摸	约莫
23558	托词	托辞
26622	冷战	冷颤
29555	启航	起航
30272	号啕	嚎啕
30659	小题大作	小题大做
31899	奢糜	奢靡
33395	寒战	寒颤
34051	号哭	嚎哭
35038	撑竿跳高	撑杆跳高
35194	返照	反照
35288	唯我独尊	惟我独尊
35330	词藻	辞藻
35335	呆会儿	待会儿
35611	赠予	赠与
35797	打战	打颤
35913	轶闻	逸闻
36398	义正词严	义正辞严
36811	故步自封	固步自封
37009	洄游	回游
39046	脖梗儿	脖颈儿
40064	瑜伽	瑜珈
40160	疾恶如仇	嫉恶如仇
42990	启行	起行
44092	承想	成想
46830	漫说	慢说
48280	吃里爬外	吃里扒外
48384	糨糊	浆糊
49290	雪里蕻	雪里红
50140	调包	掉包
50183	故伎	故技
53352	邈远	渺远
54065	鱼汛	渔汛
55088	巴儿狗	叭儿狗
55763	啰唆	啰嗦
55776	糜费	靡费
55910	仔鸡	子鸡
55939	泥子	腻子
55947	下三烂	下三滥
55975	唯一	惟一
