word	pinyin	rank	doc_freq	level	source
的	de	1			liuxilu
是	shi4	2			liuxilu
在	zai4	3			liuxilu
一	yi1	4			liuxilu
不	bu4	5			liuxilu
有	you3	6			liuxilu
这	zhe4	7			liuxilu
个	ge4	8			liuxilu
上	shang4	9			liuxilu
也	ye3	10			liuxilu
他	ta1	11			liuxilu
人	ren2	12			liuxilu
就	jiu4	13			liuxilu
对	dui4	14			liuxilu
说	shuo1	15			liuxilu
我	wo3	16			liuxilu
要	yao4	17			liuxilu
到	dao4	18			liuxilu
大	da4	19			liuxilu
我们	wo3'men	20			liuxilu
多	duo1	21			liuxilu
把	ba3	22			liuxilu
来	lai2	23			liuxilu
等	deng3	24			liuxilu
年	nian2	25			liuxilu
两	liang3	26			liuxilu
从	cong2	27			liuxilu
而	er2	28			liuxilu
能	neng2	29			liuxilu
又	you4	30			liuxilu
他们	ta1'men	31			liuxilu
以	yi3	32			liuxilu
时	shi2	33			liuxilu
没有	mei2'you3	34			liuxilu
会	hui4	35			liuxilu
之	zhi1	36			liuxilu
但	dan4	37			liuxilu
三	san1	38			liuxilu
被	bei4	39			liuxilu
很	hen3	40			liuxilu
下	xia4	41			liuxilu
自己	zi4'ji3	42			liuxilu
后	hou4	43			liuxilu
中国	zhong1'guo2	44			liuxilu
并	bing4	45			liuxilu
使	shi3	46			liuxilu
向	xiang4	47			liuxilu
已	yi3	48			liuxilu
出	chu1	49			liuxilu
用	yong4	50			liuxilu
新	xin1	51			liuxilu
所	suo3	52			liuxilu
里	li3	53			liuxilu
给	gei3	54			liuxilu
她	ta1	55			liuxilu
更	geng4	56			liuxilu
次	ci4	57			liuxilu
最	zui4	58			liuxilu
于	yu2	59			liuxilu
可以	ke3'yi3	60			liuxilu
可	ke3	61			liuxilu
去	qu4	62			liuxilu
由	you2	63			liuxilu
问题	wen4'ti2	64			liuxilu
小	xiao3	65			liuxilu
工作	gong1'zuo4	66			liuxilu
让	rang4	67			liuxilu
其	qi2	68			liuxilu
你	ni3	69			liuxilu
这个	zhe4'ge	70			liuxilu
生活	sheng1'huo2	71			liuxilu
起	qi3	72			liuxilu
这样	zhe4'yang4	73			liuxilu
天	tian1	74			liuxilu
它	ta1	75			liuxilu
高	gao1	76			liuxilu
做	zuo4	77			liuxilu
家	jia1	78			liuxilu
已经	yi3'jing	79			liuxilu
再	zai4	80			liuxilu
或	huo4	81			liuxilu
才	cai2	82			liuxilu
前	qian2	83			liuxilu
走	zou3	84			liuxilu
这些	zhe4'xie1	85			liuxilu
一些	yi1'xie1	86			liuxilu
却	que4	87			liuxilu
二	er4	88			liuxilu
条	tiao2	89			liuxilu
位	wei4	90			liuxilu
起来	qi3'lai2	91			liuxilu
各	ge4	92			liuxilu
成	cheng2	93			liuxilu
什么	shen2'me	94			liuxilu
元	yuan2	95			liuxilu
现在	xian4'zai4	96			liuxilu
社会	she4'hui4	97			liuxilu
比	bi3	98			liuxilu
同	tong2	99			liuxilu
四	si4	100			liuxilu
关系	guan1'xi4	101			liuxilu
名	ming2	102			liuxilu
想	xiang3	103			liuxilu
如	ru2	104			liuxilu
第一	di4'yi1	105			liuxilu
因为	yin1'wei4	106			liuxilu
该	gai1	107			liuxilu
开始	kai1'shi3	108			liuxilu
许多	xu3'duo1	109			liuxilu
内	nei4	110			liuxilu
时间	shi2'jian1	111			liuxilu
人们	ren2'men	112			liuxilu
今天	jin1'tian1	113			liuxilu
国家	guo2'jia1	114			liuxilu
本	ben3	115			liuxilu
点	dian3	116			liuxilu
思想	si1'xiang3	117			liuxilu
至	zhi4	118			liuxilu
此	ci3	119			liuxilu
一定	yi1'ding4	120			liuxilu
如果	ru2'guo3	121			liuxilu
副	fu4	122			liuxilu
无	wu2	123			liuxilu
张	zhang1	124			liuxilu
同时	tong2'shi2	125			liuxilu
需要	xu1'yao4	126			liuxilu
月	yue4	127			liuxilu
则	ze2	128			liuxilu
重要	zhong4'yao4	129			liuxilu
为了	wei4'le	130			liuxilu
日	ri4	131			liuxilu
老	lao3	132			liuxilu
就是	jiu4'shi4	133			liuxilu
作	zuo4	134			liuxilu
五	wu3	135			liuxilu
人民	ren2'min2	136			liuxilu
事	shi4	137			liuxilu
认为	ren4'wei2	138			liuxilu
成为	cheng2'wei2	139			liuxilu
像	xiang4	140			liuxilu
北京	bei3'jing1	141			liuxilu
历史	li4'shi3	142			liuxilu
水	shui3	143			liuxilu
方面	fang1'mian4	144			liuxilu
情况	qing2'kuang4	145			liuxilu
而且	er2'qie3	146			liuxilu
党	dang3	147			liuxilu
学生	xue2'sheng1	148			liuxilu
每	mei3	149			liuxilu
这里	zhe4'li3	150			liuxilu
但是	dan4'shi4	151			liuxilu
孩子	hai2'zi3	152			liuxilu
可能	ke3'neng2	153			liuxilu
发生	fa1'sheng1	154			liuxilu
必须	bi4'xu1	155			liuxilu
