word	pinyin	rank	doc_freq	level	source
信鸽			220963		THUOCL
黄蜂			118861		THUOCL
水母			78147		THUOCL
野猫			62065		THUOCL
宠物狗			56875		THUOCL
母狗			56087		THUOCL
毛毛虫			48631		THUOCL
猎豹			48451		THUOCL
犀牛			46120		THUOCL
萨摩			44748		THUOCL
狼狗			40979		THUOCL
喜鹊			40321		THUOCL
梅花鹿			37159		THUOCL
牡蛎			34448		THUOCL
毛驴			32969		THUOCL
母牛			31741		THUOCL
野牛			27896		THUOCL
多宝鱼			23907		THUOCL
小蜜蜂			22680		THUOCL
猿人			21112		THUOCL
猎狗			20562		THUOCL
小尾寒羊			18980		THUOCL
金枪鱼			18892		THUOCL
大黄蜂			18504		THUOCL
墨鱼			17270		THUOCL
扇贝			16676		THUOCL
毛滴虫			16392		THUOCL
鸰			14603		THUOCL
小雀			13089		THUOCL
苏眉			12152		THUOCL
狼犬			11704		THUOCL
黄粉虫			11209		THUOCL
野菊花			11043		THUOCL
夜鹰			10533		THUOCL
导盲犬			10113		THUOCL
猫科动物			9462		THUOCL
利木赞牛			9371		THUOCL
目鱼			9329		THUOCL
文金			9087		THUOCL
越前龙			8739		THUOCL
野驴			8582		THUOCL
瓢虫			8236		THUOCL
九间			7969		THUOCL
软体动物			7579		THUOCL
鹡鸰			7500		THUOCL
蝇蛆			6580		THUOCL
家鸡			6433		THUOCL
河蚌			6090		THUOCL
全蝎			6068		THUOCL
刺参			5577		THUOCL
灵长类动物			5575		THUOCL
鹮			5069		THUOCL
囊虫			4996		THUOCL
杜泊绵羊			4587		THUOCL
小鲤			4440		THUOCL
毛蟹			4343		THUOCL
鹩哥			4205		THUOCL
喷毒眼镜蛇			4150		THUOCL
文蛤			3950		THUOCL
斗牛犬			3940		THUOCL
野牦牛			3938		THUOCL
鸮			3886		THUOCL
寄居蟹			3675		THUOCL
鹦哥			3500		THUOCL
画眉鸟			3483		THUOCL
苏格兰牧羊犬			3261		THUOCL
台鸽			3222		THUOCL
狮子狗			3184		THUOCL
抹香鲸			3138		THUOCL
桃花水母			3114		THUOCL
小鸥			2963		THUOCL
小野猪			2901		THUOCL
五步蛇			2888		THUOCL
花寨			2819		THUOCL
疟原虫			2736		THUOCL
濒危野生动物			2726		THUOCL
野生大熊猫			2660		THUOCL
青波			2656		THUOCL
克隆牛			2647		THUOCL
珠鸡			2641		THUOCL
木回			2595		THUOCL
猫鱼			2595		THUOCL
鱼胆			2549		THUOCL
种公猪			2508		THUOCL
灰鹤			2354		THUOCL
雄蜂			2307		THUOCL
杜宾犬			2297		THUOCL
纯种波尔山羊			2223		THUOCL
中白鹭			2210		THUOCL
卷尾			2152		THUOCL
阴道毛滴虫			2134		THUOCL
紫贝			2005		THUOCL
鮰鱼			1976		THUOCL
萨摩耶犬			1970		THUOCL
杜泊羊			1859		THUOCL
滩羊			1794		THUOCL
钱鼠			1734		THUOCL
浮游动物			1699		THUOCL
轮虫			1679		THUOCL
元谋人			1673		THUOCL
生牡蛎			1631		THUOCL
折耳猫			1597		THUOCL
南非波尔山羊			1430		THUOCL
林雕			1413		THUOCL
角鲸			1386		THUOCL
象拔蚌			1384		THUOCL
魟			1378		THUOCL
犬科动物			1334		THUOCL
萨摩犬			1314		THUOCL
地鳖			1310		THUOCL
犀鸟			1303		THUOCL
前翅			1227		THUOCL
斑点叉尾鮰			1226		THUOCL
鹰科			1224		THUOCL
亚纲			1201		THUOCL
嘉好			1172		THUOCL
玛瑙红			1164		THUOCL
朱文锦			1144		THUOCL
白缘			1142		THUOCL
乳宝			1127		THUOCL
德国小蠊			1123		THUOCL
人工鱼礁			1106		THUOCL
中国鸟			1100		THUOCL
韭菜子			1046		THUOCL
药用动物			1045		THUOCL
牛头犬			1044		THUOCL
奇迹龙			1030		THUOCL
牛目			1018		THUOCL
灰鹅			1014		THUOCL
卤虫			1005		THUOCL
夏过			986		THUOCL
膜管			954		THUOCL
柯基犬			952		THUOCL
缬草			946		THUOCL
昆虫及			923		THUOCL
烂草黄			917		THUOCL
小鹿犬			916		THUOCL
皂角刺			915		THUOCL
红蟹			915		THUOCL
油葫芦			907		THUOCL
志贺氏菌			899		THUOCL
鱼狗			899		THUOCL
点眼丛			898		THUOCL
黄蝶			891		THUOCL
五指毛桃			889		THUOCL
利木赞肉牛			884		THUOCL
鹰身女妖			879		THUOCL
莴笋叶			873		THUOCL
蜡膜			872		THUOCL
秦川牛			871		THUOCL
虫媒传染			863		THUOCL
灵长目动物			862		THUOCL
蚿			862		THUOCL
黄占			850		THUOCL
赤眼蜂			839		THUOCL
营养性疾病			837		THUOCL
鮀			836		THUOCL
兀龙			834		THUOCL
回声定位			833		THUOCL
紫印			826		THUOCL
叫姑姑			825		THUOCL
闭壳龟			824		THUOCL
中猴			818		THUOCL
樱桃谷鸭			816		THUOCL
鱼浆			814		THUOCL
迎燕			812		THUOCL
漏芦			811		THUOCL
星虫			806		THUOCL
泉龙			804		THUOCL
毛霉			803		THUOCL
喜乐蒂牧羊犬			798		THUOCL
植龙			797		THUOCL
菌体蛋白			796		THUOCL
牵牛子			792		THUOCL
四值			791		THUOCL
灯蛾			787		THUOCL
杂骨			781		THUOCL
黑漂			765		THUOCL
朗德鹅			761		THUOCL
裂殖			757		THUOCL
远程鸽			747		THUOCL
肉驴			745		THUOCL
台湾牛			741		THUOCL
长毛猫			735		THUOCL
角甲			733		THUOCL
猎狐犬			731		THUOCL
硬鳞			729		THUOCL
狮子滚绣球			727		THUOCL
沙苑子			726		THUOCL
钱串子			725		THUOCL
鱼胶原蛋白			725		THUOCL
威尔士柯基			721		THUOCL
动物克隆			706		THUOCL
转节			703		THUOCL
外套膜			702		THUOCL
毛冠鹿			701		THUOCL
冠毛犬			694		THUOCL
印随			693		THUOCL
夜行性动物			692		THUOCL
偶蹄动物			688		THUOCL
乾泰			680		THUOCL
珍菊降压片			673		THUOCL
新疆虎			668		THUOCL
南猿			665		THUOCL
恐龙足迹			659		THUOCL
牡鹿			659		THUOCL
岩鸽			656		THUOCL
蒙古草原狼			653		THUOCL
英国古代牧羊犬			647		THUOCL
灰鲸			644		THUOCL
玳玳花			644		THUOCL
苏格兰折耳猫			644		THUOCL
莽牯朱蛤			641		THUOCL
滑子蘑			637		THUOCL
空肠弯曲菌			635		THUOCL
小瓜虫			633		THUOCL
杂食性动物			633		THUOCL
鹿科动物			629		THUOCL
毛翅			628		THUOCL
蚦			628		THUOCL
魔蜥			628		THUOCL
椰心叶甲			625		THUOCL
黑犀牛			623		THUOCL
檞寄生			621		THUOCL
喹乙醇			616		THUOCL
披毛犀			615		THUOCL
分蜂			614		THUOCL
根霉			613		THUOCL
两栖爬行动物			609		THUOCL
钓鱼岛列岛			605		THUOCL
食虫植物			592		THUOCL
嗜盐菌			590		THUOCL
印支虎			580		THUOCL
纽芬兰犬			579		THUOCL
亚单位疫苗			577		THUOCL
腔棘鱼			575		THUOCL
台湾石			567		THUOCL
魾			566		THUOCL
幽蝶			565		THUOCL
有袋类			565		THUOCL
威尔士柯基犬			563		THUOCL
几维			559		THUOCL
猫爪草			555		THUOCL
铅丹			554		THUOCL
赤潮生物			553		THUOCL
恐龙脚印			550		THUOCL
榛鸡			550		THUOCL
水墨黑			550		THUOCL
恒温动物			549		THUOCL
媒介生物			545		THUOCL
脑脊髓液			541		THUOCL
鮟鱇			541		THUOCL
布偶猫			539		THUOCL
偶蹄类			537		THUOCL
车轮虫			531		THUOCL
露脊鲸			530		THUOCL
石苇			528		THUOCL
施计谋			526		THUOCL
美利奴羊			520		THUOCL
犬瘟热病毒			518		THUOCL
三叶虫化石			516		THUOCL
胃毒作用			506		THUOCL
英国斗牛犬			505		THUOCL
雄蚕蛾			504		THUOCL
海刺参			503		THUOCL
茺蔚子			502		THUOCL
俞君英			499		THUOCL
小杜鹃			493		THUOCL
山东省海洋与渔业厅			487		THUOCL
喹烯酮			483		THUOCL
独角犀牛			482		THUOCL
野牛草			479		THUOCL
灰蝶			478		THUOCL
鱼医			478		THUOCL
大骨鸡			475		THUOCL
小萨摩			470		THUOCL
新城疫病毒			468		THUOCL
闲角			468		THUOCL
冠鹤			464		THUOCL
疟蚊			464		THUOCL
脚圈			456		THUOCL
中国小鲵			453		THUOCL
枪猎犬			451		THUOCL
自贡恐龙博物馆			449		THUOCL
孢子虫病			444		THUOCL
商品鹅			442		THUOCL
鹿衔草			442		THUOCL
眼虫			440		THUOCL
摇蚊			439		THUOCL
保洁净			426		THUOCL
偶蹄目			419		THUOCL
闭壳肌			419		THUOCL
窄谱			417		THUOCL
晶体敌百虫			415		THUOCL
牛蝇			413		THUOCL
岗梅			408		THUOCL
潜叶蝇			408		THUOCL
迷你杜宾			405		THUOCL
防止虐待动物协会			404		THUOCL
中国猫			403		THUOCL
中华对角羚			398		THUOCL
梅花鹿之乡			398		THUOCL
法国斗牛犬			398		THUOCL
苏格兰梗			398		THUOCL
贝希摩斯			396		THUOCL
长江水产研究所			396		THUOCL
椰子蟹			395		THUOCL
盐酸金刚烷胺			394		THUOCL
小尾寒羊养殖			393		THUOCL
山地大猩猩			393		THUOCL
牦牛毛			391		THUOCL
贾第虫			387		THUOCL
清江鱼			384		THUOCL
苏柏羊齿			384		THUOCL
山羌			380		THUOCL
鮠			379		THUOCL
中国冠毛犬			374		THUOCL
感觉管			374		THUOCL
灵枢经			373		THUOCL
牛鲨			373		THUOCL
鸻			370		THUOCL
全虾			366		THUOCL
高效氯氰菊酯			365		THUOCL
占有面积			364		THUOCL
拳参			364		THUOCL
小膜			361		THUOCL
蠪侄			357		THUOCL
超远程鸽			355		THUOCL
养鱼经			354		THUOCL
陆生脊椎动物			352		THUOCL
蠵			351		THUOCL
指狗			350		THUOCL
昆虫病毒			350		THUOCL
全息胚			349		THUOCL
澳大利亚更			347		THUOCL
栉孔扇贝			345		THUOCL
舟蛾			342		THUOCL
清远麻鸡			337		THUOCL
蓝喜鹊			337		THUOCL
窃蛋龙			333		THUOCL
短尾猿			325		THUOCL
眼蝶			323		THUOCL
迟发型变态反应			323		THUOCL
转基因猪			322		THUOCL
野木瓜			322		THUOCL
恐龙足迹化石			321		THUOCL
洋杜鹃			319		THUOCL
恐怖虫			318		THUOCL
世界动物日			317		THUOCL
前胸背板			315		THUOCL
水稻病虫害防治			311		THUOCL
牛科动物			308		THUOCL
瓣胃			300		THUOCL
白颊长臂猿			299		THUOCL
蠵龟			299		THUOCL
高位奖			299		THUOCL
孤雌生殖			296		THUOCL
新灰			293		THUOCL
国家重点保护野生动物名录			290		THUOCL
鹰眼睛			290		THUOCL
英国可卡犬			289		THUOCL
新加坡动物园			287		THUOCL
东北梅花鹿			286		THUOCL
生态效率			285		THUOCL
辐射对称			282		THUOCL
三角帆蚌			280		THUOCL
吃猫鼠			279		THUOCL
黑白魔			279		THUOCL
复方磺胺甲噁唑			277		THUOCL
红詹森			277		THUOCL
涡虫			275		THUOCL
彩虹精灵			272		THUOCL
西部高地白梗			272		THUOCL
蚁蚕			270		THUOCL
独居动物			269		THUOCL
食用鸽			269		THUOCL
宠物饰品			268		THUOCL
皇家极地海洋世界			267		THUOCL
模式动物			264		THUOCL
中华蜜蜂			263		THUOCL
直翅目			263		THUOCL
委陵菜			261		THUOCL
腊玛古猿			261		THUOCL
鮋			261		THUOCL
列文虎克			259		THUOCL
宠物健康护理员			258		THUOCL
溪蟹			256		THUOCL
苇莺			256		THUOCL
鸟类栖息地			254		THUOCL
鲁西牛			253		THUOCL
河源龙			251		THUOCL
鸊鷉			250		THUOCL
胫节			249		THUOCL
梅鱼			248		THUOCL
鹟			246		THUOCL
盆景猫			242		THUOCL
象鼻蚌			242		THUOCL
短尾猫			239		THUOCL
石金钱			239		THUOCL
非洲野猫			239		THUOCL
蒙托克怪兽			238		THUOCL
婴猴			236		THUOCL
蒙古红			235		THUOCL
毒獴			234		THUOCL
水陆两栖动物			232		THUOCL
海绵动物			231		THUOCL
蚖			231		THUOCL
小瓜虫病			230		THUOCL
九孔鲍			229		THUOCL
对转子			229		THUOCL
黄缘盒龟			229		THUOCL
猫眼草			228		THUOCL
恶性疟原虫			227		THUOCL
蛙战			222		THUOCL
硬珊瑚			218		THUOCL
约克夏梗			218		THUOCL
欧洲野牛			217		THUOCL
旧院黑鸡			214		THUOCL
豨莶草			214		THUOCL
员工幸福			212		THUOCL
液体蛋氨酸			211		THUOCL
白眉长臂猿			211		THUOCL
芦淞市场			211		THUOCL
药物耐受性			211		THUOCL
狗摇尾巴			210		THUOCL
松鼠尾			209		THUOCL
狸奴			209		THUOCL
德保矮马			207		THUOCL
亚河豚			206		THUOCL
转基因牛			206		THUOCL
海洋软体动物			205		THUOCL
台乌药			204		THUOCL
日本犬			204		THUOCL
有袋类动物			204		THUOCL
聚维酮碘溶液			204		THUOCL
宠物公墓			203		THUOCL
旅鸽			203		THUOCL
武安山羊			202		THUOCL
禄丰龙			202		THUOCL
黑胸大蠊			202		THUOCL
纯种德国牧羊犬			201		THUOCL
仙蝶			200		THUOCL
摇蚊幼虫			200		THUOCL
照夜玉狮子			200		THUOCL
舞毒蛾			200		THUOCL
毒饵站			197		THUOCL
二溴海因			196		THUOCL
一角鲸			195		THUOCL
中杜鹃			194		THUOCL
古虫			193		THUOCL
替卡西林			193		THUOCL
指示犬			191		THUOCL
显著性影响			190		THUOCL
箱水母			190		THUOCL
虐龙			190		THUOCL
防御行为			188		THUOCL
几维鸟			187		THUOCL
凹甲陆龟			187		THUOCL
指示猎犬			186		THUOCL
粉尘螨			186		THUOCL
喜马拉雅猫			183		THUOCL
切叶蚁			179		THUOCL
心要正			179		THUOCL
森林古猿			179		THUOCL
科尔沁牛			179		THUOCL
螠			177		THUOCL
地中海实蝇			176		THUOCL
遗欧			176		THUOCL
车轮虫病			175		THUOCL
借腹怀胎			173		THUOCL
氯化烯			173		THUOCL
潜鸟			173		THUOCL
特异性免疫应答			173		THUOCL
小鸊鷉			172		THUOCL
梨小食心虫			172		THUOCL
石金钱龟			172		THUOCL
蓝舌病病毒			172		THUOCL
塔里木马鹿			171		THUOCL
缅陆			171		THUOCL
南露脊鲸			170		THUOCL
中华曙猿			169		THUOCL
乳酸环丙沙星			169		THUOCL
古杯			169		THUOCL
蝜蝂			168		THUOCL
鮊			168		THUOCL
硬壳虫			167		THUOCL
赤颈			167		THUOCL
古盗鸟			166		THUOCL
尾芽			166		THUOCL
牡丹虾			166		THUOCL
习鱼			164		THUOCL
