word	pinyin	rank	doc_freq	level	source
发展			1934814		THUOCL
部门			1709250		THUOCL
政府			1617499		THUOCL
经济			1396619		THUOCL
服务			1386428		THUOCL
公司			1321922		THUOCL
实现			1062326		THUOCL
市场			1053266		THUOCL
评论			928410		THUOCL
支持			894755		THUOCL
机构			813966		THUOCL
能力			804674		THUOCL
资源			801625		THUOCL
计划			800718		THUOCL
系统			777566		THUOCL
分享			723186		THUOCL
产品			719918		THUOCL
网络			663485		THUOCL
提升			641506		THUOCL
报告			611089		THUOCL
产业			581292		THUOCL
执行			549104		THUOCL
行业			535867		THUOCL
需求			519652		THUOCL
调整			513431		THUOCL
方案			500356		THUOCL
委员会			499583		THUOCL
集团			494981		THUOCL
利益			494930		THUOCL
主席			478947		THUOCL
经营			477651		THUOCL
统计			474538		THUOCL
时代			459135		THUOCL
力度			458479		THUOCL
收入			454330		THUOCL
生态			454142		THUOCL
购买			444238		THUOCL
机会			441735		THUOCL
近年来			426768		THUOCL
推出			421029		THUOCL
规范			417118		THUOCL
价值			414827		THUOCL
国务院			401496		THUOCL
有限公司			391133		THUOCL
金融			387290		THUOCL
出台			385053		THUOCL
数量			381076		THUOCL
银行			379949		THUOCL
民生			370864		THUOCL
费用			356236		THUOCL
近期			352723		THUOCL
风险			349681		THUOCL
设立			342330		THUOCL
通道			330021		THUOCL
协议			327937		THUOCL
创造			327349		THUOCL
强化			324692		THUOCL
操作			323394		THUOCL
升级			322319		THUOCL
消费			320540		THUOCL
救援			315250		THUOCL
商业			310880		THUOCL
财政			310711		THUOCL
美元			309822		THUOCL
损失			306594		THUOCL
律师			306161		THUOCL
优惠			299489		THUOCL
推荐			294602		THUOCL
突破			293449		THUOCL
年度			284721		THUOCL
治理			284407		THUOCL
注册			279362		THUOCL
标签			274313		THUOCL
批准			272761		THUOCL
开通			270250		THUOCL
上升			268597		THUOCL
渠道			265759		THUOCL
查询			264946		THUOCL
交易			258370		THUOCL
支付			257507		THUOCL
达成			253153		THUOCL
承诺			250046		THUOCL
淘宝			243835		THUOCL
环保			243716		THUOCL
登记			242799		THUOCL
博客			239679		THUOCL
趋势			235572		THUOCL
配置			232905		THUOCL
论坛			230780		THUOCL
违规			219598		THUOCL
金额			217979		THUOCL
调研			214890		THUOCL
机场			213710		THUOCL
低于			213321		THUOCL
商品			211512		THUOCL
贸易			209462		THUOCL
工资			206254		THUOCL
能源			204053		THUOCL
指标			202623		THUOCL
评估			196520		THUOCL
保险			191092		THUOCL
出口			189527		THUOCL
退出			188537		THUOCL
财产			188180		THUOCL
专题			187620		THUOCL
总经理			186634		THUOCL
环球			186290		THUOCL
合同			185744		THUOCL
研发			182626		THUOCL
财经			181639		THUOCL
上涨			180105		THUOCL
超标			173842		THUOCL
董事长			173750		THUOCL
考核			168674		THUOCL
补贴			167303		THUOCL
计算			167280		THUOCL
现金			166097		THUOCL
房地产			165034		THUOCL
上市			164509		THUOCL
资本			164069		THUOCL
贷款			157760		THUOCL
资产			152477		THUOCL
行情			151568		THUOCL
分配			150441		THUOCL
理财			149719		THUOCL
投诉			149228		THUOCL
预期			148653		THUOCL
信号			148613		THUOCL
委托			145542		THUOCL
红包			144047		THUOCL
鉴定			141081		THUOCL
当事人			138850		THUOCL
经理			138005		THUOCL
案例			137595		THUOCL
预算			136927		THUOCL
起诉			136753		THUOCL
客服			136711		THUOCL
特权			135674		THUOCL
预测			134893		THUOCL
差距			133647		THUOCL
态势			133384		THUOCL
高层			127007		THUOCL
进口			126374		THUOCL
浮动			126231		THUOCL
前景			125542		THUOCL
微软			125352		THUOCL
总额			124821		THUOCL
披露			124277		THUOCL
座谈会			123984		THUOCL
利润			123856		THUOCL
竞价			122529		THUOCL
支出			122388		THUOCL
竞争力			121982		THUOCL
融资			121957		THUOCL
繁荣			121844		THUOCL
审核			119170		THUOCL
股份			118020		THUOCL
收取			117667		THUOCL
初始			117023		THUOCL
指数			117017		THUOCL
效应			116080		THUOCL
福利			116074		THUOCL
补偿			114081		THUOCL
潜力			113012		THUOCL
短期			110737		THUOCL
季度			110195		THUOCL
品种			108775		THUOCL
级别			106729		THUOCL
幅度			106332		THUOCL
出售			104773		THUOCL
黄金			104145		THUOCL
