word	pinyin	rank	doc_freq	level	source
土豆			1777511		THUOCL
苹果			1143881		THUOCL
蛋糕			815478		THUOCL
牛奶			708129		THUOCL
面包			593637		THUOCL
豆腐			511649		THUOCL
萝卜			494881		THUOCL
巧克力			373599		THUOCL
点心			345920		THUOCL
火锅			324863		THUOCL
海鲜			309902		THUOCL
葡萄酒			298849		THUOCL
包子			288537		THUOCL
馒头			245498		THUOCL
羊肉			242351		THUOCL
柠檬			216416		THUOCL
香蕉			213220		THUOCL
淀粉			207643		THUOCL
酱油			169116		THUOCL
核桃			166694		THUOCL
饮用水			164027		THUOCL
鸳鸯			159379		THUOCL
青团			157219		THUOCL
米饭			154542		THUOCL
酸奶			153794		THUOCL
豆浆			149318		THUOCL
白糖			148447		THUOCL
方便面			147895		THUOCL
可口可乐			147493		THUOCL
乙醇			145895		THUOCL
红柿			145302		THUOCL
普洱茶			143106		THUOCL
西红柿			142633		THUOCL
茅台			138697		THUOCL
鱼类			137579		THUOCL
磷酸			131081		THUOCL
托盘			128371		THUOCL
青梅			127492		THUOCL
沙拉			121544		THUOCL
奶油			115847		THUOCL
石膏			114616		THUOCL
石榴			113867		THUOCL
豆油			112470		THUOCL
奶酪			110257		THUOCL
青菜			110184		THUOCL
奶茶			109759		THUOCL
肉眼			107745		THUOCL
木耳			107136		THUOCL
铁板			105443		THUOCL
生姜			102878		THUOCL
黄豆			102012		THUOCL
三七			101601		THUOCL
烤肉			101498		THUOCL
大肉			100457		THUOCL
洋葱			94307		THUOCL
娃哈哈			92268		THUOCL
香菇			90300		THUOCL
松花			89074		THUOCL
川菜			88350		THUOCL
海带			86704		THUOCL
五粮液			85600		THUOCL
鱿鱼			80989		THUOCL
山药			80972		THUOCL
聚乙烯			80610		THUOCL
橄榄油			78094		THUOCL
冬瓜			77776		THUOCL
果后			76813		THUOCL
韭菜			73374		THUOCL
纯净水			72812		THUOCL
狗肉			71864		THUOCL
甘露			70746		THUOCL
冰点			69573		THUOCL
豆芽			69507		THUOCL
释迦			68944		THUOCL
比萨			67765		THUOCL
糖水			67043		THUOCL
胡萝卜素			65636		THUOCL
香草			65497		THUOCL
藏宝			65341		THUOCL
泡菜			65243		THUOCL
铁观音			63823		THUOCL
鱼头			62089		THUOCL
鲜奶			61845		THUOCL
盐酸			61337		THUOCL
油条			60357		THUOCL
叶酸			60269		THUOCL
虾米			59446		THUOCL
防腐剂			58724		THUOCL
稻谷			58325		THUOCL
粤菜			56098		THUOCL
磷脂			56076		THUOCL
健力			55428		THUOCL
香肠			54730		THUOCL
桔子			53939		THUOCL
烟熏			53502		THUOCL
花生油			53311		THUOCL
康师傅			52243		THUOCL
健力宝			51986		THUOCL
香菜			51824		THUOCL
鸡尾酒			50476		THUOCL
全聚德			50028		THUOCL
咖啡因			49733		THUOCL
劲风			49128		THUOCL
二氧化硫			48550		THUOCL
猪肝			48176		THUOCL
馄饨			47850		THUOCL
威士忌			47814		THUOCL
冷面			46887		THUOCL
面皮			45060		THUOCL
烧肉			44694		THUOCL
咖喱			44292		THUOCL
山鸡			43818		THUOCL
紫菜			43488		THUOCL
百事可乐			42999		THUOCL
米线			42854		THUOCL
黄油			42522		THUOCL
米粥			42118		THUOCL
乌龙茶			40948		THUOCL
烤箱			40543		THUOCL
猕猴桃			40357		THUOCL
家常菜			40327		THUOCL
果肉			40084		THUOCL
冰激凌			39999		THUOCL
米面			39952		THUOCL
三明治			39511		THUOCL
带鱼			38818		THUOCL
大丰收			38682		THUOCL
千张			36875		THUOCL
芭蕉			36594		THUOCL
生菜			36564		THUOCL
酥油			36432		THUOCL
肉干			36094		THUOCL
牛肉面			35230		THUOCL
抗氧化剂			35141		THUOCL
煎饼			35051		THUOCL
清汤			34726		THUOCL
湘菜			34695		THUOCL
莱姆			34632		THUOCL
露丝			34254		THUOCL
耗油			34174		THUOCL
海盐			34140		THUOCL
黑豆			34082		THUOCL
腊肉			33516		THUOCL
臭豆腐			33437		THUOCL
糖浆			32781		THUOCL
寸金			32606		THUOCL
柠檬汁			32311		THUOCL
白果			32255		THUOCL
天麻			32128		THUOCL
老酒			31942		THUOCL
富春			31867		THUOCL
花菜			31772		THUOCL
贵州茅台			31714		THUOCL
油茶			31552		THUOCL
雪梨			31016		THUOCL
布丁			30974		THUOCL
铁蛋			30400		THUOCL
杂碎			30171		THUOCL
咖啡豆			29973		THUOCL
红葡萄酒			29031		THUOCL
明胶			28935		THUOCL
酒肉			28866		THUOCL
棉花糖			28824		THUOCL
杜康			28676		THUOCL
滑石粉			28537		THUOCL
柑桔			28535		THUOCL
源通			28403		THUOCL
二锅头			28401		THUOCL
葡萄干			28287		THUOCL
莲藕			28154		THUOCL
凉粉			27336		THUOCL
梨子			27097		THUOCL
芥末			27080		THUOCL
芝士			26879		THUOCL
芦笋			26473		THUOCL
碳酸钙			26283		THUOCL
烤鱼			26183		THUOCL
麻辣烫			26155		THUOCL
水蜜桃			25919		THUOCL
油酸			25725		THUOCL
乙酸			25313		THUOCL
培根			25241		THUOCL
炸食			25204		THUOCL
柠檬酸			25107		THUOCL
扣肉			24839		THUOCL
牛乳			24808		THUOCL
杏子			24620		THUOCL
凉菜			24317		THUOCL
掌上明珠			24313		THUOCL
果胶			24303		THUOCL
茶汤			24191		THUOCL
白油			24097		THUOCL
核桃仁			23843		THUOCL
鸭肉			23567		THUOCL
草鱼			23528		THUOCL
满汉全席			23527		THUOCL
番茄酱			23451		THUOCL
大富豪			23198		THUOCL
干红			22958		THUOCL
伏特加			22922		THUOCL
酒酿			22449		THUOCL
甜瓜			22252		THUOCL
糙米			22027		THUOCL
火腿肠			21994		THUOCL
无花果			21847		THUOCL
牛肉干			21765		THUOCL
辣子			21685		THUOCL
黑森林			21636		THUOCL
三文鱼			21433		THUOCL
乳酸钙			21233		THUOCL
涮羊肉			20883		THUOCL
鱼丸			20880		THUOCL
水煮鱼			20850		THUOCL
龙井茶			20837		THUOCL
绿豆汤			20591		THUOCL
马仔			20367		THUOCL
鹅肉			19948		THUOCL
双喜临门			19717		THUOCL
碧螺春			19041		THUOCL
金枪鱼			18892		THUOCL
粉条			18601		THUOCL
石蜡			18534		THUOCL
乳猪			18458		THUOCL
肉末			18380		THUOCL
清酒			18268		THUOCL
奇异果			18250		THUOCL
白肉			18220		THUOCL
稳定剂			18183		THUOCL
菜籽油			18002		THUOCL
意大利面			17941		THUOCL
牛油			17754		THUOCL
松风			17730		THUOCL
霸王别姬			17700		THUOCL
茶多酚			17598		THUOCL
菱角			17591		THUOCL
酒廊			17409		THUOCL
墨鱼			17270		THUOCL
豆豉			17211		THUOCL
豆腐干			17156		THUOCL
猪血			17151		THUOCL
人参果			17079		THUOCL
驴肉			17022		THUOCL
金玉满堂			17009		THUOCL
油面			16924		THUOCL
葱段			16903		THUOCL
扇贝			16676		THUOCL
泸州老窖			16618		THUOCL
八宝饭			16555		THUOCL
凉皮			16550		THUOCL
山核桃			16434		THUOCL
洋河			16433		THUOCL
国珍			16360		THUOCL
哈密瓜			16348		THUOCL
鱼生			16293		THUOCL
脐橙			16269		THUOCL
红油			16219		THUOCL
红果			16174		THUOCL
西湖龙井			16106		THUOCL
大团圆			16042		THUOCL
红椒			15894		THUOCL
煮鸡蛋			15864		THUOCL
大红袍			15862		THUOCL
薏仁			15847		THUOCL
海红			15798		THUOCL
春卷			15691		THUOCL
新红			15682		THUOCL
驼峰			15464		THUOCL
西兰花			15428		THUOCL
伯顿			15323		THUOCL
黄粉			15315		THUOCL
港红			15225		THUOCL
狗不理			15159		THUOCL
椒盐			15133		THUOCL
