word	pinyin	rank	doc_freq	level	source
毛泽东			61678		THUOCL
胡锦涛			58429		THUOCL
普京			49718		THUOCL
温家宝			48611		THUOCL
赵本山			43172		THUOCL
马英九			39748		THUOCL
孙子			35988		THUOCL
唐师曾			34352		THUOCL
陆军			33698		THUOCL
郭晶晶			32920		THUOCL
约翰			30339		THUOCL
元和			30207		THUOCL
周恩来			29617		THUOCL
林彪			25916		THUOCL
田间			25541		THUOCL
庄则栋			25496		THUOCL
高昂			25250		THUOCL
希拉里			25169		THUOCL
李鹏			23608		THUOCL
克林顿			22089		THUOCL
潘基文			21464		THUOCL
雷锋			21162		THUOCL
孔子			20933		THUOCL
汪洋			19675		THUOCL
邓小平			19616		THUOCL
诺贝尔			19013		THUOCL
布什			18703		THUOCL
穆罕默德			18331		THUOCL
默克尔			18272		THUOCL
威廉			16117		THUOCL
乔治			16047		THUOCL
王毅			15544		THUOCL
罗马			15286		THUOCL
罗伯特			14633		THUOCL
迈克尔			14508		THUOCL
陈水扁			14173		THUOCL
马克			13791		THUOCL
詹姆斯			13757		THUOCL
米歇尔			12581		THUOCL
蒋介石			12454		THUOCL
亚历山大			12426		THUOCL
鲁迅			12366		THUOCL
张扬			12199		THUOCL
戴维			11952		THUOCL
孙中山			11919		THUOCL
保罗			11731		THUOCL
金正日			11351		THUOCL
毛岸英			11291		THUOCL
奥斯卡			11242		THUOCL
马丁			10422		THUOCL
李斌			10290		THUOCL
光绪			10210		THUOCL
布朗			10130		THUOCL
盖茨			10107		THUOCL
比尔			10099		THUOCL
李强			9897		THUOCL
彼得			9895		THUOCL
李娜			9838		THUOCL
马云			9832		THUOCL
福布斯			9794		THUOCL
康熙			9760		THUOCL
艾哈迈德			9717		THUOCL
福特			9586		THUOCL
苏醒			9569		THUOCL
嫦娥			9317		THUOCL
白求恩			9084		THUOCL
孙俪			8710		THUOCL
大卫			8613		THUOCL
王刚			8505		THUOCL
托马斯			8396		THUOCL
袁隆平			8258		THUOCL
爱德华			8254		THUOCL
