word	pinyin	rank	doc_freq	level	source
坚定不移			54113		THUOCL
随时随地			52510		THUOCL
全力以赴			36156		THUOCL
丰富多彩			34727		THUOCL
余波未平			32967		THUOCL
脱颖而出			31974		THUOCL
实事求是			31565		THUOCL
一如既往			30338		THUOCL
众所周知			29469		THUOCL
一年一度			29188		THUOCL
因地制宜			27805		THUOCL
千方百计			27561		THUOCL
息息相关			25804		THUOCL
层出不穷			25301		THUOCL
引人注目			24076		THUOCL
当务之急			22965		THUOCL
滥用职权			22885		THUOCL
深入人心			22071		THUOCL
解放思想			21847		THUOCL
见义勇为			21157		THUOCL
敲诈勒索			20827		THUOCL
名不虚传			20236		THUOCL
来之不易			20180		THUOCL
名副其实			20015		THUOCL
下落不明			19848		THUOCL
坚持不懈			19818		THUOCL
源源不断			19395		THUOCL
络绎不绝			19137		THUOCL
弄虚作假			19010		THUOCL
不可思议			18980		THUOCL
不正之风			18949		THUOCL
小心翼翼			18841		THUOCL
长治久安			18732		THUOCL
如火如荼			18585		THUOCL
不折不扣			18574		THUOCL
后顾之忧			18005		THUOCL
纸醉金迷			17612		THUOCL
力所能及			17518		THUOCL
供不应求			17422		THUOCL
一目了然			17310		THUOCL
显而易见			17273		THUOCL
持之以恒			16953		THUOCL
成千上万			16698		THUOCL
大街小巷			16354		THUOCL
可想而知			16264		THUOCL
安居乐业			16133		THUOCL
齐心协力			15972		THUOCL
得天独厚			15675		THUOCL
一见钟情			15636		THUOCL
艰苦奋斗			15564		THUOCL
全心全意			15503		THUOCL
独一无二			15496		THUOCL
不约而同			15230		THUOCL
紧锣密鼓			15200		THUOCL
五花八门			15109		THUOCL
一应俱全			15089		THUOCL
应运而生			14881		THUOCL
与众不同			14801		THUOCL
触目惊心			14766		THUOCL
屡见不鲜			14553		THUOCL
无独有偶			14457		THUOCL
行之有效			14353		THUOCL
不知不觉			14263		THUOCL
大势所趋			14236		THUOCL
千家万户			14142		THUOCL
心有余悸			13820		THUOCL
不得而知			13727		THUOCL
前所未有			13620		THUOCL
迫不及待			13603		THUOCL
雪上加霜			13570		THUOCL
迫在眉睫			13502		THUOCL
此起彼伏			13494		THUOCL
脚踏实地			13433		THUOCL
意想不到			13303		THUOCL
错综复杂			13132		THUOCL
无可厚非			13090		THUOCL
源远流长			13043		THUOCL
举一反三			13004		THUOCL
循序渐进			12875		THUOCL
不遗余力			12844		THUOCL
不言而喻			12652		THUOCL
讨价还价			12516		THUOCL
深恶痛绝			12511		THUOCL
三位一体			12414		THUOCL
截然不同			12326		THUOCL
记忆犹新			12263		THUOCL
喜闻乐见			12230		THUOCL
家喻户晓			12098		THUOCL
日新月异			12066		THUOCL
取而代之			12053		THUOCL
莫名其妙			11999		THUOCL
名列前茅			11993		THUOCL
排忧解难			11980		THUOCL
各式各样			11976		THUOCL
玩忽职守			11949		THUOCL
任重道远			11946		THUOCL
奋发有为			11859		THUOCL
举足轻重			11820		THUOCL
比比皆是			11743		THUOCL
卓有成效			11730		THUOCL
落地生根			11714		THUOCL
势在必行			11637		THUOCL
史无前例			11636		THUOCL
理所当然			11591		THUOCL
耳熟能详			11453		THUOCL
由来已久			11434		THUOCL
一模一样			11401		THUOCL
厉行节约			11378		THUOCL
恶性循环			11335		THUOCL
铤而走险			11292		THUOCL
举世瞩目			11230		THUOCL
再接再厉			11218		THUOCL
足不出户			11172		THUOCL
翻天覆地			11138		THUOCL
非同寻常			11077		THUOCL
挨家挨户			11057		THUOCL
不翼而飞			11020		THUOCL
参差不齐			10983		THUOCL
水涨船高			10972		THUOCL
沸沸扬扬			10931		THUOCL
先发制人			10913		THUOCL
轩然大波			10893		THUOCL
出人意料			10861		THUOCL
土生土长			10861		THUOCL
统筹兼顾			10847		THUOCL
明察暗访			10825		THUOCL
刻不容缓			10797		THUOCL
融为一体			10758		THUOCL
焕然一新			10740		THUOCL
以身作则			10717		THUOCL
潜移默化			10707		THUOCL
风口浪尖			10663		THUOCL
有条不紊			10326		THUOCL
归根结底			10289		THUOCL
发扬光大			10276		THUOCL
旗帜鲜明			10236		THUOCL
