word	pinyin	rank	doc_freq	level	source
版权			13204281		THUOCL
证券			5744085		THUOCL
房地产			5638548		THUOCL
制度			5358541		THUOCL
模式			4565906		THUOCL
改革			4468819		THUOCL
权利			4193817		THUOCL
监督			3393811		THUOCL
规范			3247208		THUOCL
守法			3056429		THUOCL
法院			2568854		THUOCL
侵犯			2472282		THUOCL
收购			2083165		THUOCL
非法			2060497		THUOCL
上市公司			1873713		THUOCL
违法			1735551		THUOCL
执法			1363564		THUOCL
有关部门			1346085		THUOCL
债券			1290637		THUOCL
披露			1261363		THUOCL
专利			1187911		THUOCL
董事长			1132889		THUOCL
招标			1024560		THUOCL
签约			993894		THUOCL
欺诈			864056		THUOCL
冷静			857233		THUOCL
院长			848044		THUOCL
协商			837393		THUOCL
全国人大常委会			795474		THUOCL
省委			771238		THUOCL
有限责任公司			738488		THUOCL
门户网站			709334		THUOCL
债务			703307		THUOCL
保险公司			696568		THUOCL
判决			693724		THUOCL
汇报			692029		THUOCL
新股			649361		THUOCL
承包			643225		THUOCL
生效			621858		THUOCL
市场经济			620032		THUOCL
拆迁			608452		THUOCL
查处			595249		THUOCL
标注			577717		THUOCL
章程			552307		THUOCL
缺陷			551600		THUOCL
默认			529996		THUOCL
宏观调控			528763		THUOCL
遗产			503460		THUOCL
跨越			497857		THUOCL
承担责任			495483		THUOCL
阴谋			472552		THUOCL
证券交易所			444378		THUOCL
回避			442118		THUOCL
强奸			432268		THUOCL
债权			427988		THUOCL
国家安全			418214		THUOCL
佣金			410415		THUOCL
承接			394408		THUOCL
责任感			380622		THUOCL
权利人			380557		THUOCL
国家法律			372102		THUOCL
分割			364626		THUOCL
侵权行为			360916		THUOCL
电站			353975		THUOCL
证券市场			351461		THUOCL
营业执照			349033		THUOCL
违约			345348		THUOCL
全球化			326424		THUOCL
市盈率			319684		THUOCL
推迟			317690		THUOCL
虐待			312282		THUOCL
增值税			311083		THUOCL
违法行为			310316		THUOCL
未成年人			309061		THUOCL
公司董事会			302009		THUOCL
没收			298385		THUOCL
有车			293418		THUOCL
有效期			285186		THUOCL
维权			282691		THUOCL
信息披露			282680		THUOCL
对价			281461		THUOCL
执法人员			279887		THUOCL
建设部			277653		THUOCL
直辖市			274077		THUOCL
印花税			268800		THUOCL
医疗保险			267687		THUOCL
辩护			264762		THUOCL
从业人员			262816		THUOCL
谋杀			256522		THUOCL
信访			255160		THUOCL
抵触			251142		THUOCL
一审			251108		THUOCL
人事部			241692		THUOCL
扶贫			239281		THUOCL
战时			238659		THUOCL
侵犯版权			237534		THUOCL
市场占有率			237293		THUOCL
贿赂			235133		THUOCL
建设工程			234906		THUOCL
争执			231789		THUOCL
职权			226608		THUOCL
年度报告			215498		THUOCL
注册商标			214592		THUOCL
发展规划			214113		THUOCL
经营范围			206346		THUOCL
裁决			201110		THUOCL
保全			200757		THUOCL
裁定			199397		THUOCL
涉案			194904		THUOCL
注销			190060		THUOCL
伪造			188302		THUOCL
缺席			184918		THUOCL
仿冒			182448		THUOCL
中级人民法院			179825		THUOCL
医疗费			179405		THUOCL
归还			174946		THUOCL
队伍建设			174939		THUOCL
注册会计师			174557		THUOCL
债权人			172843		THUOCL
挪用			171500		THUOCL
道路交通			169717		THUOCL
接管			168540		THUOCL
配偶			168243		THUOCL
信息产业部			167318		THUOCL
建设用地			166785		THUOCL
殴打			166403		THUOCL
人民检察院			165379		THUOCL
乙方			162195		THUOCL
兼并			161673		THUOCL
家产			158509		THUOCL
印章			154551		THUOCL
推翻			154435		THUOCL
法学院			152816		THUOCL
上海证券交易所			148626		THUOCL
经营权			146852		THUOCL
新材料			136327		THUOCL
要约			133850		THUOCL
母公司			133534		THUOCL
公司债			131398		THUOCL
破案			131289		THUOCL
药品监督管理			131025		THUOCL
船员			130499		THUOCL
手按			129965		THUOCL
反垄断			128035		THUOCL
社会治安			126728		THUOCL
中央军委			126643		THUOCL
政治部			126458		THUOCL
法医			126020		THUOCL
农业银行			122097		THUOCL
调查报告			121212		THUOCL
对冲			118653		THUOCL
债务人			118399		THUOCL
最高人民法院			118061		THUOCL
首席执行官			116146		THUOCL
麻醉药品			115767		THUOCL
国有股			115613		THUOCL
文化部			115478		THUOCL
合同约定			115474		THUOCL
清偿			113124		THUOCL
分居			112083		THUOCL
违约金			111092		THUOCL
国土资源部			110010		THUOCL
私营企业			106619		THUOCL
规范性			104607		THUOCL
国家主席			103505		THUOCL
经济法			103489		THUOCL
典当			100639		THUOCL
国家公务员			99772		THUOCL
药品监督管理局			99045		THUOCL
专利权			98120		THUOCL
和谐发展			97981		THUOCL
备忘录			95339		THUOCL
授权委托书			94247		THUOCL
展期			92334		THUOCL
废除			92303		THUOCL
经营许可证			90421		THUOCL
医药费			87232		THUOCL
商业贿赂			87099		THUOCL
房地产开发企业			86737		THUOCL
按揭贷款			84457		THUOCL
用词			83844		THUOCL
业主委员会			82273		THUOCL
下毒			82138		THUOCL
全文检索			82101		THUOCL
反垄断法			81386		THUOCL
证券法			80999		THUOCL
笔录			80668		THUOCL
国家旅游局			80245		THUOCL
弄虚作假			79999		THUOCL
公司债券			79455		THUOCL
资产负债表			78937		THUOCL
最终解释权			78924		THUOCL
古希腊			77960		THUOCL
列席			77480		THUOCL
个体工商户			77132		THUOCL
加工贸易			76768		THUOCL
判决书			76150		THUOCL
强制执行			74825		THUOCL
控股公司			74797		THUOCL
企业制度			74439		THUOCL
中签			74364		THUOCL
委托代理人			72968		THUOCL
控告			71748		THUOCL
法律文件			69349		THUOCL
泄密			67543		THUOCL
中国农业银行			67119		THUOCL
变更登记			66757		THUOCL
年终奖			66423		THUOCL
胁迫			66214		THUOCL
垫付			66176		THUOCL
规范性文件			65947		THUOCL
排放标准			65601		THUOCL
废止			65154		THUOCL
暂行规定			64847		THUOCL
劳动和社会保障部			63600		THUOCL
牟利			63496		THUOCL
中国社会科学院			63207		THUOCL
联营			62748		THUOCL
要件			62223		THUOCL
婚约			61890		THUOCL
保险合同			61572		THUOCL
执行董事			61222		THUOCL
嫖客			60810		THUOCL
驻外			60660		THUOCL
划转			60553		THUOCL
农村信用社			60502		THUOCL
行为规范			59529		THUOCL
房屋拆迁			59294		THUOCL
承兑			59081		THUOCL
发展研究中心			58841		THUOCL
娱乐活动			58785		THUOCL
轮奸			57811		THUOCL
宅基地			57691		THUOCL
青霉素			57524		THUOCL
小产权			57007		THUOCL
执业证			56802		THUOCL
医疗事故			56643		THUOCL
违约责任			56447		THUOCL
集体经济			56338		THUOCL
未遂			56179		THUOCL
挂靠			55973		THUOCL
现代企业制度			55793		THUOCL
土地出让金			55750		THUOCL
中国政法大学			55530		THUOCL
中央党校			55504		THUOCL
安全局			55142		THUOCL
前提条件			53567		THUOCL
承包经营			53055		THUOCL
股份制企业			52677		THUOCL
迎刃而解			52621		THUOCL
