word	pinyin	rank	doc_freq	level	source
精神			606946		THUOCL
医院			580436		THUOCL
检查			580138		THUOCL
死亡			428687		THUOCL
恢复			329411		THUOCL
意识			299155		THUOCL
医疗			290407		THUOCL
治疗			287165		THUOCL
卫生			242636		THUOCL
患者			195788		THUOCL
检测			189815		THUOCL
接触			186659		THUOCL
监测			179771		THUOCL
应急			176681		THUOCL
缓解			174909		THUOCL
预防			161366		THUOCL
损害			155599		THUOCL
疾病			152915		THUOCL
手术			117069		THUOCL
病人			109328		THUOCL
人体			94970		THUOCL
感染			94768		THUOCL
症状			89318		THUOCL
医学			86135		THUOCL
一次性			82632		THUOCL
诊断			82265		THUOCL
医药			78913		THUOCL
防治			77390		THUOCL
辐射			75581		THUOCL
生物			70512		THUOCL
吸收			70373		THUOCL
敏感			69913		THUOCL
药物			69709		THUOCL
人民医院			69179		THUOCL
部位			66422		THUOCL
康复			66120		THUOCL
自杀			65113		THUOCL
营养			64702		THUOCL
流行			64209		THUOCL
高压			63018		THUOCL
医疗机构			62233		THUOCL
急救			58974		THUOCL
残疾人			58094		THUOCL
婴儿			54553		THUOCL
血液			54242		THUOCL
皮肤			53703		THUOCL
复苏			53233		THUOCL
应急预案			53210		THUOCL
临床			52763		THUOCL
扩张			52225		THUOCL
保健			50989		THUOCL
残疾			50379		THUOCL
救护车			48645		THUOCL
抑制			47641		THUOCL
视觉			46790		THUOCL
良性			46549		THUOCL
样本			45940		THUOCL
不适			45057		THUOCL
疫情			44789		THUOCL
身高			44536		THUOCL
多发			43537		THUOCL
中医			42569		THUOCL
重组			42474		THUOCL
体内			42460		THUOCL
损伤			40020		THUOCL
消化			40001		THUOCL
怀孕			39849		THUOCL
积水			39447		THUOCL
病毒			38831		THUOCL
诊疗			38621		THUOCL
心脏			38546		THUOCL
计划生育			37743		THUOCL
体重			37618		THUOCL
视角			37574		THUOCL
恶性			36729		THUOCL
神经			36506		THUOCL
癌症			35606		THUOCL
骨折			35382		THUOCL
致死			35355		THUOCL
消毒			34296		THUOCL
疲劳			34216		THUOCL
呼吸			33975		THUOCL
公共卫生			33940		THUOCL
疼痛			33557		THUOCL
孕妇			32878		THUOCL
基因			32641		THUOCL
瘫痪			31795		THUOCL
昏迷			31442		THUOCL
伤口			31081		THUOCL
检疫			30790		THUOCL
糖尿病			28733		THUOCL
外科			28090		THUOCL
高血压			27960		THUOCL
心脏病			27533		THUOCL
卫生局			27235		THUOCL
样品			27048		THUOCL
中毒			26243		THUOCL
肢体			25456		THUOCL
睡眠			25340		THUOCL
生命力			25218		THUOCL
世界卫生组织			24856		THUOCL
中药			24400		THUOCL
生理			24183		THUOCL
大脑			24157		THUOCL
肿瘤			23899		THUOCL
发育			23811		THUOCL
按摩			23557		THUOCL
乏力			23492		THUOCL
呼吸道			23457		THUOCL
萎缩			23334		THUOCL
弹性			23069		THUOCL
肌肉			23007		THUOCL
体质			22322		THUOCL
器官			22148		THUOCL
再生			22136		THUOCL
发热			22124		THUOCL
呕吐			22078		THUOCL
治愈			21678		THUOCL
出血			21452		THUOCL
咳嗽			21412		THUOCL
发作			21339		THUOCL
急诊			21279		THUOCL
血压			21033		THUOCL
轮椅			21010		THUOCL
发烧			20921		THUOCL
传染病			20805		THUOCL
头痛			20602		THUOCL
移植			20519		THUOCL
细菌			19962		THUOCL
注射			19915		THUOCL
疫苗			19780		THUOCL
负荷			19325		THUOCL
慢性			19192		THUOCL
急性			19191		THUOCL
矫正			19094		THUOCL
血管			18957		THUOCL
颈部			18908		THUOCL
视力			18907		THUOCL
植入			18675		THUOCL
诊治			18601		THUOCL
二氧化碳			18553		THUOCL
监护			18501		THUOCL
维生素			18460		THUOCL
烧伤			18427		THUOCL
急救车			18231		THUOCL
创伤			18031		THUOCL
分化			17981		THUOCL
细胞			17869		THUOCL
发病率			17541		THUOCL
头晕			17373		THUOCL
恶心			17356		THUOCL
白血病			17294		THUOCL
外伤			17157		THUOCL
医疗保障			16579		THUOCL
死亡率			16314		THUOCL
新生儿			16210		THUOCL
艾滋病			16147		THUOCL
大腿			15964		THUOCL
背部			15826		THUOCL
流泪			15809		THUOCL
腹泻			15751		THUOCL
抽样			15700		THUOCL
水污染			15673		THUOCL
医疗器械			15571		THUOCL
内科			15542		THUOCL
大拇指			15539		THUOCL
精神病			15503		THUOCL
脂肪			15265		THUOCL
激光			15251		THUOCL
化验			15171		THUOCL
儿科			15136		THUOCL
根治			15094		THUOCL
生命体征			15093		THUOCL
防疫			14971		THUOCL
传染			14944		THUOCL
窒息			14936		THUOCL
并发症			14916		THUOCL
体温			14771		THUOCL
畸形			14560		THUOCL
硬化			14167		THUOCL
蛋白质			14062		THUOCL
骨头			14055		THUOCL
标本			13989		THUOCL
口腔			13937		THUOCL
饱和			13908		THUOCL
晚期			13860		THUOCL
错位			13720		THUOCL
四肢			13661		THUOCL
肝脏			13599		THUOCL
主任医师			13583		THUOCL
确诊病例			13563		THUOCL
阳性			13520		THUOCL
高危			13482		THUOCL
献血			13413		THUOCL
后遗症			13371		THUOCL
处方			13333		THUOCL
免疫力			13192		THUOCL
鉴别			13051		THUOCL
胎儿			13050		THUOCL
急诊科			12882		THUOCL
低位			12383		THUOCL
骨科			12364		THUOCL
复发			12343		THUOCL
遗传			12306		THUOCL
输血			12198		THUOCL
慢性病			12182		THUOCL
中风			12175		THUOCL
失眠			12103		THUOCL
疾病预防控制中心			11931		THUOCL
病因			11914		THUOCL
舌尖			11851		THUOCL
脉络			11597		THUOCL
微生物			11596		THUOCL
抗生素			11551		THUOCL
开裂			11527		THUOCL
竞争性			11369		THUOCL
副主任医师			11282		THUOCL
急救中心			11244		THUOCL
过敏			11217		THUOCL
病变			11209		THUOCL
传感器			11195		THUOCL
包扎			11084		THUOCL
猝死			11039		THUOCL
关节			10974		THUOCL
心痛			10969		THUOCL
衰竭			10915		THUOCL
失明			10867		THUOCL
疗法			10857		THUOCL
剂量			10852		THUOCL
肾脏			10690		THUOCL
紧急救援			10655		THUOCL
擦伤			10555		THUOCL
低压			10546		THUOCL
血糖			10540		THUOCL
基本药物			10471		THUOCL
分娩			10410		THUOCL
缺氧			10409		THUOCL
诱因			10382		THUOCL
眼科			10370		THUOCL
眼眶			10243		THUOCL
担架			10205		THUOCL
精神疾病			10187		THUOCL
挫伤			10160		THUOCL
取样			10111		THUOCL
肠胃			10087		THUOCL
意外伤害			10062		THUOCL
安全防护			10061		THUOCL
胶囊			10031		THUOCL
接种			10029		THUOCL
应急办			9957		THUOCL
支架			9905		THUOCL
妇产科			9903		THUOCL
综合征			9833		THUOCL
流产			9811		THUOCL
刺伤			9805		THUOCL
