word	pinyin	rank	doc_freq	level	source
﻿中国			1932582		THUOCL
北京			1119506		THUOCL
美国			864762		THUOCL
医院			562296		THUOCL
学校			523819		THUOCL
法院			367721		THUOCL
小区			296799		THUOCL
市委			273654		THUOCL
公园			263125		THUOCL
南方			256007		THUOCL
市政府			247487		THUOCL
公安			243740		THUOCL
公安局			232177		THUOCL
派出所			226373		THUOCL
酒店			201212		THUOCL
广场			200272		THUOCL
城区			193645		THUOCL
北京市			189725		THUOCL
公交			185562		THUOCL
小学			185465		THUOCL
广东省			182201		THUOCL
学院			180428		THUOCL
机场			180272		THUOCL
德国			180048		THUOCL
图书馆			163292		THUOCL
公路			162748		THUOCL
亚洲			161695		THUOCL
电视台			161206		THUOCL
省政府			159400		THUOCL
大陆			145538		THUOCL
西方			139367		THUOCL
路边			130486		THUOCL
车上			126881		THUOCL
湖南省			126474		THUOCL
高速公路			122493		THUOCL
游泳池			120845		THUOCL
中学			120816		THUOCL
气象台			118226		THUOCL
地下			117932		THUOCL
新兴			116407		THUOCL
北川			116127		THUOCL
炼油厂			115663		THUOCL
玄武			115495		THUOCL
商家			108256		THUOCL
工厂			107801		THUOCL
长江			107102		THUOCL
内地			106407		THUOCL
研究院			106061		THUOCL
上海市			103874		THUOCL
车站			101570		THUOCL
南都			100491		THUOCL
路口			99482		THUOCL
幼儿园			99108		THUOCL
大厅			96687		THUOCL
东北			95674		THUOCL
村里			94459		THUOCL
大道			94177		THUOCL
海洋			93290		THUOCL
源头			92799		THUOCL
服务中心			92481		THUOCL
深圳市			91490		THUOCL
马路			89237		THUOCL
沿海			86113		THUOCL
自治区			85927		THUOCL
商场			82526		THUOCL
江苏省			82435		THUOCL
博物馆			81646		THUOCL
车道			81033		THUOCL
四川省			79853		THUOCL
大楼			79668		THUOCL
水库			79400		THUOCL
西南			78544		THUOCL
大桥			78032		THUOCL
市政			77913		THUOCL
火车站			77564		THUOCL
教育部			77007		THUOCL
停车场			75703		THUOCL
办事处			74031		THUOCL
会同			73427		THUOCL
山东省			72892		THUOCL
北方			67870		THUOCL
浙江省			67301		THUOCL
湖北省			66733		THUOCL
宾馆			66069		THUOCL
台北			65504		THUOCL
区内			64735		THUOCL
重庆市			62896		THUOCL
武汉市			62786		THUOCL
餐厅			62518		THUOCL
新一			62480		THUOCL
县政府			61959		THUOCL
楼房			60449		THUOCL
南京市			60063		THUOCL
旅游局			59056		THUOCL
航空公司			58993		THUOCL
成都市			58244		THUOCL
码头			57381		THUOCL
温州			57362		THUOCL
长沙市			57257		THUOCL
西班牙			57115		THUOCL
华南			56811		THUOCL
港口			56702		THUOCL
大街			55027		THUOCL
人民医院			54454		THUOCL
阿富汗			54219		THUOCL
楼下			54169		THUOCL
大洋			53500		THUOCL
北京大学			53165		THUOCL
俱乐部			52991		THUOCL
大会堂			52908		THUOCL
华西			52831		THUOCL
河北省			52633		THUOCL
云南省			52514		THUOCL
商店			51902		THUOCL
上都			51677		THUOCL
车厢			50988		THUOCL
花园			50885		THUOCL
公安分局			50318		THUOCL
海关			50242		THUOCL
大都			50134		THUOCL
省人大			49892		THUOCL
园林			49432		THUOCL
三角			49129		THUOCL
村委会			48969		THUOCL
新城			48047		THUOCL
南昌			48014		THUOCL
东南			48008		THUOCL
区政府			47521		THUOCL
陕西省			47447		THUOCL
店里			47284		THUOCL
南非			47245		THUOCL
安徽省			47140		THUOCL
西安市			46256		THUOCL
福建省			45996		THUOCL
海南省			45812		THUOCL
大厦			45485		THUOCL
新华			45169		THUOCL
山西省			44875		THUOCL
仓库			44747		THUOCL
国道			44011		THUOCL
房地产市场			43450		THUOCL
江西省			43234		THUOCL
管委会			42655		THUOCL
河流			41973		THUOCL
振兴			41928		THUOCL
民政局			41184		THUOCL
龙头			40393		THUOCL
工商局			40220		THUOCL
国际机场			40201		THUOCL
西北部			39269		THUOCL
居委会			38061		THUOCL
北大			37718		THUOCL
市公安局			37155		THUOCL
保险公司			37103		THUOCL
出版社			36484		THUOCL
卫生局			36392		THUOCL
印尼			36365		THUOCL
京城			36168		THUOCL
收费站			35901		THUOCL
丝绸之路			35712		THUOCL
中原			35678		THUOCL
上新			35616		THUOCL
