word	pinyin	rank	doc_freq	level	source
更上一层楼			4472		THUOCL
民以食为天			3900		THUOCL
任重而道远			3742		THUOCL
一言以蔽之			2183		THUOCL
润物细无声			2009		THUOCL
十年磨一剑			1660		THUOCL
物以稀为贵			1403		THUOCL
咬定青山不放松			1358		THUOCL
一年之计在于春			1227		THUOCL
弹指一挥间			1184		THUOCL
老吾老以及人之老			1103		THUOCL
庐山真面目			1098		THUOCL
犹抱琵琶半遮面			1082		THUOCL
每逢佳节倍思亲			1038		THUOCL
近水楼台先得月			962		THUOCL
醉翁之意不在酒			907		THUOCL
先天下之忧而忧			900		THUOCL
难于上青天			839		THUOCL
雄关漫道真如铁			831		THUOCL
后天下之乐而乐			790		THUOCL
有朋自远方来			786		THUOCL
飞入寻常百姓家			771		THUOCL
术业有专攻			763		THUOCL
孔雀东南飞			737		THUOCL
勿以善小而不为			731		THUOCL
学而优则仕			706		THUOCL
清明时节雨纷纷			699		THUOCL
欲速则不达			685		THUOCL
老死不相往来			678		THUOCL
而今迈步从头越			677		THUOCL
养在深闺人未识			676		THUOCL
人间正道是沧桑			639		THUOCL
幼吾幼以及人之幼			628		THUOCL
风景这边独好			628		THUOCL
语不惊人死不休			617		THUOCL
高处不胜寒			599		THUOCL
春江水暖鸭先知			597		THUOCL
勿以恶小而为之			590		THUOCL
不拘一格降人才			577		THUOCL
解铃还须系铃人			575		THUOCL
春风吹又生			569		THUOCL
君子之交淡如水			568		THUOCL
长江后浪推前浪			543		THUOCL
行百里者半九十			536		THUOCL
铁肩担道义			528		THUOCL
路漫漫其修远兮			523		THUOCL
长风破浪会有时			522		THUOCL
本是同根生			519		THUOCL
小桥流水人家			516		THUOCL
一览众山小			514		THUOCL
为有源头活水来			513		THUOCL
出淤泥而不染			509		THUOCL
柳暗花明又一村			507		THUOCL
忽如一夜春风来			497		THUOCL
天堑变通途			490		THUOCL
粒粒皆辛苦			489		THUOCL
相煎何太急			479		THUOCL
必先利其器			473		THUOCL
天涯共此时			464		THUOCL
风物长宜放眼量			463		THUOCL
工欲善其事			457		THUOCL
山雨欲来风满楼			454		THUOCL
乱花渐欲迷人眼			449		THUOCL
学而不思则罔			436		THUOCL
直挂云帆济沧海			423		THUOCL
敢教日月换新天			420		THUOCL
几家欢乐几家愁			409		THUOCL
天涯若比邻			409		THUOCL
不患寡而患不均			406		THUOCL
思而不学则殆			404		THUOCL
凡事预则立			398		THUOCL
野火烧不尽			398		THUOCL
悠然见南山			371		THUOCL
采菊东篱下			367		THUOCL
千树万树梨花开			361		THUOCL
但愿人长久			358		THUOCL
刑不上大夫			351		THUOCL
任尔东西南北风			347		THUOCL
海上生明月			344		THUOCL
安得广厦千万间			340		THUOCL
不到长城非好汉			329		THUOCL
大庇天下寒士俱欢颜			325		THUOCL
问渠哪得清如许			325		THUOCL
司马昭之心			324		THUOCL
威武不能屈			318		THUOCL
腹有诗书气自华			313		THUOCL
众里寻他千百度			310		THUOCL
天高任鸟飞			310		THUOCL
除非己莫为			308		THUOCL
吾将上下而求索			306		THUOCL
潮平两岸阔			305		THUOCL
必固其根本			304		THUOCL
仓廪实而知礼节			303		THUOCL
不畏浮云遮望眼			302		THUOCL
多行不义必自毙			301		THUOCL
映日荷花别样红			299		THUOCL
风正一帆悬			299		THUOCL
恰同学少年			295		THUOCL
由奢入俭难			292		THUOCL
宜疏不宜堵			285		THUOCL
接天莲叶无穷碧			285		THUOCL
谁知盘中餐			284		THUOCL
达则兼济天下			282		THUOCL
富贵不能淫			281		THUOCL
东边日出西边雨			278		THUOCL
贫贱不能移			276		THUOCL
路遥知马力			275		THUOCL
一万年太久			271		THUOCL
海阔凭鱼跃			270		THUOCL
温故而知新			269		THUOCL
海内存知己			267		THUOCL
礼轻情意重			267		THUOCL
