word	key	frequency_level	spelling_region	pos_code	lemma	source
a	a	35	通用	d	a	ESDB
aardvark	aardvark	35	通用	n0	aardvark	ESDB
aback	aback	35	通用	av0	aback	ESDB
abacus	abacus	35	通用	n0	abacus	ESDB
abacuses	abacuses	35	通用	ns	abacus	ESDB
abandon	abandon	35	通用	v0	abandon	ESDB
abandoned	abandoned	35	通用	aj0;vd	abandon;abandoned	ESDB
abandoning	abandoning	35	通用	vg	abandon	ESDB
abandonment	abandonment	35	通用	n0	abandonment	ESDB
abandons	abandons	35	通用	vs	abandon	ESDB
abate	abate	35	通用	v0	abate	ESDB
abated	abated	35	通用	vd	abate	ESDB
abates	abates	35	通用	vs	abate	ESDB
abating	abating	35	通用	vg	abate	ESDB
abbey	abbey	35	通用	n0	abbey	ESDB
abbey's	abbey's	35	通用	np	abbey	ESDB
abbeys	abbeys	35	通用	ns	abbey	ESDB
abbot	abbot	35	通用	n0	abbot	ESDB
abbot's	abbot's	35	通用	np	abbot	ESDB
abbots	abbots	35	通用	ns	abbot	ESDB
abbreviate	abbreviate	35	通用	v0	abbreviate	ESDB
abbreviated	abbreviated	35	通用	vd	abbreviate	ESDB
abbreviates	abbreviates	35	通用	vs	abbreviate	ESDB
abbreviating	abbreviating	35	通用	vg	abbreviate	ESDB
abbreviation	abbreviation	35	通用	n0	abbreviation	ESDB
abbreviations	abbreviations	35	通用	ns	abbreviation	ESDB
abdicate	abdicate	35	通用	v0	abdicate	ESDB
abdicated	abdicated	35	通用	vd	abdicate	ESDB
abdicates	abdicates	35	通用	vs	abdicate	ESDB
abdicating	abdicating	35	通用	vg	abdicate	ESDB
abdication	abdication	35	通用	n0	abdication	ESDB
abdications	abdications	35	通用	ns	abdication	ESDB
abdomen	abdomen	35	通用	n0	abdomen	ESDB
abdomens	abdomens	35	通用	ns	abdomen	ESDB
abdominal	abdominal	35	通用	aj0	abdominal	ESDB
abduct	abduct	35	通用	v0	abduct	ESDB
abducted	abducted	35	通用	vd	abduct	ESDB
abducting	abducting	35	通用	vg	abduct	ESDB
abducts	abducts	35	通用	vs	abduct	ESDB
aberration	aberration	35	通用	n0	aberration	ESDB
aberrations	aberrations	35	通用	ns	aberration	ESDB
abet	abet	35	通用	v0	abet	ESDB
abets	abets	35	通用	vs	abet	ESDB
abetted	abetted	35	通用	vd	abet	ESDB
abetting	abetting	35	通用	vg	abet	ESDB
abhor	abhor	35	通用	v0	abhor	ESDB
abhorred	abhorred	35	通用	vd	abhor	ESDB
abhorrence	abhorrence	35	通用	n0	abhorrence	ESDB
abhorrent	abhorrent	35	通用	aj0	abhorrent	ESDB
abhorring	abhorring	35	通用	vg	abhor	ESDB
abhors	abhors	35	通用	vs	abhor	ESDB
abide	abide	35	通用	v0	abide	ESDB
abides	abides	35	通用	vs	abide	ESDB
abiding	abiding	35	通用	aj0;vg	abide;abiding	ESDB
abilities	abilities	35	通用	ns	ability	ESDB
ability	ability	35	通用	n0	ability	ESDB
abject	abject	35	通用	aj0	abject	ESDB
ablaze	ablaze	35	通用	aj0	ablaze	ESDB
able	able	35	通用	aj0	able	ESDB
abler	abler	35	通用	aj1	able	ESDB
ablest	ablest	35	通用	aj2	able	ESDB
ably	ably	35	通用	av0	ably	ESDB
abnormal	abnormal	35	通用	aj0	abnormal	ESDB
abnormalities	abnormalities	35	通用	ns	abnormality	ESDB
abnormality	abnormality	35	通用	n0	abnormality	ESDB
abnormally	abnormally	35	通用	av0	abnormally	ESDB
aboard	aboard	35	通用	av0;pp	aboard	ESDB
abode	abode	35	通用	n0;vd	abide;abode	ESDB
abodes	abodes	35	通用	ns	abode	ESDB
abolish	abolish	35	通用	v0	abolish	ESDB
abolished	abolished	35	通用	vd	abolish	ESDB
abolishes	abolishes	35	通用	vs	abolish	ESDB
abolishing	abolishing	35	通用	vg	abolish	ESDB
abolition	abolition	35	通用	n0	abolition	ESDB
abominable	abominable	35	通用	aj0	abominable	ESDB
abomination	abomination	35	通用	n0	abomination	ESDB
aboriginal	aboriginal	35	通用	aj0;n0	aboriginal	ESDB
aborigine	aborigine	35	通用	n0	aborigine	ESDB
aborigine's	aborigine's	35	通用	np	aborigine	ESDB
aborigines	aborigines	35	通用	ns	aborigine	ESDB
abort	abort	35	通用	v0	abort	ESDB
aborted	aborted	35	通用	vd	abort	ESDB
aborting	aborting	35	通用	vg	abort	ESDB
abortion	abortion	35	通用	n0	abortion	ESDB
abortions	abortions	35	通用	ns	abortion	ESDB
abortive	abortive	35	通用	aj0	abortive	ESDB
aborts	aborts	35	通用	vs	abort	ESDB
abound	abound	35	通用	v0	abound	ESDB
abounded	abounded	35	通用	vd	abound	ESDB
abounding	abounding	35	通用	vg	abound	ESDB
abounds	abounds	35	通用	vs	abound	ESDB
about	about	35	通用	a0;pp	about	ESDB
above	above	35	通用	a0;n0;pp	above	ESDB
aboveboard	aboveboard	35	通用	a0	aboveboard	ESDB
abrasive	abrasive	35	通用	aj0;n0	abrasive	ESDB
abrasives	abrasives	35	通用	ns	abrasive	ESDB
abreast	abreast	35	通用	a0	abreast	ESDB
abridge	abridge	35	通用	v0	abridge	ESDB
abridged	abridged	35	通用	vd	abridge	ESDB
abridges	abridges	35	通用	vs	abridge	ESDB
abridging	abridging	35	通用	vg	abridge	ESDB
abroad	abroad	35	通用	a0	abroad	ESDB
abrupt	abrupt	35	通用	aj0	abrupt	ESDB
abrupter	abrupter	35	通用	aj1	abrupt	ESDB
abruptest	abruptest	35	通用	aj2	abrupt	ESDB
abruptly	abruptly	35	通用	av0	abruptly	ESDB
abscess	abscess	35	通用	m0	abscess	ESDB
abscessed	abscessed	35	通用	vd	abscess	ESDB
abscesses	abscesses	35	通用	ms	abscess	ESDB
abscessing	abscessing	35	通用	vg	abscess	ESDB
abscond	abscond	35	通用	v0	abscond	ESDB
absconded	absconded	35	通用	vd	abscond	ESDB
absconding	absconding	35	通用	vg	abscond	ESDB
absconds	absconds	35	通用	vs	abscond	ESDB
absence	absence	35	通用	n0	absence	ESDB
absences	absences	35	通用	ns	absence	ESDB
absent	absent	35	通用	aj0;v0	absent	ESDB
absented	absented	35	通用	vd	absent	ESDB
absentee	absentee	35	通用	n0	absentee	ESDB
absentee's	absentee's	35	通用	np	absentee	ESDB
absentees	absentees	35	通用	ns	absentee	ESDB
absenting	absenting	35	通用	vg	absent	ESDB
absents	absents	35	通用	vs	absent	ESDB
absolute	absolute	35	通用	aj0;n0	absolute	ESDB
absolutely	absolutely	35	通用	av0	absolutely	ESDB
absolutes	absolutes	35	通用	ns	absolute	ESDB
absolutest	absolutest	35	通用	aj2	absolute	ESDB
absolve	absolve	35	通用	v0	absolve	ESDB
absolved	absolved	35	通用	vd	absolve	ESDB
absolves	absolves	35	通用	vs	absolve	ESDB
absolving	absolving	35	通用	vg	absolve	ESDB
absorb	absorb	35	通用	v0	absorb	ESDB
absorbed	absorbed	35	通用	aj0;vd	absorb;absorbed	ESDB
absorbent	absorbent	35	通用	aj0;n0	absorbent	ESDB
absorbents	absorbents	35	通用	ns	absorbent	ESDB
absorbing	absorbing	35	通用	aj0;vg	absorb;absorbing	ESDB
absorbs	absorbs	35	通用	vs	absorb	ESDB
absorption	absorption	35	通用	n0	absorption	ESDB
abstain	abstain	35	通用	v0	abstain	ESDB
abstained	abstained	35	通用	vd	abstain	ESDB
abstaining	abstaining	35	通用	vg	abstain	ESDB
abstains	abstains	35	通用	vs	abstain	ESDB
abstention	abstention	35	通用	n0	abstention	ESDB
abstentions	abstentions	35	通用	ns	abstention	ESDB
abstinence	abstinence	35	通用	n0	abstinence	ESDB
abstract	abstract	35	通用	aj0;m0	abstract	ESDB
abstracted	abstracted	35	通用	vd	abstract	ESDB
abstracting	abstracting	35	通用	vg	abstract	ESDB
abstraction	abstraction	35	通用	n0	abstraction	ESDB
abstractions	abstractions	35	通用	ns	abstraction	ESDB
abstracts	abstracts	35	通用	ms	abstract	ESDB
abstruse	abstruse	35	通用	aj0	abstruse	ESDB
absurd	absurd	35	通用	aj0	absurd	ESDB
absurder	absurder	35	通用	aj1	absurd	ESDB
absurdest	absurdest	35	通用	aj2	absurd	ESDB
absurdities	absurdities	35	通用	ns	absurdity	ESDB
absurdity	absurdity	35	通用	n0	absurdity	ESDB
absurdly	absurdly	35	通用	av0	absurdly	ESDB
abundance	abundance	35	通用	n0	abundance	ESDB
abundances	abundances	35	通用	ns	abundance	ESDB
abundant	abundant	35	通用	aj0	abundant	ESDB
abundantly	abundantly	35	通用	av0	abundantly	ESDB
abuse	abuse	35	通用	m0	abuse	ESDB
abused	abused	35	通用	vd	abuse	ESDB
abusers	abusers	35	通用	ns	abuser	ESDB
abuses	abuses	35	通用	ms	abuse	ESDB
abusing	abusing	35	通用	vg	abuse	ESDB
abusive	abusive	35	通用	aj0	abusive	ESDB
abysmal	abysmal	35	通用	aj0	abysmal	ESDB
abyss	abyss	35	通用	n0	abyss	ESDB
abysses	abysses	35	通用	ns	abyss	ESDB
academic	academic	35	通用	aj0;n0	academic	ESDB
academic's	academic's	35	通用	np	academic	ESDB
academically	academically	35	通用	av0	academically	ESDB
academics	academics	35	通用	ns	academic	ESDB
academies	academies	35	通用	ns	academy	ESDB
academy	academy	35	通用	n0	academy	ESDB
academy's	academy's	35	通用	np	academy	ESDB
accede	accede	35	通用	v0	accede	ESDB
acceded	acceded	35	通用	vd	accede	ESDB
accedes	accedes	35	通用	vs	accede	ESDB
acceding	acceding	35	通用	vg	accede	ESDB
accelerate	accelerate	35	通用	v0	accelerate	ESDB
accelerated	accelerated	35	通用	vd	accelerate	ESDB
accelerates	accelerates	35	通用	vs	accelerate	ESDB
accelerating	accelerating	35	通用	vg	accelerate	ESDB
acceleration	acceleration	35	通用	n0	acceleration	ESDB
accelerations	accelerations	35	通用	ns	acceleration	ESDB
accelerator	accelerator	35	通用	n0	accelerator	ESDB
accelerator's	accelerator's	35	通用	np	accelerator	ESDB
accelerators	accelerators	35	通用	ns	accelerator	ESDB
accent	accent	35	通用	m0	accent	ESDB
accent's	accent's	35	通用	np	accent	ESDB
accented	accented	35	通用	aj0;vd	accent;accented	ESDB
accenting	accenting	35	通用	vg	accent	ESDB
accents	accents	35	通用	ms	accent	ESDB
accentuate	accentuate	35	通用	v0	accentuate	ESDB
accentuated	accentuated	35	通用	vd	accentuate	ESDB
accentuates	accentuates	35	通用	vs	accentuate	ESDB
accentuating	accentuating	35	通用	vg	accentuate	ESDB
accept	accept	35	通用	v0	accept	ESDB
acceptability	acceptability	35	通用	n0	acceptability	ESDB
acceptable	acceptable	35	通用	aj0	acceptable	ESDB
acceptably	acceptably	35	通用	av0	acceptably	ESDB
acceptance	acceptance	35	通用	n0	acceptance	ESDB
acceptances	acceptances	35	通用	ns	acceptance	ESDB
accepted	accepted	35	通用	aj0;vd	accept;accepted	ESDB
accepting	accepting	35	通用	vg	accept	ESDB
accepts	accepts	35	通用	vs	accept	ESDB
access	access	35	通用	m0	access	ESDB
accessed	accessed	35	通用	vd	access	ESDB
accesses	accesses	35	通用	ms	access	ESDB
accessibility	accessibility	35	通用	n0	accessibility	ESDB
accessible	accessible	35	通用	aj0	accessible	ESDB
accessing	accessing	35	通用	vg	access	ESDB
accessories	accessories	35	通用	ns	accessory	ESDB
accessory	accessory	35	通用	aj0;n0	accessory	ESDB
accessory's	accessory's	35	通用	np	accessory	ESDB
accident	accident	35	通用	n0	accident	ESDB
accidental	accidental	35	通用	aj0;n0	accidental	ESDB
accidentally	accidentally	35	通用	av0	accidentally	ESDB
accidentals	accidentals	35	通用	ns	accidental	ESDB
accidents	accidents	35	通用	ns	accident	ESDB
acclaim	acclaim	35	通用	n0;v0	acclaim	ESDB
