word	key	frequency_level	spelling_region	pos_code	lemma	source
aah	aah	60	通用	v0	aah	ESDB
ab	ab	60	通用	abbr	ab	ESDB
abashedly	abashedly	60	通用	av0	abashedly	ESDB
abashment	abashment	60	通用	n0	abashment	ESDB
aberrational	aberrational	60	通用	aj0	aberrational	ESDB
abhorrently	abhorrently	60	通用	av0	abhorrently	ESDB
abidance	abidance	60	通用	n0	abidance	ESDB
abidingly	abidingly	60	通用	av0	abidingly	ESDB
abjection	abjection	60	通用	n0	abjection	ESDB
abjectness	abjectness	60	通用	n0	abjectness	ESDB
abjuratory	abjuratory	60	通用	aj0	abjuratory	ESDB
abjurer	abjurer	60	通用	n0	abjurer	ESDB
abjurer's	abjurer's	60	通用	np	abjurer	ESDB
abjurers	abjurers	60	通用	ns	abjurer	ESDB
ablate	ablate	60	通用	v0	ablate	ESDB
ablated	ablated	60	通用	vd	ablate	ESDB
ablates	ablates	60	通用	vs	ablate	ESDB
ablating	ablating	60	通用	vg	ablate	ESDB
ablation	ablation	60	通用	n0	ablation	ESDB
ablations	ablations	60	通用	ns	ablation	ESDB
abolitionism	abolitionism	60	通用	n0	abolitionism	ESDB
aborning	aborning	60	通用	aj0	aborning	ESDB
abortively	abortively	60	通用	av0	abortively	ESDB
aboveground	aboveground	60	通用	aj0	aboveground	ESDB
abrogator	abrogator	60	通用	n0	abrogator	ESDB
abrogator's	abrogator's	60	通用	np	abrogator	ESDB
abrogators	abrogators	60	通用	ns	abrogator	ESDB
abs	abs	60	通用	n0	abs	ESDB
abscission	abscission	60	通用	n0	abscission	ESDB
absconder	absconder	60	通用	n0	absconder	ESDB
absconder's	absconder's	60	通用	np	absconder	ESDB
absconders	absconders	60	通用	ns	absconder	ESDB
abseil	abseil	60	通用	m0	abseil	ESDB
abseiled	abseiled	60	通用	vd	abseil	ESDB
abseiling	abseiling	60	通用	vg	abseil	ESDB
abseils	abseils	60	通用	ms	abseil	ESDB
absoluteness	absoluteness	60	通用	n0	absoluteness	ESDB
absolutist	absolutist	60	通用	aj0;n0	absolutist	ESDB
absolutist's	absolutist's	60	通用	np	absolutist	ESDB
absolutists	absolutists	60	通用	ns	absolutist	ESDB
absorbance	absorbance	60	通用	n0	absorbance	ESDB
absorber	absorber	60	通用	n0	absorber	ESDB
absorbers	absorbers	60	通用	ns	absorber	ESDB
absorbingly	absorbingly	60	通用	av0	absorbingly	ESDB
absorptive	absorptive	60	通用	aj0	absorptive	ESDB
abstemiously	abstemiously	60	通用	av0	abstemiously	ESDB
abstemiousness	abstemiousness	60	通用	n0	abstemiousness	ESDB
abstractedness	abstractedness	60	通用	n0	abstractedness	ESDB
absurdist	absurdist	60	通用	n0	absurdist	ESDB
absurdist's	absurdist's	60	通用	np	absurdist	ESDB
absurdists	absurdists	60	通用	ns	absurdist	ESDB
absurdness	absurdness	60	通用	n0	absurdness	ESDB
abyssal	abyssal	60	通用	aj0	abyssal	ESDB
ac	ac	60	通用	abbr	ac	ESDB
academe	academe	60	通用	n0	academe	ESDB
academe's	academe's	60	通用	np	academe	ESDB
academia	academia	60	通用	n0	academia	ESDB
academia's	academia's	60	通用	np	academia	ESDB
accelerometer	accelerometer	60	通用	n0	accelerometer	ESDB
accelerometers	accelerometers	60	通用	ns	accelerometer	ESDB
accentual	accentual	60	通用	aj0	accentual	ESDB
acceptableness	acceptableness	60	通用	n0	acceptableness	ESDB
acceptation	acceptation	60	通用	n0	acceptation	ESDB
acceptations	acceptations	60	通用	ns	acceptation	ESDB
accessorise	accessorise	60	英式-ise	v0	accessorise	ESDB
accessorised	accessorised	60	英式-ise	vd	accessorise	ESDB
accessorises	accessorises	60	英式-ise	vs	accessorise	ESDB
accessorising	accessorising	60	英式-ise	vg	accessorise	ESDB
accessorize	accessorize	60	美式;英式-ize	v0	accessorize	ESDB
accessorized	accessorized	60	美式;英式-ize	vd	accessorize	ESDB
accessorizes	accessorizes	60	美式;英式-ize	vs	accessorize	ESDB
accessorizing	accessorizing	60	美式;英式-ize	vg	accessorize	ESDB
acclivities	acclivities	60	通用	ns	acclivity	ESDB
acclivity	acclivity	60	通用	n0	acclivity	ESDB
accommodatingly	accommodatingly	60	通用	av0	accommodatingly	ESDB
accordant	accordant	60	通用	aj0	accordant	ESDB
accordionist	accordionist	60	通用	n0	accordionist	ESDB
accordionist's	accordionist's	60	通用	np	accordionist	ESDB
accordionists	accordionists	60	通用	ns	accordionist	ESDB
accouter	accouter	60	美式	v0	accouter	ESDB
accoutered	accoutered	60	美式	vd	accouter	ESDB
accoutering	accoutering	60	美式	vg	accouter	ESDB
accouters	accouters	60	美式	vs	accouter	ESDB
accoutre	accoutre	60	英式-ise;英式-ize	v0	accoutre	ESDB
accoutred	accoutred	60	英式-ise;英式-ize	vd	accoutre	ESDB
accoutres	accoutres	60	英式-ise;英式-ize	vs	accoutre	ESDB
