word	key	frequency_level	spelling_region	pos_code	lemma	source
African	african	35	通用	aj0;n0	African	ESDB
African's	african's	35	通用	np	African	ESDB
Africans	africans	35	通用	ns	African	ESDB
AIDS	aids	35	通用	n0	AIDS	ESDB
AIDS's	aids's	35	通用	np	AIDS	ESDB
Allah	allah	35	通用	n0	Allah	ESDB
Allah's	allah's	35	通用	np	Allah	ESDB
American	american	35	通用	aj0;n0	American	ESDB
American's	american's	35	通用	np	American	ESDB
Americanism	americanism	35	通用	n0	Americanism	ESDB
Americanisms	americanisms	35	通用	ns	Americanism	ESDB
Americans	americans	35	通用	ns	American	ESDB
April	april	35	通用	n0	April	ESDB
April's	april's	35	通用	np	April	ESDB
Aprils	aprils	35	通用	ns	April	ESDB
Asian	asian	35	通用	aj0;n0	Asian	ESDB
Asian's	asian's	35	通用	np	Asian	ESDB
Asians	asians	35	通用	ns	Asian	ESDB
August	august	35	通用	n0	August	ESDB
August's	august's	35	通用	np	August	ESDB
Augusts	augusts	35	通用	ns	August	ESDB
B	b	35	通用	n0	B	ESDB
B's	b's	35	通用	np	B	ESDB
British	british	35	通用	aj0;n0	British	ESDB
British's	british's	35	通用	np	British	ESDB
Brown	brown	35	通用	n0	Brown	ESDB
C	c	35	通用	n0	C	ESDB
C's	c's	35	通用	np	C	ESDB
Catholic	catholic	35	通用	aj0;n0	Catholic	ESDB
Catholic's	catholic's	35	通用	np	Catholic	ESDB
Catholicism	catholicism	35	通用	n0	Catholicism	ESDB
Catholicism's	catholicism's	35	通用	np	Catholicism	ESDB
Catholics	catholics	35	通用	ns	Catholic	ESDB
Celsius	celsius	35	通用	n0	Celsius	ESDB
Celsius's	celsius's	35	通用	np	Celsius	ESDB
Chicano	chicano	35	通用	n0	Chicano	ESDB
Chicano's	chicano's	35	通用	np	Chicano	ESDB
Chicanos	chicanos	35	通用	ns	Chicano	ESDB
Christian	christian	35	通用	aj0;n0	Christian	ESDB
Christian's	christian's	35	通用	np	Christian	ESDB
Christianity	christianity	35	通用	n0	Christianity	ESDB
Christianity's	christianity's	35	通用	np	Christianity	ESDB
Christians	christians	35	通用	ns	Christian	ESDB
Christmas	christmas	35	通用	n0	Christmas	ESDB
Christmas's	christmas's	35	通用	np	Christmas	ESDB
Christmases	christmases	35	通用	ns	Christmas	ESDB
CIA	cia	35	通用	n0	CIA	ESDB
CIA's	cia's	35	通用	np	CIA	ESDB
CO	co	35	通用	n0	CO	ESDB
CO's	co's	35	通用	np	CO	ESDB
Congress	congress	35	通用	n0	Congress	ESDB
CPA	cpa	35	通用	n0	CPA	ESDB
CPA's	cpa's	35	通用	np	CPA	ESDB
D	d	35	通用	n0	D	ESDB
D's	d's	35	通用	np	D	ESDB
DC	dc	35	通用	n0	DC	ESDB
DC's	dc's	35	通用	np	DC	ESDB
DDT	ddt	35	通用	n0	DDT	ESDB
DDT's	ddt's	35	通用	np	DDT	ESDB
December	december	35	通用	n0	December	ESDB
December's	december's	35	通用	np	December	ESDB
Decembers	decembers	35	通用	ns	December	ESDB
DNA	dna	35	通用	n0	DNA	ESDB
Dutch	dutch	35	通用	aj0;n0	Dutch	ESDB
Dutch's	dutch's	35	通用	np	Dutch	ESDB
E	e	35	通用	n0	E	ESDB
E's	e's	35	通用	np	E	ESDB
Easter	easter	35	通用	n0	Easter	ESDB
Easter's	easter's	35	通用	np	Easter	ESDB
Easters	easters	35	通用	ns	Easter	ESDB
England	england	35	通用	n0	England	ESDB
English	english	35	通用	aj0;n0	English	ESDB
English's	english's	35	通用	np	English	ESDB
Englishes	englishes	35	通用	ns	English	ESDB
Eskimo	eskimo	35	通用	n0	Eskimo	ESDB
Eskimo's	eskimo's	35	通用	np	Eskimo	ESDB
Eskimos	eskimos	35	通用	ns	Eskimo	ESDB
Europe	europe	35	通用	n0	Europe	ESDB
European	european	35	通用	aj0;n0	European	ESDB
European's	european's	35	通用	np	European	ESDB
Europeans	europeans	35	通用	ns	European	ESDB
F	f	35	通用	n0	F	ESDB
Fahrenheit	fahrenheit	35	通用	n0	Fahrenheit	ESDB
Fahrenheit's	fahrenheit's	35	通用	np	Fahrenheit	ESDB
FBI	fbi	35	通用	n0	FBI	ESDB
FBI's	fbi's	35	通用	np	FBI	ESDB
Februaries	februaries	35	通用	ns	February	ESDB
February	february	35	通用	n0	February	ESDB
February's	february's	35	通用	np	February	ESDB
FM	fm	35	通用	n0	FM	ESDB
French	french	35	通用	aj0;n0;v0	French	ESDB
Friday	friday	35	通用	n0	Friday	ESDB
Friday's	friday's	35	通用	np	Friday	ESDB
Fridays	fridays	35	通用	ns	Friday	ESDB
G	g	35	通用	n0	G	ESDB
G's	g's	35	通用	np	G	ESDB
GI	gi	35	通用	aj0;n0;v0	GI	ESDB
GIs	gis	35	通用	ns	GI	ESDB
GNP	gnp	35	通用	n0	GNP	ESDB
GNPs	gnps	35	通用	ns	GNP	ESDB
God	god	35	通用	n0	God	ESDB
GOP	gop	35	通用	n0	GOP	ESDB
GOP's	gop's	35	通用	np	GOP	ESDB
Greek	greek	35	通用	aj0;n0	Greek	ESDB
Greek's	greek's	35	通用	np	Greek	ESDB
Greeks	greeks	35	通用	ns	Greek	ESDB
H	h	35	通用	n0	H	ESDB
H's	h's	35	通用	np	H	ESDB
Halloween	halloween	35	通用	n0	Halloween	ESDB
Halloween's	halloween's	35	通用	np	Halloween	ESDB
Halloweens	halloweens	35	通用	ns	Halloween	ESDB
Hebrew	hebrew	35	通用	aj0;n0	Hebrew	ESDB
Hebrew's	hebrew's	35	通用	np	Hebrew	ESDB
Hebrews	hebrews	35	通用	n0;ns	Hebrew;Hebrews	ESDB
Hispanic	hispanic	35	通用	aj0;n0	Hispanic	ESDB
Hispanic's	hispanic's	35	通用	np	Hispanic	ESDB
Hispanics	hispanics	35	通用	ns	Hispanic	ESDB
I	i	35	通用	pn0	I	ESDB
I'm	i'm	35	通用	s	I'm	ESDB
ID	id	35	通用	n0	ID	ESDB
IDs	ids	35	通用	ns	ID	ESDB
Indian	indian	35	通用	aj0;n0	Indian	ESDB
Indian's	indian's	35	通用	np	Indian	ESDB
Indians	indians	35	通用	ns	Indian	ESDB
IOU	iou	35	通用	n0	IOU	ESDB
IOUs	ious	35	通用	ns	IOU	ESDB
IRS	irs	35	通用	n0	IRS	ESDB
IRS's	irs's	35	通用	np	IRS	ESDB
Islam	islam	35	通用	n0	Islam	ESDB
Islam's	islam's	35	通用	np	Islam	ESDB
Islamic	islamic	35	通用	aj0	Islamic	ESDB
Januaries	januaries	35	通用	ns	January	ESDB
January	january	35	通用	n0	January	ESDB
January's	january's	35	通用	np	January	ESDB
Jew	jew	35	通用	n0	Jew	ESDB
Jew's	jew's	35	通用	np	Jew	ESDB
Jewish	jewish	35	通用	aj0	Jewish	ESDB
Jews	jews	35	通用	ns	Jew	ESDB
John	john	35	通用	n0	John	ESDB
Judaism	judaism	35	通用	n0	Judaism	ESDB
Judaism's	judaism's	35	通用	np	Judaism	ESDB
Julies	julies	35	通用	ns	July	ESDB
July	july	35	通用	n0	July	ESDB
July's	july's	35	通用	np	July	ESDB
June	june	35	通用	n0	June	ESDB
June's	june's	35	通用	np	June	ESDB
Junes	junes	35	通用	ns	June	ESDB
K	k	35	通用	n0	K	ESDB
K's	k's	35	通用	np	K	ESDB
KO	ko	35	通用	n0	KO	ESDB
KOs	kos	35	通用	ns	KO	ESDB
Latin	latin	35	通用	aj0;n0	Latin	ESDB
Latin's	latin's	35	通用	np	Latin	ESDB
Latins	latins	35	通用	ns	Latin	ESDB
LSD	lsd	35	通用	n0	LSD	ESDB
MA	ma	35	通用	n0	MA	ESDB
March	march	35	通用	n0	March	ESDB
