lemma	form	pos_code	form_note	frequency_level	source
AA	AA's	np	noun: possessive	50	ESDB
AAA	AAA's	np	noun: possessive	50	ESDB
ABC	ABC's	np	noun: possessive	40	ESDB
ABC	ABCs	ns	noun: plural	40	ESDB
ABM	ABM's	np	noun: possessive	50	ESDB
ACLU	ACLU's	np	noun: possessive	50	ESDB
AFC	AFC's	np	noun: possessive	50	ESDB
AGI	AGI's	np	noun: possessive	60	ESDB
AI	AI's	np	noun: possessive	60	ESDB
AIDS	AIDS's	np	noun: possessive	35	ESDB
AK	AK's	np	noun: possessive	50	ESDB
AMD	AMD's	np	noun: possessive	50	ESDB
ANZUS	ANZUS's	np	noun: possessive	50	ESDB
AOL	AOL's	np	noun: possessive	50	ESDB
AP	AP's	np	noun: possessive	50	ESDB
ASCII	ASCII's	np	noun: possessive	50	ESDB
ATM	ATMs	ns	noun: plural	40	ESDB
ATP	ATP's	np	noun: possessive	60	ESDB
ATV	ATV's	np	noun: possessive	50	ESDB
ATV	ATVs	ns	noun: plural	50	ESDB
AWACS	AWACS's	np	noun: possessive	50	ESDB
AWOL	AWOL's	np	noun: possessive	40	ESDB
AWS	AWS's	np	noun: possessive	50	ESDB
Aachen	Aachen's	np	noun: possessive	50	ESDB
Aaliyah	Aaliyah's	np	noun: possessive	50	ESDB
Aaron	Aaron's	np	noun: possessive	50	ESDB
Abbas	Abbas's	np	noun: possessive	50	ESDB
Abbasid	Abbasid's	np	noun: possessive	50	ESDB
Abbott	Abbott's	np	noun: possessive	50	ESDB
Abby	Abby's	np	noun: possessive	50	ESDB
Abdul	Abdul's	np	noun: possessive	50	ESDB
Abe	Abe's	np	noun: possessive	50	ESDB
Abel	Abel's	np	noun: possessive	50	ESDB
Abelard	Abelard's	np	noun: possessive	50	ESDB
Abelson	Abelson's	np	noun: possessive	50	ESDB
Aberdeen	Aberdeen's	np	noun: possessive	50	ESDB
Abernathy	Abernathy's	np	noun: possessive	50	ESDB
Abidjan	Abidjan's	np	noun: possessive	50	ESDB
Abigail	Abigail's	np	noun: possessive	50	ESDB
Abilene	Abilene's	np	noun: possessive	50	ESDB
Abner	Abner's	np	noun: possessive	50	ESDB
Aborigine	Aborigine's	np	noun: possessive	60	ESDB
Aborigine	Aborigines	ns	noun: plural	60	ESDB
Abraham	Abraham's	np	noun: possessive	50	ESDB
Abram	Abram's	np	noun: possessive	50	ESDB
Abrams	Abrams's	np	noun: possessive	50	ESDB
Absalom	Absalom's	np	noun: possessive	50	ESDB
Abuja	Abuja's	np	noun: possessive	50	ESDB
Abyssinia	Abyssinia's	np	noun: possessive	50	ESDB
Abyssinian	Abyssinian's	np	noun: possessive	50	ESDB
Acadia	Acadia's	np	noun: possessive	50	ESDB
Acapulco	Acapulco's	np	noun: possessive	50	ESDB
Accenture	Accenture's	np	noun: possessive	50	ESDB
Accra	Accra's	np	noun: possessive	50	ESDB
Acevedo	Acevedo's	np	noun: possessive	50	ESDB
Achaean	Achaean's	np	noun: possessive	50	ESDB
Achebe	Achebe's	np	noun: possessive	50	ESDB
Achernar	Achernar's	np	noun: possessive	50	ESDB
Acheson	Acheson's	np	noun: possessive	50	ESDB
Achilles	Achilles's	np	noun: possessive	50	ESDB
Aconcagua	Aconcagua's	np	noun: possessive	50	ESDB
Acosta	Acosta's	np	noun: possessive	50	ESDB
Acrux	Acrux's	np	noun: possessive	50	ESDB
Actaeon	Actaeon's	np	noun: possessive	50	ESDB
Acton	Acton's	np	noun: possessive	50	ESDB
Acts	Acts's	np	noun: possessive	50	ESDB
Acuff	Acuff's	np	noun: possessive	50	ESDB
Ada	Ada's	np	noun: possessive	50	ESDB
Adam	Adam's	np	noun: possessive	50	ESDB
Adams	Adams's	np	noun: possessive	50	ESDB
Adan	Adan's	np	noun: possessive	50	ESDB
Adana	Adana's	np	noun: possessive	50	ESDB
Adar	Adar's	np	noun: possessive	50	ESDB
Addams	Addams's	np	noun: possessive	50	ESDB
Adderley	Adderley's	np	noun: possessive	50	ESDB
Addie	Addie's	np	noun: possessive	50	ESDB
Addison	Addison's	np	noun: possessive	50	ESDB
Adela	Adela's	np	noun: possessive	50	ESDB
Adelaide	Adelaide's	np	noun: possessive	50	ESDB
Adele	Adele's	np	noun: possessive	50	ESDB
Adeline	Adeline's	np	noun: possessive	50	ESDB
Aden	Aden's	np	noun: possessive	50	ESDB
Adenauer	Adenauer's	np	noun: possessive	50	ESDB
Adhara	Adhara's	np	noun: possessive	50	ESDB
Adidas	Adidas's	np	noun: possessive	50	ESDB
Adirondack	Adirondack's	np	noun: possessive	50	ESDB
Adirondacks	Adirondacks's	np	noun: possessive	50	ESDB
Adkins	Adkins's	np	noun: possessive	50	ESDB
Adler	Adler's	np	noun: possessive	50	ESDB
Adolf	Adolf's	np	noun: possessive	50	ESDB
Adolfo	Adolfo's	np	noun: possessive	50	ESDB
Adolph	Adolph's	np	noun: possessive	50	ESDB
Adonis	Adonis's	np	noun: possessive	50	ESDB
Adonis	Adonises	ns	noun: plural	60	ESDB
Adrian	Adrian's	np	noun: possessive	50	ESDB
Adriana	Adriana's	np	noun: possessive	50	ESDB
Adriatic	Adriatic's	np	noun: possessive	50	ESDB
Adrienne	Adrienne's	np	noun: possessive	50	ESDB
Advent	Advent's	np	noun: possessive	40	ESDB
Adventist	Adventist's	np	noun: possessive	50	ESDB
Advil	Advil's	np	noun: possessive	50	ESDB
Aegean	Aegean's	np	noun: possessive	50	ESDB
Aelfric	Aelfric's	np	noun: possessive	50	ESDB
Aeneas	Aeneas's	np	noun: possessive	50	ESDB
Aeneid	Aeneid's	np	noun: possessive	50	ESDB
Aeolus	Aeolus's	np	noun: possessive	50	ESDB
Aeroflot	Aeroflot's	np	noun: possessive	50	ESDB
Aeschylus	Aeschylus's	np	noun: possessive	50	ESDB
Aesculapius	Aesculapius's	np	noun: possessive	50	ESDB
Aesop	Aesop's	np	noun: possessive	50	ESDB
Afghan	Afghan's	np	noun: possessive	50	ESDB
Afghan	Afghans	ns	noun: plural	50	ESDB
Afghani	Afghani's	np	noun: possessive	50	ESDB
Afghanistan	Afghanistan's	np	noun: possessive	50	ESDB
Africa	Africa's	np	noun: possessive	40	ESDB
African	African's	np	noun: possessive	35	ESDB
African	Africans	ns	noun: plural	35	ESDB
Afrikaans	Afrikaans's	np	noun: possessive	50	ESDB
Afrikaner	Afrikaner's	np	noun: possessive	50	ESDB
Afrikaner	Afrikaners	ns	noun: plural	60	ESDB
Afro	Afros	ns	noun: plural	50	ESDB
Afrocentrism	Afrocentrism's	np	noun: possessive	50	ESDB
Agamemnon	Agamemnon's	np	noun: possessive	50	ESDB
Agassi	Agassi's	np	noun: possessive	50	ESDB
Agassiz	Agassiz's	np	noun: possessive	50	ESDB
Agatha	Agatha's	np	noun: possessive	50	ESDB
Aggie	Aggie's	np	noun: possessive	50	ESDB
Aglaia	Aglaia's	np	noun: possessive	50	ESDB
Agnes	Agnes's	np	noun: possessive	50	ESDB
Agnew	Agnew's	np	noun: possessive	50	ESDB
Agni	Agni's	np	noun: possessive	50	ESDB
Agra	Agra's	np	noun: possessive	50	ESDB
Agricola	Agricola's	np	noun: possessive	50	ESDB
Agrippa	Agrippa's	np	noun: possessive	50	ESDB
Agrippina	Agrippina's	np	noun: possessive	50	ESDB
Aguadilla	Aguadilla's	np	noun: possessive	60	ESDB
Aguilar	Aguilar's	np	noun: possessive	50	ESDB
Aguinaldo	Aguinaldo's	np	noun: possessive	50	ESDB
Aguirre	Aguirre's	np	noun: possessive	50	ESDB
Agustin	Agustin's	np	noun: possessive	50	ESDB
Ahab	Ahab's	np	noun: possessive	50	ESDB
Ahmad	Ahmad's	np	noun: possessive	50	ESDB
Ahmadabad	Ahmadabad's	np	noun: possessive	50	ESDB
Ahmadinejad	Ahmadinejad's	np	noun: possessive	50	ESDB
Ahmed	Ahmed's	np	noun: possessive	50	ESDB
Ahriman	Ahriman's	np	noun: possessive	50	ESDB
Aida	Aida's	np	noun: possessive	50	ESDB
Aiken	Aiken's	np	noun: possessive	50	ESDB
Aileen	Aileen's	np	noun: possessive	50	ESDB
Aimee	Aimee's	np	noun: possessive	50	ESDB
Ainu	Ainu's	np	noun: possessive	50	ESDB
Airedale	Airedale's	np	noun: possessive	50	ESDB
Aires	Aires's	wep	multi-word ending: possessive	50	ESDB
Aisha	Aisha's	np	noun: possessive	50	ESDB
Ajax	Ajax's	np	noun: possessive	50	ESDB
Akbar	Akbar's	np	noun: possessive	50	ESDB
Akhmatova	Akhmatova's	np	noun: possessive	50	ESDB
Akihito	Akihito's	np	noun: possessive	50	ESDB
Akita	Akita's	np	noun: possessive	50	ESDB
Akiva	Akiva's	np	noun: possessive	50	ESDB
Akkad	Akkad's	np	noun: possessive	50	ESDB
Akron	Akron's	np	noun: possessive	50	ESDB
Al	Al's	np	noun: possessive	50	ESDB
Alabama	Alabama's	np	noun: possessive	50	ESDB
Alabaman	Alabaman's	np	noun: possessive	60	ESDB
Alabamian	Alabamian's	np	noun: possessive	50	ESDB
Alabamian	Alabamians	ns	noun: plural	60	ESDB
Aladdin	Aladdin's	np	noun: possessive	50	ESDB
Alamo	Alamo's	np	noun: possessive	50	ESDB
Alamogordo	Alamogordo's	np	noun: possessive	50	ESDB
Alan	Alan's	np	noun: possessive	50	ESDB
Alana	Alana's	np	noun: possessive	50	ESDB
Alar	Alar's	np	noun: possessive	50	ESDB
Alaric	Alaric's	np	noun: possessive	50	ESDB
Alaska	Alaska's	np	noun: possessive	50	ESDB
Alaskan	Alaskan's	np	noun: possessive	50	ESDB
Alaskan	Alaskans	ns	noun: plural	50	ESDB
Alba	Alba's	np	noun: possessive	50	ESDB
Albania	Albania's	np	noun: possessive	50	ESDB
Albanian	Albanian's	np	noun: possessive	50	ESDB
Albanian	Albanians	ns	noun: plural	50	ESDB
Albany	Albany's	np	noun: possessive	50	ESDB
Albee	Albee's	np	noun: possessive	50	ESDB
Alberio	Alberio's	np	noun: possessive	50	ESDB
Albert	Albert's	np	noun: possessive	50	ESDB
Alberta	Alberta's	np	noun: possessive	50	ESDB
Alberto	Alberto's	np	noun: possessive	50	ESDB
Albion	Albion's	np	noun: possessive	50	ESDB
Albireo	Albireo's	np	noun: possessive	50	ESDB
Albuquerque	Albuquerque's	np	noun: possessive	50	ESDB
Alcatraz	Alcatraz's	np	noun: possessive	50	ESDB
Alcestis	Alcestis's	np	noun: possessive	50	ESDB
Alcibiades	Alcibiades's	np	noun: possessive	50	ESDB
Alcindor	Alcindor's	np	noun: possessive	50	ESDB
Alcmena	Alcmena's	np	noun: possessive	50	ESDB
Alcoa	Alcoa's	np	noun: possessive	50	ESDB
Alcott	Alcott's	np	noun: possessive	50	ESDB
Alcuin	Alcuin's	np	noun: possessive	50	ESDB
Alcyone	Alcyone's	np	noun: possessive	50	ESDB
Aldan	Aldan's	np	noun: possessive	50	ESDB
Aldebaran	Aldebaran's	np	noun: possessive	50	ESDB
Alden	Alden's	np	noun: possessive	50	ESDB
Alderamin	Alderamin's	np	noun: possessive	50	ESDB
Aldo	Aldo's	np	noun: possessive	50	ESDB
Aldrin	Aldrin's	np	noun: possessive	50	ESDB
Alec	Alec's	np	noun: possessive	50	ESDB
Aleichem	Aleichem's	np	noun: possessive	50	ESDB
Alejandra	Alejandra's	np	noun: possessive	50	ESDB
Alejandro	Alejandro's	np	noun: possessive	50	ESDB
Alembert	Alembert's	np	noun: possessive	50	ESDB
Aleppo	Aleppo's	np	noun: possessive	50	ESDB
Aleut	Aleut's	np	noun: possessive	50	ESDB
Aleutian	Aleutian's	np	noun: possessive	50	ESDB
Alex	Alex's	np	noun: possessive	50	ESDB
Alexander	Alexander's	np	noun: possessive	50	ESDB
Alexandra	Alexandra's	np	noun: possessive	50	ESDB
Alexandria	Alexandria's	np	noun: possessive	50	ESDB
Alexandrian	Alexandrian's	np	noun: possessive	60	ESDB
Alexei	Alexei's	np	noun: possessive	50	ESDB
Alexis	Alexis's	np	noun: possessive	50	ESDB
Alfonso	Alfonso's	np	noun: possessive	50	ESDB
Alfonzo	Alfonzo's	np	noun: possessive	50	ESDB
Alford	Alford's	np	noun: possessive	50	ESDB
Alfred	Alfred's	np	noun: possessive	50	ESDB
Alfreda	Alfreda's	np	noun: possessive	50	ESDB
Alfredo	Alfredo's	np	noun: possessive	50	ESDB
Algenib	Algenib's	np	noun: possessive	50	ESDB
Alger	Alger's	np	noun: possessive	50	ESDB
Algeria	Algeria's	np	noun: possessive	50	ESDB
Algerian	Algerian's	np	noun: possessive	50	ESDB
Algerian	Algerians	ns	noun: plural	50	ESDB
Algieba	Algieba's	np	noun: possessive	50	ESDB
Algiers	Algiers's	np	noun: possessive	50	ESDB
Algol	Algol's	np	noun: possessive	50	ESDB
Algonquian	Algonquian's	np	noun: possessive	50	ESDB
Algonquin	Algonquin's	np	noun: possessive	50	ESDB
Alhambra	Alhambra's	np	noun: possessive	50	ESDB
Alhena	Alhena's	np	noun: possessive	50	ESDB
Ali	Ali's	np	noun: possessive	50	ESDB
Alice	Alice's	np	noun: possessive	50	ESDB
Alicia	Alicia's	np	noun: possessive	50	ESDB
Alighieri	Alighieri's	np	noun: possessive	50	ESDB
Aline	Aline's	np	noun: possessive	50	ESDB
Alioth	Alioth's	np	noun: possessive	50	ESDB
Alisa	Alisa's	np	noun: possessive	50	ESDB
Alisha	Alisha's	np	noun: possessive	50	ESDB
Alison	Alison's	np	noun: possessive	50	ESDB
Alissa	Alissa's	np	noun: possessive	50	ESDB
Alistair	Alistair's	np	noun: possessive	50	ESDB
Alkaid	Alkaid's	np	noun: possessive	50	ESDB
Allah	Allah's	np	noun: possessive	35	ESDB
Allahabad	Allahabad's	np	noun: possessive	50	ESDB
Allan	Allan's	np	noun: possessive	50	ESDB
Alleghenies	Alleghenies's	np	noun: possessive	50	ESDB
Allegheny	Allegheny's	np	noun: possessive	50	ESDB
Allegra	Allegra's	np	noun: possessive	50	ESDB
Allen	Allen's	np	noun: possessive	50	ESDB
Allende	Allende's	np	noun: possessive	50	ESDB
Allentown	Allentown's	np	noun: possessive	50	ESDB
Allie	Allie's	np	noun: possessive	50	ESDB
Allies	Allies's	np	noun: possessive	60	ESDB
Allison	Allison's	np	noun: possessive	50	ESDB
Allstate	Allstate's	np	noun: possessive	50	ESDB
Allyson	Allyson's	np	noun: possessive	50	ESDB
Alma	Alma's	np	noun: possessive	50	ESDB
Almach	Almach's	np	noun: possessive	50	ESDB
Almaty	Almaty's	np	noun: possessive	50	ESDB
Almighty	Almighty's	np	noun: possessive	50	ESDB
Almohad	Almohad's	np	noun: possessive	50	ESDB
Almoravid	Almoravid's	np	noun: possessive	50	ESDB
Alnilam	Alnilam's	np	noun: possessive	50	ESDB
Alnitak	Alnitak's	np	noun: possessive	50	ESDB
Alonzo	Alonzo's	np	noun: possessive	50	ESDB
Alpert	Alpert's	np	noun: possessive	50	ESDB
Alphard	Alphard's	np	noun: possessive	50	ESDB
Alphecca	Alphecca's	np	noun: possessive	50	ESDB
Alpheratz	Alpheratz's	np	noun: possessive	50	ESDB
Alphonse	Alphonse's	np	noun: possessive	50	ESDB
Alphonso	Alphonso's	np	noun: possessive	50	ESDB
Alpo	Alpo's	np	noun: possessive	50	ESDB
Alps	Alps's	np	noun: possessive	50	ESDB
Alsace	Alsace's	np	noun: possessive	50	ESDB
Alsatian	Alsatian's	np	noun: possessive	50	ESDB
Alsatian	Alsatians	ns	noun: plural	60	ESDB
Alsop	Alsop's	np	noun: possessive	50	ESDB
Alston	Alston's	np	noun: possessive	50	ESDB
Alta	Alta's	np	noun: possessive	50	ESDB
Altaba	Altaba's	np	noun: possessive	50	ESDB
Altai	Altai's	np	noun: possessive	50	ESDB
Altaic	Altaic's	np	noun: possessive	50	ESDB
Altair	Altair's	np	noun: possessive	50	ESDB
Altamira	Altamira's	np	noun: possessive	50	ESDB
Althea	Althea's	np	noun: possessive	50	ESDB
Altiplano	Altiplano's	np	noun: possessive	50	ESDB
Altman	Altman's	np	noun: possessive	50	ESDB
Altoids	Altoids's	np	noun: possessive	50	ESDB
Alton	Alton's	np	noun: possessive	50	ESDB
Altoona	Altoona's	np	noun: possessive	60	ESDB
Aludra	Aludra's	np	noun: possessive	50	ESDB
