word	key	domain	source
ACM	acm	computing_acronyms	CSpell software-terms
ADMIN	admin	computing_acronyms	CSpell software-terms
BTN	btn	computing_acronyms	CSpell software-terms
BTNS	btns	computing_acronyms	CSpell software-terms
CDN	cdn	computing_acronyms	CSpell software-terms
CEIP	ceip	computing_acronyms	CSpell software-terms
CEST	cest	computing_acronyms	CSpell software-terms
CGA	cga	computing_acronyms	CSpell software-terms
CMOS	cmos	computing_acronyms	CSpell software-terms
CN	cn	computing_acronyms	CSpell software-terms
CSAT	csat	computing_acronyms	CSpell software-terms
CTL	ctl	computing_acronyms	CSpell software-terms
DAL	dal	computing_acronyms	CSpell software-terms
DB	db	computing_acronyms	CSpell software-terms
DBAL	dbal	computing_acronyms	CSpell software-terms
DDR	ddr	computing_acronyms	CSpell software-terms
DEV	dev	computing_acronyms	CSpell software-terms
DEVs	devs	computing_acronyms	CSpell software-terms
DOS	dos	computing_acronyms	CSpell software-terms
DRAM	dram	computing_acronyms	CSpell software-terms
DRM	drm	computing_acronyms	CSpell software-terms
DSNU	dsnu	computing_acronyms	CSpell software-terms
EET	eet	computing_acronyms	CSpell software-terms
EGA	ega	computing_acronyms	CSpell software-terms
ESA	esa	computing_acronyms	CSpell software-terms
FPM	fpm	computing_acronyms	CSpell software-terms
GCE	gce	computing_acronyms	CSpell software-terms
GCESD	gcesd	computing_acronyms	CSpell software-terms
GCP	gcp	computing_acronyms	CSpell software-terms
GCS	gcs	computing_acronyms	CSpell software-terms
GEMM	gemm	computing_acronyms	CSpell software-terms
GNSS	gnss	computing_acronyms	CSpell software-terms
GPKG	gpkg	computing_acronyms	CSpell software-terms
GSM	gsm	computing_acronyms	CSpell software-terms
GUI	gui	computing_acronyms	CSpell software-terms
GUID	guid	computing_acronyms	CSpell software-terms
HDD	hdd	computing_acronyms	CSpell software-terms
HDMI	hdmi	computing_acronyms	CSpell software-terms
HPBW	hpbw	computing_acronyms	CSpell software-terms
HTML	html	computing_acronyms	CSpell software-terms
HTTP	http	computing_acronyms	CSpell software-terms
HTTPS	https	computing_acronyms	CSpell software-terms
HTTPSD	httpsd	computing_acronyms	CSpell software-terms
IEEE	ieee	computing_acronyms	CSpell software-terms
IP	ip	computing_acronyms	CSpell software-terms
IRSA	irsa	computing_acronyms	CSpell software-terms
JPDC	jpdc	computing_acronyms	CSpell software-terms
JSON	json	computing_acronyms	CSpell software-terms
JSONLD	jsonld	computing_acronyms	CSpell software-terms
JWKS	jwks	computing_acronyms	CSpell software-terms
JWT	jwt	computing_acronyms	CSpell software-terms
KEDA	keda	computing_acronyms	CSpell software-terms
LEDDAR	leddar	computing_acronyms	CSpell software-terms
LPSTR	lpstr	computing_acronyms	CSpell software-terms
LSM	lsm	computing_acronyms	CSpell software-terms
LTS	lts	computing_acronyms	CSpell software-terms
LXC	lxc	computing_acronyms	CSpell software-terms
NDJSON	ndjson	computing_acronyms	CSpell software-terms
NOREF	noref	computing_acronyms	CSpell software-terms
ODBC	odbc	computing_acronyms	CSpell software-terms
OIDC	oidc	computing_acronyms	CSpell software-terms
OLM	olm	computing_acronyms	CSpell software-terms
OSS	oss	computing_acronyms	CSpell software-terms
OTL	otl	computing_acronyms	CSpell software-terms
OTLP	otlp	computing_acronyms	CSpell software-terms
OU	ou	computing_acronyms	CSpell software-terms
PARCO	parco	computing_acronyms	CSpell software-terms
PCTL	pctl	computing_acronyms	CSpell software-terms
PLSQL	plsql	computing_acronyms	CSpell software-terms
PRNU	prnu	computing_acronyms	CSpell software-terms
PSTR	pstr	computing_acronyms	CSpell software-terms
RAM	ram	computing_acronyms	CSpell software-terms
RDP	rdp	computing_acronyms	CSpell software-terms
REF	ref	computing_acronyms	CSpell software-terms
REFs	refs	computing_acronyms	CSpell software-terms
RPC	rpc	computing_acronyms	CSpell software-terms
RPCs	rpcs	computing_acronyms	CSpell software-terms
SDRAM	sdram	computing_acronyms	CSpell software-terms
SQL	sql	computing_acronyms	CSpell software-terms
SRAM	sram	computing_acronyms	CSpell software-terms
SSD	ssd	computing_acronyms	CSpell software-terms
SSID	ssid	computing_acronyms	CSpell software-terms
SVGA	svga	computing_acronyms	CSpell software-terms
TCP	tcp	computing_acronyms	CSpell software-terms
TPDS	tpds	computing_acronyms	CSpell software-terms
TSDB	tsdb	computing_acronyms	CSpell software-terms
TSQL	tsql	computing_acronyms	CSpell software-terms
UHF	uhf	computing_acronyms	CSpell software-terms
UI	ui	computing_acronyms	CSpell software-terms
UTP	utp	computing_acronyms	CSpell software-terms
UUID	uuid	computing_acronyms	CSpell software-terms
UUIDs	uuids	computing_acronyms	CSpell software-terms
VGA	vga	computing_acronyms	CSpell software-terms
VHS	vhs	computing_acronyms	CSpell software-terms
VLDB	vldb	computing_acronyms	CSpell software-terms
VNC	vnc	computing_acronyms	CSpell software-terms
VPN	vpn	computing_acronyms	CSpell software-terms
VPS	vps	computing_acronyms	CSpell software-terms
VRAM	vram	computing_acronyms	CSpell software-terms
W3C	w3c	computing_acronyms	CSpell software-terms
WAN	wan	computing_acronyms	CSpell software-terms
WAP	wap	computing_acronyms	CSpell software-terms
WHATWG	whatwg	computing_acronyms	CSpell software-terms
WWW	www	computing_acronyms	CSpell software-terms
