word	key	domain	source
Actionlint	actionlint	software_tools	CSpell software-terms
ActiveMQ	activemq	software_tools	CSpell software-terms
Adminer	adminer	software_tools	CSpell software-terms
ADTF	adtf	software_tools	CSpell software-terms
airbrake	airbrake	software_tools	CSpell software-terms
AirWatch	airwatch	software_tools	CSpell software-terms
AKS	aks	software_tools	CSpell software-terms
Alacritty	alacritty	software_tools	CSpell software-terms
Alertmanager	alertmanager	software_tools	CSpell software-terms
alertname	alertname	software_tools	CSpell software-terms
Alibaba	alibaba	software_tools	CSpell software-terms
all-contributorsrc	all-contributorsrc	software_tools	CSpell software-terms
alpine	alpine	software_tools	CSpell software-terms
anaconda	anaconda	software_tools	CSpell software-terms
Android	android	software_tools	CSpell software-terms
Anka	anka	software_tools	CSpell software-terms
Ansible	ansible	software_tools	CSpell software-terms
Antergos	antergos	software_tools	CSpell software-terms
AntiSamy	antisamy	software_tools	CSpell software-terms
APISIX	apisix	software_tools	CSpell software-terms
Apparmor	apparmor	software_tools	CSpell software-terms
appcenter	appcenter	software_tools	CSpell software-terms
Appveyor	appveyor	software_tools	CSpell software-terms
aquasecurity	aquasecurity	software_tools	CSpell software-terms
Arch	arch	software_tools	CSpell software-terms
ArchWiki	archwiki	software_tools	CSpell software-terms
ArgoCD	argocd	software_tools	CSpell software-terms
ArgoProj	argoproj	software_tools	CSpell software-terms
ariakit	ariakit	software_tools	CSpell software-terms
arithmatex	arithmatex	software_tools	CSpell software-terms
Artifactory	artifactory	software_tools	CSpell software-terms
ASAM	asam	software_tools	CSpell software-terms
asammdf	asammdf	software_tools	CSpell software-terms
asdf	asdf	software_tools	CSpell software-terms
Atlaskit	atlaskit	software_tools	CSpell software-terms
autodocstring	autodocstring	software_tools	CSpell software-terms
autogen	autogen	software_tools	CSpell software-terms
automake	automake	software_tools	CSpell software-terms
Autoware	autoware	software_tools	CSpell software-terms
AutowareFoundation	autowarefoundation	software_tools	CSpell software-terms
Avro	avro	software_tools	CSpell software-terms
avsc	avsc	software_tools	CSpell software-terms
AWS	aws	software_tools	CSpell software-terms
azurecli	azurecli	software_tools	CSpell software-terms
Bacula	bacula	software_tools	CSpell software-terms
bantime	bantime	software_tools	CSpell software-terms
Bazel	bazel	software_tools	CSpell software-terms
Berkshelf	berkshelf	software_tools	CSpell software-terms
betterem	betterem	software_tools	CSpell software-terms
Betterleaks	betterleaks	software_tools	CSpell software-terms
betterleaksignore	betterleaksignore	software_tools	CSpell software-terms
Bitbucket	bitbucket	software_tools	CSpell software-terms
bitnamicharts	bitnamicharts	software_tools	CSpell software-terms
bittorrent	bittorrent	software_tools	CSpell software-terms
blackduck	blackduck	software_tools	CSpell software-terms
bodyparser	bodyparser	software_tools	CSpell software-terms
buildkitd	buildkitd	software_tools	CSpell software-terms
Buildkite	buildkite	software_tools	CSpell software-terms
bundler	bundler	software_tools	CSpell software-terms
busybox	busybox	software_tools	CSpell software-terms
bzip	bzip	software_tools	CSpell software-terms
Capitan	capitan	software_tools	CSpell software-terms
castai	castai	software_tools	CSpell software-terms
Ccache	ccache	software_tools	CSpell software-terms
ccloud	ccloud	software_tools	CSpell software-terms
ccmake	ccmake	software_tools	CSpell software-terms
CentOS	centos	software_tools	CSpell software-terms
Ceph	ceph	software_tools	CSpell software-terms
Checkov	checkov	software_tools	CSpell software-terms
ChefSpec	chefspec	software_tools	CSpell software-terms
chmod	chmod	software_tools	CSpell software-terms
chown	chown	software_tools	CSpell software-terms
chpasswd	chpasswd	software_tools	CSpell software-terms
chroot	chroot	software_tools	CSpell software-terms
CircleCI	circleci	software_tools	CSpell software-terms
clangd	clangd	software_tools	CSpell software-terms
Cloudera	cloudera	software_tools	CSpell software-terms
cloudflared	cloudflared	software_tools	CSpell software-terms
Cloudkick	cloudkick	software_tools	CSpell software-terms
CloudStack	cloudstack	software_tools	CSpell software-terms
cmake	cmake	software_tools	CSpell software-terms
cnpg	cnpg	software_tools	CSpell software-terms
cobertura	cobertura	software_tools	CSpell software-terms
CockroachDB	cockroachdb	software_tools	CSpell software-terms
Codebeamer	codebeamer	software_tools	CSpell software-terms
codecov	codecov	software_tools	CSpell software-terms
codeium	codeium	software_tools	CSpell software-terms
codeql	codeql	software_tools	CSpell software-terms
codicon	codicon	software_tools	CSpell software-terms
codicons	codicons	software_tools	CSpell software-terms
collectd	collectd	software_tools	CSpell software-terms
conda	conda	software_tools	CSpell software-terms
confluentinc	confluentinc	software_tools	CSpell software-terms
containerd	containerd	software_tools	CSpell software-terms
conventionalcommits	conventionalcommits	software_tools	CSpell software-terms
corepack	corepack	software_tools	CSpell software-terms
coreutils	coreutils	software_tools	CSpell software-terms
Couchbase	couchbase	software_tools	CSpell software-terms
CouchDB	couchdb	software_tools	CSpell software-terms
cpplint	cpplint	software_tools	CSpell software-terms
cpptools	cpptools	software_tools	CSpell software-terms
Crashlytics	crashlytics	software_tools	CSpell software-terms
cron	cron	software_tools	CSpell software-terms
CSharpier	csharpier	software_tools	CSpell software-terms
cspell	cspell	software_tools	CSpell software-terms
cspellcache	cspellcache	software_tools	CSpell software-terms
ctag	ctag	software_tools	CSpell software-terms
ctags	ctags	software_tools	CSpell software-terms
cygpath	cygpath	software_tools	CSpell software-terms
