word	key	domain	source
allcontributors	allcontributors	web_services	CSpell software-terms
Apigee	apigee	web_services	CSpell software-terms
Appointedd	appointedd	web_services	CSpell software-terms
bunnycdn	bunnycdn	web_services	CSpell software-terms
calendly	calendly	web_services	CSpell software-terms
caniuse	caniuse	web_services	CSpell software-terms
cdnjs	cdnjs	web_services	CSpell software-terms
Codespace	codespace	web_services	CSpell software-terms
Codespaces	codespaces	web_services	CSpell software-terms
dependabot	dependabot	web_services	CSpell software-terms
gcr	gcr	web_services	CSpell software-terms
imessage	imessage	web_services	CSpell software-terms
io	io	web_services	CSpell software-terms
jsdelivr	jsdelivr	web_services	CSpell software-terms
keycloak	keycloak	web_services	CSpell software-terms
Mailgun	mailgun	web_services	CSpell software-terms
musixmatch	musixmatch	web_services	CSpell software-terms
netlify	netlify	web_services	CSpell software-terms
OpenFGA	openfga	web_services	CSpell software-terms
probot	probot	web_services	CSpell software-terms
soapenv	soapenv	web_services	CSpell software-terms
todoist	todoist	web_services	CSpell software-terms
unpkg	unpkg	web_services	CSpell software-terms
