# 青简领域词库：汽车，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一二档	yi er dang	1
一档齿轮	yi dang chi lun	7
一汽丰越	yi qi feng yue	10
一汽华利幸福使者	yi qi hua li xing fu shi zhe	5
一汽吉林森雅	yi qi ji lin sen ya	5
一汽大众汽车俱乐部	yi qi da zhong qi che ju le bu	2
一汽奥迪	yi qi ao di	2
一汽威志	yi qi wei zhi	11
一汽客车有限公司	yi qi ke che you xian gong si	6
一汽解放汽车有限公司	yi qi jie fang qi che you xian gong si	9
一汽轿车	yi qi jiao che	1
一汽马自达	yi qi ma zi da	15
一级方程序赛车	yi ji fang cheng xu sai che	5
万向液压	wan xiang ye ya	3
万宇汽车运动俱乐部	wan yu qi che yun dong ju le bu	8
三元催化转换器	san yuan cui hua zhuan huan qi	10
三四档	san si dang	8
三效催化器	san xiao cui hua qi	3
三角带	san jiao dai	4
三角玻璃	san jiao bo li	3
上摆臂	shang bai bi	9
上止点	shang zhi dian	3
上海大众斯柯达	shang hai da zhong si ke da	1
上海大众斯柯达明锐	shang hai da zhong si ke da ming rui	11
上海通用凯迪拉克	shang hai tong yong kai di la ke	10
上海通用别克	shang hai tong yong bie ke	13
下坡辅助系统	xia po fu zhu xi tong	9
下导流板	xia dao liu ban	6
下悬挂胶套	xia xuan gua jiao tao	3
下护	xia hu	8
下护板	xia hu ban	12
下摆臂	xia bai bi	4
下格栅	xia ge zha	1
下横臂	xia heng bi	9
下脚垫	xia jiao dian	4
下边梁	xia bian liang	7
下门槛	xia men kan	8
不回位	bu hui wei	9
不锈钢阀	bu xiu gang fa	2
专项作业车	zhuan xiang zuo ye che	1
世界窗膜协会	shi jie chuang mo xie hui	7
丙酸纤维素	bing suan xian wei su	1
业界动态	ye jie dong tai	14
东风奥丁	dong feng ao ding	7
东风小康	dong feng xiao kang	6
东风康明斯	dong feng kang ming si	4
东风悦达	dong feng yue da	16
东风悦达起亚	dong feng yue da qi ya	1
东风悦达起亚狮跑	dong feng yue da qi ya shi pao	10
东风日产	dong feng ri chan	15
东风日产北京	dong feng ri chan bei jing	9
东风日产奇骏	dong feng ri chan qi jun	6
东风景逸	dong feng jing yi	2
东风朝柴	dong feng chao chai	9
东风本田	dong feng ben tian	8
东风汗马	dong feng han ma	9
东风渝安	dong feng yu an	10
东风牌小轿车	dong feng pai xiao jiao che	7
东风越野	dong feng yue ye	9
两分频喇叭	liang fen pin la ba	2
两前	liang qian	13
两前轮	liang qian lun	10
两厢半式轿车	liang xiang ban shi jiao che	4
中低音	zhong di yin	15
中兴汽车标志	zhong xing qi che biao zhi	2
中兴汽车驰野	zhong xing qi che chi ye	2
中华骏捷	zhong hua jun jie	14
中后桥	zhong hou qiao	7
中国三菱拉力艺车队	zhong guo san ling la li yi che dui	8
中国专用汽车网	zhong guo zhuan yong qi che wang	4
中国二手车城	zhong guo er shou che cheng	17
中国四大汽车集团	zhong guo si da qi che ji tuan	4
中国国际汽车展览会	zhong guo guo ji qi che zhan lan hui	5
中国汽摩频道	zhong guo qi mo pin dao	5
中国汽贸网	zhong guo qi mao wang	4
中国汽车工业产销快讯	zhong guo qi che gong ye chan xiao kuai xun	7
中国汽车工业信息网	zhong guo qi che gong ye xin xi wang	8
中国汽车工业年鉴	zhong guo qi che gong ye nian jian	7
中国汽车工程学会	zhong guo qi che gong cheng xue hui	6
中国汽车技术研究中心	zhong guo qi che ji shu yan jiu zhong xin	14
中国汽车网	zhong guo qi che wang	14
中国电动车协会	zhong guo dian dong che xie hui	7
中大汽车	zhong da qi che	12
中大金陵客车	zhong da jin ling ke che	4
中客华北	zhong ke hua bei	6
中控方向盘	zhong kong fang xiang pan	9
中桥园柱齿轮壳	zhong qiao yuan zhu chi lun ke	2
中段消声器	zhong duan xiao sheng qi	2
