# 青简领域词库：财经，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一年期	yi nian qi	20
一德	yi de	5
一本通	yi ben tong	2
一汽夏利	yi qi xia li	2
一汽富维	yi qi fu wei	2
一汽金杯	yi qi jin bei	3
七乐彩	qi le cai	9
七星电子	qi xing dian zi	5
万丰奥威	wan feng ao wei	6
万利达	wan li da	8
万力达	wan li da	5
万向德农	wan xiang de nong	4
万威国际	wan wei guo ji	3
万家乐	wan jia le	2
万家基金	wan jia ji jin	3
万年薪	wan nian xin	3
万昌科技	wan chang ke ji	4
万泽股份	wan ze gu fen	1
万象集团	wan xiang ji tuan	3
万通地产	wan tong di chan	9
万邦达	wan bang da	8
万顺昌	wan shun chang	5
三一重工	san yi zhong gong	6
三丰智能	san feng zhi neng	5
三五互联	san wu hu lian	3
三井银行	san jing yin hang	27
三元达	san yuan da	5
三全食品	san quan shi pin	4
三力	san li	9
三力士	san li shi	4
三季度	san ji du	19
三安光电	san an guang dian	2
三房巷	san fang xiang	6
三星电气	san xing dian qi	2
三普	san pu	8
三普药业	san pu yao ye	4
三木集团	san mu ji tuan	2
三泰电子	san tai dian zi	2
三特索道	san te suo dao	5
三维丝	san wei si	5
三联商社	san lian shang she	8
三菱银行	san ling yin hang	15
上市规则	shang shi gui ze	7
上提	shang ti	4
上月	shang yue	17
上海九百	shang hai jiu bai	2
上海佳豪	shang hai jia hao	8
上海凤凰	shang hai feng huang	6
上海凯宝	shang hai kai bao	1
上海分行	shang hai fen hang	44
上海医药	shang hai yi yao	15
上海地产	shang hai di chan	11
上海建工	shang hai jian gong	11
上海新梅	shang hai xin mei	3
上海普天	shang hai pu tian	2
上海有色金属网	shang hai you se jin shu wang	2
上海机场	shang hai ji chang	11
上海机电	shang hai ji dian	3
上海梅林	shang hai mei lin	12
上海港机	shang hai gang ji	3
上海物贸	shang hai wu mao	4
上海电力	shang hai dian li	14
上海电气	shang hai dian qi	16
上海石化	shang hai shi hua	2
上海科技	shang hai ke ji	30
上海绿新	shang hai lv xin	4
上海莱士	shang hai lai shi	7
上海证券	shang hai zheng quan	4
上海证券报	shang hai zheng quan bao	6
上海证大	shang hai zheng da	6
上海贝岭	shang hai bei ling	6
上海辅仁	shang hai fu ren	3
上海金融	shang hai jin rong	35
上海金融学院	shang hai jin rong xue yuan	3
上海金陵	shang hai jin ling	4
上海钢联	shang hai gang lian	5
上港集团	shang gang ji tuan	21
上电	shang dian	4
上破	shang po	6
上证	shang zheng	14
上证综指	shang zheng zong zhi	3
上证股	shang zheng gu	5
下破	xia po	7
下轨	xia gui	8
不可撤销	bu ke che xiao	23
不容乐观	bu rong le guan	21
业务线	ye wu xian	9
东信	dong xin	30
东光集团	dong guang ji tuan	3
东北财经大学	dong bei cai jing da xue	27
东华科技	dong hua ke ji	2
东华能源	dong hua neng yuan	1
东华软件	dong hua ruan jian	1
东吴嘉禾	dong wu jia he	1
东安黑豹	dong an hei bao	2
东富龙	dong fu long	1
东控	dong kong	4
东方保本	dong fang bao ben	3
东方国信	dong fang guo xin	7
东方报业集团	dong fang bao ye ji tuan	12
东方汇理银行	dong fang hui li yin hang	20
东方电机	dong fang dian ji	2
东方通信	dong fang tong xin	3
东方金钰	dong fang jin yu	1
东方银星	dong fang yin xing	3
东方银行	dong fang yin hang	3
东方锆业	dong fang gao ye	2
东方雨虹	dong fang yu hong	1
东源电器	dong yuan dian qi	3
东百集团	dong bai ji tuan	2
东盛	dong sheng	19
东碳	dong tan	2
东软集团	dong ruan ji tuan	4
东锅	dong guo	5
东阿阿胶	dong e e jiao	2
东风集团	dong feng ji tuan	5
个人理财	ge ren li cai	15
个股	ge gu	30
中侨	zhong qiao	20
中信国安	zhong xin guo an	10
中信实业银行	zhong xin shi ye yin hang	4
中信控股	zhong xin kong gu	3
中信泰富	zhong xin tai fu	13
中信海直	zhong xin hai zhi	1
中信银行	zhong xin yin hang	47
中信集团	zhong xin ji tuan	21
中创信测	zhong chuang xin ce	2
中化	zhong hua	11
中化国际	zhong hua guo ji	2
中化岩土	zhong hua yan tu	5
中北	zhong bei	11
中华工商时报	zhong hua gong shang shi bao	2
中华网	zhong hua wang	27
中南重工	zhong nan zhong gong	7
中原信托	zhong yuan xin tuo	5
中原特钢	zhong yuan te gang	3
中国人寿	zhong guo ren shou	36
中国人民保险公司	zhong guo ren min bao xian gong si	27
中国人民建设银行	zhong guo ren min jian she yin hang	5
中国信达资产管理公司	zhong guo xin da zi chan guan li gong si	8
中国凤凰	zhong guo feng huang	3
中国北车	zhong guo bei che	38
中国医疗	zhong guo yi liao	16
中国南车	zhong guo nan che	36
中国商报	zhong guo shang bao	9
中国国航	zhong guo guo hang	2
中国国贸	zhong guo guo mao	4
中国国际信托投资公司	zhong guo guo ji xin tuo tou zi gong si	3
中国国际招标网	zhong guo guo ji zhao biao wang	4
中国太保	zhong guo tai bao	1
中国太平	zhong guo tai ping	14
中国宝安	zhong guo bao an	1
中国平安	zhong guo ping an	40
中国忠旺	zhong guo zhong wang	4
中国报告大厅	zhong guo bao gao da ting	2
中国星集团	zhong guo xing ji tuan	4
中国有色金属	zhong guo you se jin shu	38
中国有色金属报	zhong guo you se jin shu bao	2
中国服装	zhong guo fu zhuang	9
中国民营经济周刊	zhong guo min ying jing ji zhou kan	2
中国水业集团	zhong guo shui ye ji tuan	2
中国水务	zhong guo shui wu	1
中国消防	zhong guo xiao fang	23
中国玻璃	zhong guo bo li	2
中国矿业	zhong guo kuang ye	10
中国科健股份有限公司	zhong guo ke jian gu fen you xian gong si	3
中国管理传播网	zhong guo guan li chuan bo wang	2
中国经济周刊	zhong guo jing ji zhou kan	6
中国经济报告	zhong guo jing ji bao gao	1
中国经济时报	zhong guo jing ji shi bao	5
中国经营报	zhong guo jing ying bao	8
中国网通	zhong guo wang tong	11
中国联合商报	zhong guo lian he shang bao	4
中国股市	zhong guo gu shi	11
中国西电	zhong guo xi dian	3
中国证券报	zhong guo zheng quan bao	10
中国财富	zhong guo cai fu	2
中国财经报	zhong guo cai jing bao	2
中国资本市场	zhong guo zi ben shi chang	4
中国远洋	zhong guo yuan yang	26
中国重汽	zhong guo zhong qi	3
中国铁建	zhong guo tie jian	46
中国食品	zhong guo shi pin	40
中央结算公司	zhong yang jie suan gong si	1
中孚实业	zhong fu shi ye	1
中小散户	zhong xiao san hu	9
中小板	zhong xiao ban	47
中小板指	zhong xiao ban zhi	7
中小盘股	zhong xiao pan gu	10
中川国际	zhong chuan guo ji	2
中彩网	zhong cai wang	3
中恒	zhong heng	10
中恒电气	zhong heng dian qi	3
中恒集团	zhong heng ji tuan	4
中房	zhong fang	10
中房股份	zhong fang gu fen	2
中投公司	zhong tou gong si	3
中服	zhong fu	7
中标者	zhong biao zhe	14
中核科技	zhong he ke ji	2
中核钛白	zhong he tai bai	4
中欧鼎利	zhong ou ding li	2
中江地产	zhong jiang di chan	3
中泰化学	zhong tai hua xue	3
中海油	zhong hai you	15
中海达	zhong hai da	4
中润	zhong run	7
中源	zhong yuan	31
中燕	zhong yan	3
中瑞思创	zhong rui si chuang	4
中电投	zhong dian tou	7
中盘股	zhong pan gu	1
中科	zhong ke	11
中科三环	zhong ke san huan	7
中科健	zhong ke jian	4
中科创业	zhong ke chuang ye	2
中科合臣	zhong ke he chen	3
中科英华	zhong ke ying hua	7
中科软	zhong ke ruan	6
中签	zhong qian	30
中粮屯河	zhong liang tun he	7
中纺	zhong fang	37
中纺机	zhong fang ji	2
中联债	zhong lian zhai	3
中联重科	zhong lian zhong ke	3
中航三鑫	zhong hang san xin	1
中航光电	zhong hang guang dian	4
中航地产	zhong hang di chan	2
中航科工	zhong hang ke gong	4
中航精机	zhong hang jing ji	6
中航重机	zhong hang zhong ji	3
中行	zhong hang	13
中西药业	zhong xi yao ye	2
中资银行	zhong zi yin hang	33
中辽	zhong liao	4
中金公司	zhong jin gong si	5
中钢吉炭	zhong gang ji tan	2
中钨	zhong wu	15
中铁二局	zhong tie er ju	27
中银卡	zhong yin ka	3
中银国际	zhong yin guo ji	5
中银绒业	zhong yin rong ye	5
中长线	zhong chang xian	1
中集	zhong ji	11
中集安瑞科	zhong ji an rui ke	4
中集集团	zhong ji ji tuan	1
中青宝	zhong qing bao	9
中顺洁柔	zhong shun jie rou	3
中鲁	zhong lu	6
丰华	feng hua	30
丰林集团	feng lin ji tuan	5
丹江	dan jiang	29
主力资金	zhu li zi jin	2
主要措施	zhu yao cuo shi	6
丽悦酒店	li yue jiu dian	1
丽珠集团	li zhu ji tuan	4
久立特材	jiu li te cai	5
乐电	le dian	5
九九久	jiu jiu jiu	4
九发	jiu fa	5
九州通	jiu zhou tong	14
九阳股份有限公司	jiu yang gu fen you xian gong si	7
九龙仓集团	jiu long cang ji tuan	17
九龙山	jiu long shan	37
买卖合同	mai mai he tong	20
买断型	mai duan xing	1
买空	mai kong	5
二季度	er ji du	9
二纺	er fang	4
二纺机	er fang ji	5
亏损面	kui sun mian	2
云南城投	yun nan cheng tou	2
云南白药	yun nan bai yao	6
云南盐化	yun nan yan hua	1
云南盐化股份有限公司	yun nan yan hua gu fen you xian gong si	4
云南锗业	yun nan zhe ye	2
云南马龙	yun nan ma long	1
云天化	yun tian hua	20
云海金属	yun hai jin shu	3
互太纺织	hu tai fang zhi	1
互联网周刊	hu lian wang zhou kan	2
五年期以上	wu nian qi yi shang	3
五洲明珠	wu zhou ming zhu	2
五矿发展	wu kuang fa zhan	3
五矿建设	wu kuang jian she	6
五矿期货	wu kuang qi huo	2
五矿证券	wu kuang zheng quan	2
五粮	wu liang	2
五道口	wu dao kou	20
亚信	ya xin	12
亚夏汽车	ya xia qi che	4
亚星	ya xing	23
亚星化学	ya xing hua xue	4
亚洲货币	ya zhou huo bi	3
亚洲金融	ya zhou jin rong	8
亚玛顿	ya ma dun	5
交割单	jiao ge dan	6
交割日	jiao ge ri	4
交强险	jiao qiang xian	10
交易区	jiao yi qu	12
交易厅	jiao yi ting	1
交易场	jiao yi chang	3
交易密码	jiao yi mi ma	3
交易指南	jiao yi zhi nan	2
交易日	jiao yi ri	44
交易时间	jiao yi shi jian	10
交易池	jiao yi chi	3
交易税	jiao yi shui	15
交易规则	jiao yi gui ze	7
交易额	jiao yi e	43
