# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一主六配	yi zhu liu pei	3
一卵孵双凤	yi luan fu shuang feng	7
一口酥	yi kou su	7
一品南乳肉	yi pin nan ru rou	6
一品大包	yi pin da bao	5
一品官燕	yi pin guan yan	7
一品寿桃	yi pin shou tao	6
一品烧饼	yi pin shao bing	7
一品熊掌	yi pin xiong zhang	6
一品玉带糕	yi pin yu dai gao	5
一品肉	yi pin rou	7
一品蒸黄鱼	yi pin zheng huang yu	3
一品薯包	yi pin shu bao	3
一品豆腐	yi pin dou fu	9
一品豆腐汤	yi pin dou fu tang	3
一品配方	yi pin pei fang	3
一品酥方	yi pin su fang	3
一品酸辣鸡	yi pin suan la ji	2
一品香	yi pin xiang	5
一品香饭店	yi pin xiang fan dian	6
一品鲍鱼	yi pin bao yu	6
一品鲳	yi pin chang	5
一品鲳鱼	yi pin chang yu	3
一捏酥	yi nie su	5
一掌雪	yi zhang xue	4
一棒雪	yi bang xue	5
一篓油水饺	yi lou you shui jiao	5
丁二酮	ding er tong	1
丁基橡胶	ding ji xiang jiao	37
丁基羟基茴香醚	ding ji qiang ji hui xiang mi	3
丁果糖	ding guo tang	3
丁苯橡胶	ding ben xiang jiao	14
丁酮	ding tong	18
丁酸丁酯	ding suan ding zhi	1
丁酸乙酯	ding suan yi zhi	4
丁酸异戊酯	ding suan yi wu zhi	1
丁酸苄酯	ding suan bian zhi	4
丁香姜糖	ding xiang jiang tang	4
丁香排骨	ding xiang pai gu	7
丁香榄	ding xiang lan	6
丁香粉	ding xiang fen	9
丁香肘子	ding xiang zhou zi	6
丁香酚	ding xiang fen	2
丁香鸭	ding xiang ya	4
七境堂绿茶	qi jing tang lv cha	6
七子饼茶	qi zi bing cha	10
七层糕	qi ceng gao	6
七彩什锦煲	qi cai shi jin bao	4
七星丸	qi xing wan	2
万三蹄	wan san ti	11
万和春	wan he chun	10
万字扣肉	wan zi kou rou	5
万字珊瑚白菜	wan zi shan hu bai cai	3
万字麻辣肚丝	wan zi ma la du si	4
万州烤鱼	wan zhou kao yu	35
万年长青	wan nian chang qing	8
万能烤箱	wan neng kao xiang	3
三丁包	san ding bao	8
三丁包子	san ding bao zi	9
三丁大包	san ding da bao	1
三七汽锅鸡	san qi qi guo ji	8
三七蒸鸡	san qi zheng ji	3
三不沾	san bu zhan	16
三不粘	san bu zhan	1
三丝凉面	san si liang mian	7
三丝拌糟鸡	san si ban zao ji	2
三丝敲鱼	san si qiao yu	8
三丝汤	san si tang	6
三丝牛肉卷	san si niu rou juan	6
三丝瓜卷	san si gua juan	5
三丝眉毛酥	san si mei mao su	7
三丝面疙瘩	san si mian ge da	2
三丝驼峰	san si tuo feng	3
三丝鱼翅	san si yu chi	8
三丝鱿鱼	san si you yu	4
三义园牛肉焦饼	san yi yuan niu rou jiao bing	4
三仙丸子	san xian wan zi	5
三创	san chuang	27
三北藕丝糖	san bei ou si tang	6
三原蓼花	san yuan liao hua	6
三原蓼花糖	san yuan liao hua tang	6
三合汤	san he tang	7
三合泥	san he ni	1
三大炮	san da pao	22
三套鸭	san tao ya	9
三年陈花雕酒	san nian chen hua diao jiu	3
三彩大虾	san cai da xia	4
三文一品汤包	san wen yi pin tang bao	2
三文治火腿	san wen zhi huo tui	8
三文鱼寿司卷	san wen yu shou si juan	3
三杯脚鱼	san bei jiao yu	4
三杯鸡	san bei ji	4
三氯蔗糖	san lv zhe tang	2
三河米饺	san he mi jiao	2
三涧料酒	san jian liao jiu	3
三清碧兰	san qing bi lan	5
三皮丝	san pi si	7
三美豆腐	san mei dou fu	7
三聚甘油单硬脂酸酯	san ju gan you dan ying zhi suan zhi	6
三聚磷酸钠	san ju lin suan na	4
三色丁	san se ding	2
三色糕	san se gao	6
三色糯米饭	san se nuo mi fan	4
三色蛋	san se dan	8
三色蛋卷	san se dan juan	3
三色蛋糕	san se dan gao	4
三色鸡丁	san se ji ding	3
三色鸡鱼丸	san se ji yu wan	3
三色龙虾	san se long xia	7
三花减肥茶	san hua jian fei cha	6
三花酒	san hua jiu	6
三虾豆腐	san xia dou fu	7
三虾面	san xia mian	6
三角火烧	san jiao huo shao	3
三角酥	san jiao su	6
三道茶	san dao cha	1
三驱田凉粉	san qu tian liang fen	2
三鲜丸子	san xian wan zi	6
三鲜冰豆腐	san xian bing dou fu	4
三鲜小馄饨	san xian xiao hun tun	1
三鲜木樨汤	san xian mu xi tang	6
三鲜水饺	san xian shui jiao	9
三鲜汤	san xian tang	8
三鲜烧麦	san xian shao mai	7
三鲜瑶柱	san xian yao zhu	3
三鲜砂锅	san xian sha guo	4
三鲜米线	san xian mi xian	2
三鲜紫米蛋糕	san xian zi mi dan gao	4
三鲜茄子	san xian qie zi	4
三鲜莲花酥	san xian lian hua su	7
三鲜蘑菇	san xian mo gu	4
三鲜豆皮	san xian dou pi	8
三鲜锅巴	san xian guo ba	7
三鲜锅粑	san xian guo ba	2
三鲜锅贴	san xian guo tie	1
三鲜面	san xian mian	14
三鲜馄饨	san xian hun tun	2
三鲜鱼丸	san xian yu wan	4
三鲜鱼翅	san xian yu chi	7
三鲜龙凤球	san xian long feng qiu	3
三鼎	san ding	24
上岗子面茶	shang gang zi mian cha	4
上杂拌	shang za ban	2
上杭萝卜干	shang hang luo bo gan	9
上校鸡块	shang xiao ji kuai	9
上汤奶白菜	shang tang nai bai cai	3
上汤时蔬	shang tang shi shu	1
上汤虾丸	shang tang xia wan	3
上海冷面	shang hai leng mian	5
上海春卷	shang hai chun juan	4
上海水蜜桃	shang hai shui mi tao	2
上海汤圆	shang hai tang yuan	3
上海油鸡	shang hai you ji	3
上海炒年糕	shang hai chao nian gao	5
上海炒饭	shang hai chao fan	4
上海炸猪排	shang hai zha zhu pai	3
上海猪肉灌肠	shang hai zhu rou guan chang	2
上海老饭店	shang hai lao fan dian	1
上海茶叶蛋	shang hai cha ye dan	2
上海蒸鱼	shang hai zheng yu	3
上海蜜汁小肉	shang hai mi zhi xiao rou	2
上海蜜饯	shang hai mi jian	5
上海蟹壳黄	shang hai xie ke huang	4
上海锅贴	shang hai guo tie	4
上海饼干	shang hai bing gan	5
上海馄饨汤	shang hai hun tun tang	2
上清饮	shang qing yin	1
上清饮凉茶	shang qing yin liang cha	7
丙二醇	bing er chun	31
丙二醇脂肪酸酯	bing er chun zhi fang suan zhi	5
丙氨酸	bing an suan	29
丙酸乙酯	bing suan yi zhi	9
丙酸苄酯	bing suan bian zhi	1
丙酸钙	bing suan gai	9
丙酸钠	bing suan na	1
东北一锅出	dong bei yi guo chu	3
东北乱炖	dong bei luan dun	17
东北酒	dong bei jiu	10
东古一品鲜	dong gu yi pin xian	1
东坡方肉	dong po fang rou	5
东坡春鸠脍	dong po chun jiu kuai	2
东坡肘子	dong po zhou zi	19
东坡茄子	dong po qie zi	4
东坡饼	dong po bing	8
东坡鳊鱼	dong po bian yu	3
东壁龙珠	dong bi long zhu	6
东安子鸡	dong an zi ji	9
东安鸡	dong an ji	9
东山坞豆腐皮	dong shan wu dou fu pi	2
东方海川	dong fang hai chuan	6
东方蒙特尔	dong fang meng te er	2
东江东坡宴	dong jiang dong po yan	5
东江盐焗鸡	dong jiang yan ju ji	2
东江菜	dong jiang cai	11
东江豆腐煲	dong jiang dou fu bao	6
东璧龙珠	dong bi long zhu	4
东莞腊肠	dong guan la chang	8
东阴宫	dong yin gong	1
丝丝糕	si si gao	3
丝瓜炖豆腐	si gua dun dou fu	4
丝瓜猪肝瘦肉汤	si gua zhu gan shou rou tang	2
丝瓜白菜猪瘦肉汤	si gua bai cai zhu shou rou tang	3
丝袜奶茶	si wa nai cha	1
丝路春	si lu chun	2
两英番薯粥	liang ying fan shu zhou	3
两面火	liang mian huo	8
两香问政山笋	liang xiang wen zheng shan sun	5
严州干菜鸭	yan zhou gan cai ya	6
严州雪梨	yan zhou xue li	3
中华猕猴桃	zhong hua mi hou tao	10
中华药膳	zhong hua yao shan	1
中华蜜酒	zhong hua mi jiu	5
中台湾	zhong tai wan	13
中国劲酒	zhong guo jing jiu	10
中江挂面	zhong jiang gua mian	6
丰城冻米糖	feng cheng dong mi tang	6
丰年果糖	feng nian guo tang	5
丰收龙舟	feng shou long zhou	2
丰泽园	feng ze yuan	15
串炸鲜贝	chuan zha xian bei	4
串烤肉	chuan kao rou	20
串烧海鲜	chuan shao hai xian	3
临安山核桃	lin an shan he tao	1
临晋玉瓜	lin jin yu gua	4
临朐全羊宴	lin qu quan yang yan	4
临汝药酒	lin ru yao jiu	3
临潼火晶柿子	lin tong huo jing shi zi	7
临潼石榴	lin tong shi liu	2
丹参黄豆汤	dan shen huang dou tang	2
丹灶慈菇	dan zao ci gu	5
丹麦酥	dan mai su	3
主席红烧肉	zhu xi hong shao rou	4
丽人献茗	li ren xian ming	5
丽江火腿粑粑	li jiang huo tui ba ba	5
义盛永熏鸡	yi sheng yong xun ji	5
之江鲈莼羹	zhi jiang lu chun geng	3
乌发汤	wu fa tang	6
乌梅糕	wu mei gao	4
乌毡帽	wu zhan mao	1
乌江鱼	wu jiang yu	3
乌狼鲞烤肉	wu lang xiang kao rou	4
乌饭果	wu fan guo	2
乌骨鸡归黄汤	wu gu ji gui huang tang	2
乌鱼蛋	wu yu dan	1
乌龙吐珠	wu long tu zhu	7
乐啤露	le pi lu	6
乐昌白毛茶	le chang bai mao cha	2
乐满家	le man jia	6
乐福园酒店	le fu yuan jiu dian	6
乐而美汉堡	le er mei han bao	7
