# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一真	yi zhen	8
丁丙	ding bing	5
丁义	ding yi	35
丁于	ding yu	6
丁仪	ding yi	1
丁伟	ding wei	29
丁佛言	ding fo yan	1
丁俊晖	ding jun hui	27
丁元公	ding yuan gong	3
丁军	ding jun	1
丁原	ding yuan	11
丁夫人	ding fu ren	2
丁奉	ding feng	20
丁子峻	ding zi jun	5
丁子江	ding zi jiang	3
丁宝桢	ding bao zhen	10
丁宝臣	ding bao chen	1
丁尼生	ding ni sheng	8
丁建华	ding jian hua	15
丁德隆	ding de long	8
丁志成	ding zhi cheng	3
丁惟汾	ding wei fen	39
丁文江	ding wen jiang	40
丁文琪	ding wen qi	2
丁文祥	ding wen xiang	3
丁斐	ding fei	13
丁日昌	ding ri chang	30
丁是娥	ding shi e	5
丁晏	ding yan	1
丁晓兵	ding xiao bing	1
丁晓峰	ding xiao feng	3
丁果仙	ding guo xian	2
丁汀	ding ting	8
丁泰	ding tai	3
丁济万	ding ji wan	3
丁炳权	ding bing quan	2
丁然	ding ran	1
丁玲	ding ling	43
丁瓒	ding zan	3
丁申	ding shen	4
丁磊	ding lei	17
丁福保	ding fu bao	11
丁立	ding li	6
丁立诚	ding li cheng	3
丁管	ding guan	1
丁耀亢	ding yao kang	4
丁肇中	ding zhao zhong	7
丁艳燕	ding yan yan	4
丁芸	ding yun	6
丁薇	ding wei	3
丁西林	ding xi lin	8
丁轶	ding yi	3
丁道衡	ding dao heng	5
丁静怡	ding jing yi	2
七原秋也	qi yuan qiu ye	3
七海奈奈	qi hai nai nai	1
万古蟾	wan gu chan	2
万承风	wan cheng feng	1
万斯大	wan si da	3
万春林	wan chun lin	5
万松龄	wan song ling	2
万正色	wan zheng se	5
万永福	wan yong fu	3
万籁鸣	wan lai ming	7
万经	wan jing	9
万美汐	wan mei xi	2
万耀煌	wan yao huang	11
万表	wan biao	1
万超尘	wan chao chen	2
万适	wan shi	1
三上博史	san shang bo shi	5
三池崇史	san chi chong shi	25
三浦友和	san pu you he	12
三浦春马	san pu chun ma	15
三浦研一	san pu yan yi	3
三石琴乃	san shi qin nai	14
三谷幸喜	san gu xing xi	27
上原多香子	shang yuan duo xiang zi	4
上原美优	shang yuan mei you	3
上地雄辅	shang di xiong fu	5
上官云珠	shang guan yun zhu	2
上官仪	shang guan yi	7
上官周	shang guan zhou	6
上官婉儿	shang guan wan er	27
上川隆也	shang chuan long ye	4
上户彩	shang hu cai	20
上木彩矢	shang mu cai shi	9
上洛	shang luo	3
上田龙也	shang tian long ye	7
上睿	shang rui	3
上野树里	shang ye shu li	21
下邳国	xia pi guo	5
不破万作	bu po wan zuo	4
不韦	bu wei	3
世阿弥	shi a mi	4
丘处机	qiu chu ji	25
丘岳	qiu yue	6
丘建	qiu jian	9
丘志广	qiu zhi guang	2
丘成桐	qiu cheng tong	41
丘逢甲	qiu feng jia	11
丘集	qiu ji	1
东仪秀树	dong yi xiu shu	4
东垣	dong yuan	21
东山纪之	dong shan ji zhi	3
东平陵	dong ping ling	9
东方朔	dong fang shuo	20
东方涂钦	dong fang tu qin	4
东方闻樱	dong fang wen ying	5
东昏侯	dong hun hou	27
东曹属	dong cao shu	2
东曹掾	dong cao yuan	4
东海林	dong hai lin	14
东皋	dong gao	14
两津勘吉	liang jin kan ji	6
严世蕃	yan shi fan	25
严从	yan cong	7
严健	yan jian	1
严凤英	yan feng ying	6
严可均	yan ke jun	11
严复	yan fu	40
严如熤	yan ru yi	2
严宽	yan kuan	36
严岳	yan yue	3
严庆龄	yan qing ling	11
严律南	yan lv nan	5
严恒	yan heng	4
严政	yan zheng	7
严文井	yan wen jing	4
严景耀	yan jing yao	1
严正花	yan zheng hua	5
严济慈	yan ji ci	12
严涛	yan tao	6
严淑明	yan shu ming	3
严澄	yan cheng	3
严独鹤	yan du he	3
严白虎	yan bai hu	6
严纲	yan gang	1
严绳孙	yan sheng sun	2
严蔚	yan wei	3
严衍	yan yan	2
严裕棠	yan yu tang	4
严观	yan guan	2
严辰	yan chen	6
严颜	yan yan	8
严颢	yan hao	3
中丁	zhong ding	3
中丘	zhong qiu	16
中丸雄一	zhong wan xiong yi	3
中井贵一	zhong jing gui yi	19
中友子	zhong you zi	1
中孝介	zhong xiao jie	11
中宿	zhong su	13
中尾隆圣	zhong wei long sheng	17
中居正广	zhong ju zheng guang	21
中山美穗	zhong shan mei sui	19
中岛京子	zhong dao jing zi	13
中岛健藏	zhong dao jian cang	2
中岛美雪	zhong dao mei xue	32
中岛裕翔	zhong dao yu xiang	34
中川翔子	zhong chuan xiang zi	21
中曾根康弘	zhong ceng gen kang hong	35
中村中	zhong cun zhong	3
中村狮童	zhong cun shi tong	10
中村苍	zhong cun cang	13
中村雅俊	zhong cun ya jun	8
中森明菜	zhong sen ming cai	20
中泽裕子	zhong ze yu zi	5
中田秀夫	zhong tian xiu fu	10
中西里菜	zhong xi li cai	3
中谢	zhong xie	6
中野宽也	zhong ye kuan ye	1
中野良子	zhong ye liang zi	3
丰云	feng yun	6
丰坊	feng fang	10
丰子恺	feng zi kai	45
丰川悦司	feng chuan yue si	24
丰臣秀次	feng chen xiu ci	4
丰臣秀赖	feng chen xiu lai	16
丰臣秀长	feng chen xiu chang	2
临戎	lin rong	3
临晋	lin jin	40
临沮	lin ju	7
临菑	lin zi	9
丸山隆平	wan shan long ping	19
主父偃	zhu fu yan	3
久保带人	jiu bao dai ren	45
久保田利伸	jiu bao tian li shen	24
义存	yi cun	9
乌伤	wu shang	14
乌尔班二世	wu er ban er shi	3
乌氏	wu shi	45
乌申斯基	wu shen si ji	4
乌雅氏	wu ya shi	20
乐宁	le ning	4
乐安国	le an guo	2
乐就	yue jiu	7
乐毅	yue yi	29
乐纯	le chun	16
乐进	yue jin	16
乐靖宜	le jing yi	1
乔世宁	qiao shi ning	4
乔冠华	qiao guan hua	27
乔凤伟	qiao feng wei	5
乔吉	qiao ji	38
乔国老	qiao guo lao	3
乔塞佩	qiao sai pei	3
乔宇	qiao yu	3
乔峰	qiao feng	32
乔本	qiao ben	6
乔松年	qiao song nian	1
乔楠	qiao nan	2
乔榛	qiao zhen	4
乔石	qiao shi	49
乔红	qiao hong	7
乔维怡	qiao wei yi	3
乔达	qiao da	17
乘氏	cheng shi	4
乙羽信子	yi yu xin zi	7
九鬼嘉隆	jiu gui jia long	3
乞鞫	qi ju	3
习经	xi jing	12
书佐	shu zuo	24
书圣	shu sheng	7
乾化	qian hua	2
乾祐	qian you	3
乾统	qian tong	4
二之宫知子	er zhi gong zhi zi	5
二乔	er qiao	28
二宫和也	er gong he ye	49
二月丫头	er yue ya tou	5
二月河	er yue he	9
二祥	er xiang	2
于丹	yu dan	34
于伶	yu ling	10
于光远	yu guang yuan	42
于台烟	yu tai yan	7
于吉	yu ji	4
于善庆	yu shan qing	3
于娜	yu na	8
于小伟	yu xiao wei	8
于川	yu chuan	7
于幼华	yu you hua	1
于彤	yu tong	3
于德基	yu de ji	1
于志勇	yu zhi yong	6
于慎行	yu shen xing	20
于敏中	yu min zhong	6
于文华	yu wen hua	5
于新春	yu xin chun	5
于是之	yu shi zhi	8
于曙光	yu shu guang	2
于树德	yu shu de	18
于渊	yu yuan	3
于潜	yu qian	20
于灏	yu hao	4
于照	yu zhao	4
于皓	yu hao	3
于禁	yu jin	42
于莎莎	yu sha sha	27
于西蔓	yu xi man	4
于钦	yu qin	7
于陵	yu ling	14
于震环	yu zhen huan	3
云玲	yun ling	1
五听	wu ting	6
五监	wu jian	2
五轮书	wu lun shu	1
五轮真弓	wu lun zhen gong	1
井上和彦	jing shang he yan	18
井上真央	jing shang zhen yang	25
井上织姬	jing shang zhi ji	16
井上阳水	jing shang yang shui	45
井上雄彦	jing shang xiong yan	19
井之原快彦	jing zhi yuan kuai yan	8
井勿幕	jing wu mu	3
井原西鹤	jing yuan xi he	4
