# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一不做二不休	yi bu zuo er bu xiu	14
一丘一壑	yi qiu yi he	3
一个半个	yi ge ban ge	7
一个萝卜一个坑	yi ge luo bo yi ge keng	27
一举成功	yi ju cheng gong	8
一人之下万人之上	yi ren zhi xia wan ren zhi shang	12
一人做事一人当	yi ren zuo shi yi ren dang	11
一人得道	yi ren de dao	5
一人得道鸡犬升天	yi ren de dao ji quan sheng tian	8
一介书生	yi jie shu sheng	9
一代不如一代	yi dai bu ru yi dai	28
一代楷模	yi dai kai mo	6
一以贯之	yi yi guan zhi	21
一传十十传百	yi chuan shi shi chuan bai	14
一元复始	yi yuan fu shi	2
一决胜负	yi jue sheng fu	44
一分一毫	yi fen yi hao	16
一分耕耘一分收获	yi fen geng yun yi fen shou huo	18
一切众生	yi qie zhong sheng	36
一则以喜	yi ze yi xi	7
一动不如一静	yi dong bu ru yi jing	4
一发而不可收拾	yi fa er bu ke shou shi	3
一口一声	yi kou yi sheng	6
一口吃个胖子	yi kou chi ge pang zi	8
一口咬定	yi kou yao ding	45
一叶障目	yi ye zhang mu	27
一叶障目不见泰山	yi ye zhang mu bu jian tai shan	3
一命归西	yi ming gui xi	1
一唱三叹	yi chang san tan	3
一回生两回熟	yi hui sheng liang hui shu	11
一块石头落了地	yi kuai shi tou luo liao di	1
一块石头落地	yi kuai shi tou luo di	2
一天一地	yi tian yi di	5
一夫当关	yi fu dang guan	16
一夫当关万夫莫开	yi fu dang guan wan fu mo kai	5
一字之师	yi zi zhi shi	6
一字千钧	yi zi qian jun	6
一官半职	yi guan ban zhi	11
一寸光阴一寸金	yi cun guang yin yi cun jin	20
一己之私	yi ji zhi si	6
一己之见	yi ji zhi jian	14
一年之计在于春	yi nian zhi ji zai yu chun	47
一往直前	yi wang zhi qian	17
一悲一喜	yi bei yi xi	6
一手一脚	yi shou yi jiao	8
一手包揽	yi shou bao lan	1
一抔黄土	yi pou huang tu	7
一报还一报	yi bao huan yi bao	13
一拥而上	yi yong er shang	29
一拥而入	yi yong er ru	1
一掷百万	yi zhi bai wan	6
一文钱难倒英雄汉	yi wen qian nan dao ying xiong han	5
一无可取	yi wu ke qu	6
一无所成	yi wu suo cheng	7
一无所长	yi wu suo chang	3
一日三省	yi ri san xing	7
一日之计在于晨	yi ri zhi ji zai yu chen	1
一日夫妻百日恩	yi ri fu qi bai ri en	14
一时三刻	yi shi san ke	2
一时之选	yi shi zhi xuan	7
一星半点	yi xing ban dian	43
一是一二是二	yi shi yi er shi er	1
一曝十寒	yi pu shi han	7
一望而知	yi wang er zhi	2
一朝天子一朝臣	yi zhao tian zi yi zhao chen	1
一朝权在手	yi zhao quan zai shou	1
一本万利	yi ben wan li	1
一条道走到黑	yi tiao dao zou dao hei	49
一来一往	yi lai yi wang	11
一枕黄粱	yi zhen huang liang	1
一柱擎天	yi zhu qing tian	29
一波未平	yi bo wei ping	4
一波未平一波又起	yi bo wei ping yi bo you qi	36
一片丹心	yi pian dan xin	16
一片汪洋	yi pian wang yang	21
一片焦土	yi pian jiao tu	9
一物不知	yi wu bu zhi	7
一瓣心香	yi ban xin xiang	6
一男半女	yi nan ban nv	4
一画开天	yi hua kai tian	5
一着不慎	yi zhao bu shen	1
一着不慎满盘皆输	yi zhao bu shen man pan jie shu	6
一碧万顷	yi bi wan qing	2
一笑一颦	yi xiao yi pin	7
一笑了之	yi xiao liao zhi	22
一笔抹煞	yi bi mo sha	6
一箭之地	yi jian zhi di	1
一箭之遥	yi jian zhi yao	7
一线生机	yi xian sheng ji	38
一花独放	yi hua du fang	1
一草一木	yi cao yi mu	1
一蟹不如一蟹	yi xie bu ru yi xie	5
一览无遗	yi lan wu yi	31
一言中的	yi yan zhong di	6
一言兴邦	yi yan xing bang	6
一言既出	yi yan ji chu	23
一语不发	yi yu bu fa	1
一误再误	yi wu zai wu	6
一路货色	yi lu huo se	1
一路风尘	yi lu feng chen	6
一蹴可几	yi cu ke ji	1
一身二任	yi shen er ren	6
一身是胆	yi shen shi dan	2
一针一线	yi zhen yi xian	45
一长一短	yi chang yi duan	25
一问三不知	yi wen san bu zhi	36
一隅之地	yi yu zhi di	6
一饮而尽	yi yin er jin	36
一鼻子灰	yi bi zi hui	7
丁丁当当	ding ding dang dang	7
丁是丁卯是卯	ding shi ding mao shi mao	1
七尺之躯	qi chi zhi qu	1
七弯八拐	qi wan ba guai	8
七擒七纵	qi qin qi zong	1
七步成诗	qi bu cheng shi	4
七窍流血	qi qiao liu xue	18
七零八散	qi ling ba san	1
万万千千	wan wan qian qian	5
万世师表	wan shi shi biao	17
万事俱备只欠东风	wan shi ju bei zhi qian dong feng	15
万变不离其宗	wan bian bu li qi zong	26
万古长存	wan gu chang cun	6
万夫莫开	wan fu mo kai	4
万头攒动	wan tou cuan dong	7
万应灵丹	wan ying ling dan	6
万应灵药	wan ying ling yao	6
万目睽睽	wan mu kui kui	6
万语千言	wan yu qian yan	11
万贯家财	wan guan jia cai	10
万里迢迢	wan li tiao tiao	1
万里鹏程	wan li peng cheng	5
丈二和尚	zhang er he shang	3
丈二和尚摸不着头脑	zhang er he shang mo bu zhao tou nao	10
三三五五	san san wu wu	6
三个臭皮匠	san ge chou pi jiang	13
三人成虎	san ren cheng hu	40
三人行必有我师	san ren xing bi you wo shi	23
三从四德	san cong si de	41
三元及第	san yuan ji di	5
三十六行	san shi liu hang	6
三十年河东	san shi nian he dong	37
三千里江山	san qian li jiang shan	1
三句话不离本行	san ju hua bu li ben hang	7
三妻四妾	san qi si qie	47
三宫六院	san gong liu yuan	17
三寸不烂之舌	san cun bu lan zhi she	5
三寸之舌	san cun zhi she	1
三寸金莲	san cun jin lian	30
三山五岳	san shan wu yue	6
三年五载	san nian wu zai	8
三心两意	san xin liang yi	7
三思后行	san si hou xing	10
三拳两脚	san quan liang jiao	1
三月不知肉味	san yue bu zhi rou wei	3
三朋四友	san peng si you	6
三朝元老	san chao yuan lao	9
三申五令	san shen wu ling	6
三男两女	san nan liang nv	12
三男四女	san nan si nv	4
三省吾身	san xing wu shen	24
三纲五常	san gang wu chang	10
三跪九叩	san gui jiu kou	18
三阳开泰	san yang kai tai	7
上下一心	shang xia yi xin	7
上下同心	shang xia tong xin	3
上下同欲	shang xia tong yu	1
上不着天	shang bu zhuo tian	1
上传下达	shang chuan xia da	2
上兵伐谋	shang bing fa mou	8
上天无路	shang tian wu lu	6
上情下达	shang qing xia da	1
上无片瓦	shang wu pian wa	7
上有天堂下有苏杭	shang you tian tang xia you su hang	16
上梁不正下梁歪	shang liang bu zheng xia liang wai	43
上知天文下知地理	shang zhi tian wen xia zhi di li	38
下回分解	xia hui fen jie	30
下情上达	xia qing shang da	2
下笔千言	xia bi qian yan	4
下笔如有神	xia bi ru you shen	16
下自成蹊	xia zi cheng xi	9
下逐客令	xia zhu ke ling	5
不世之功	bu shi zhi gong	6
不为五斗米折腰	bu wei wu dou mi zhe yao	14
不为瓦全	bu wei wa quan	10
不乏先例	bu fa xian li	9
不亢不卑	bu kang bu bei	2
不仁不义	bu ren bu yi	16
不以规矩	bu yi gui ju	1
不值一哂	bu zhi yi shen	1
不值一驳	bu zhi yi bo	7
不入虎穴	bu ru hu xue	2
不入虎穴焉得虎子	bu ru hu xue yan de hu zi	6
不关痛痒	bu guan tong yang	6
不分伯仲	bu fen bo zhong	27
不分彼此	bu fen bi ci	26
不分敌我	bu fen di wo	21
不分胜负	bu fen sheng fu	36
不分轩轾	bu fen xuan zhi	9
不到黄河心不死	bu dao huang he xin bu si	7
不厌其详	bu yan qi xiang	1
不古不今	bu gu bu jin	5
不可企及	bu ke qi ji	13
不可估量	bu ke gu liang	33
不可偏废	bu ke pian fei	4
不可动摇	bu ke dong yao	46
不可忽视	bu ke hu shi	44
不可捉摸	bu ke zhuo mo	11
不可胜计	bu ke sheng ji	18
不可言喻	bu ke yan yu	18
不可言状	bu ke yan zhuang	3
不可限量	bu ke xian liang	5
不吝赐教	bu lin ci jiao	21
不咸不淡	bu xian bu dan	28
不在其位	bu zai qi wei	6
不在其位不谋其政	bu zai qi wei bu mou qi zheng	2
不堪入耳	bu kan ru er	28
不失时机	bu shi shi ji	10
不如归去	bu ru gui qu	11
不安于室	bu an yu shi	1
不容置辩	bu rong zhi bian	6
不差上下	bu cha shang xia	6
不差毫厘	bu cha hao li	1
不干不净	bu gan bu jing	9
不平之鸣	bu ping zhi ming	1
不幸而言中	bu xing er yan zhong	7
不徇私情	bu xun si qing	6
不徐不疾	bu xu bu ji	6
不得人心	bu de ren xin	43
不得其详	bu de qi xiang	6
不得善终	bu de shan zhong	35
不得已而为之	bu de yi er wei zhi	39
不忍释卷	bu ren shi juan	6
不怕一万就怕万一	bu pa yi wan jiu pa wan yi	32
不情之请	bu qing zhi qing	7
不惜工本	bu xi gong ben	5
不改其乐	bu gai qi le	2
不教而诛	bu jiao er zhu	1
不敢越雷池一步	bu gan yue lei chi yi bu	4
不敢造次	bu gan zao ci	41
不敢问津	bu gan wen jin	1
不明事理	bu ming shi li	49
不是冤家不聚头	bu shi yuan jia bu ju tou	14
不服水土	bu fu shui tu	9
不欺暗室	bu qi an shi	1
不死不活	bu si bu huo	8
不求有功	bu qiu you gong	1
不求有功但求无过	bu qiu you gong dan qiu wu guo	8
不求闻达	bu qiu wen da	4
不测之忧	bu ce zhi you	6
不测风云	bu ce feng yun	8
不甘后人	bu gan hou ren	3
不生不灭	bu sheng bu mie	20
不留余地	bu liu yu di	1
不疾不徐	bu ji bu xu	8
不登大雅之堂	bu deng da ya zhi tang	3
不相为谋	bu xiang wei mou	33
不看僧面看佛面	bu kan seng mian kan fo mian	6
不矜细行	bu jin xi xing	7
不知下落	bu zhi xia luo	8
不知何故	bu zhi he gu	44
不知其可	bu zhi qi ke	1
不知其详	bu zhi qi xiang	1
不知凡几	bu zhi fan ji	1
不知怎的	bu zhi zen de	32
不知所以	bu zhi suo yi	19
不知所言	bu zhi suo yan	9
不知有汉	bu zhi you han	4
不知深浅	bu zhi shen qian	3
不知老之将至	bu zhi lao zhi jiang zhi	1
不知肉味	bu zhi rou wei	3
不知轻重	bu zhi qing zhong	15
不知进退	bu zhi jin tui	8
不破不立	bu po bu li	23
不祥之兆	bu xiang zhi zhao	14
不立文字	bu li wen zi	2
不系之舟	bu xi zhi zhou	1
不肖子孙	bu xiao zi sun	3
不能忘怀	bu neng wang huai	35
不能登大雅之堂	bu neng deng da ya zhi tang	3
不能自主	bu neng zi zhu	13
不自由毋宁死	bu zi you wu ning si	4
不舍昼夜	bu she zhou ye	25
不药而愈	bu yao er yu	30
不落俗套	bu luo su tao	27
不虞之誉	bu yu zhi yu	2
不见兔子不撒鹰	bu jian tu zi bu sa ying	6
不见天日	bu jian tian ri	11
不见棺材不掉泪	bu jian guan cai bu diao lei	12
不见棺材不落泪	bu jian guan cai bu luo lei	17
不言不语	bu yan bu yu	29
不识大体	bu shi da ti	7
不识好歹	bu shi hao dai	14
不识庐山真面目	bu shi lu shan zhen mian mu	21
不谋其政	bu mou qi zheng	2
不贪为宝	bu tan wei bao	6
不越雷池	bu yue lei chi	1
不足为外人道	bu zu wei wai ren dao	3
不足为据	bu zu wei ju	7
不足为虑	bu zu wei lv	4
不足为道	bu zu wei dao	2
不辞劳苦	bu ci lao ku	10
不辨真伪	bu bian zhen wei	7
不进则退	bu jin ze tui	28
不远万里	bu yuan wan li	5
不违农时	bu wei nong shi	6
不避艰险	bu bi jian xian	2
不问青红皂白	bu wen qing hong zao bai	5
不露声色	bu lu sheng se	2
不露锋芒	bu lu feng mang	1
不顾大局	bu gu da ju	6
不顾死活	bu gu si huo	1
不预则废	bu yu ze fei	2
与人方便	yu ren fang bian	14
与人方便自己方便	yu ren fang bian zi ji fang bian	6
与时偕行	yu shi xie xing	1
与民更始	yu min geng shi	1
丑态毕露	chou tai bi lu	3
专门利人	zhuan men li ren	3
世代书香	shi dai shu xiang	4
世态人情	shi tai ren qing	3
世道人心	shi dao ren xin	7
业精于勤荒于嬉	ye jing yu qin huang yu xi	5
丛山峻岭	cong shan jun ling	2
东奔西跑	dong ben xi pao	42
东征西讨	dong zheng xi tao	4
东成西就	dong cheng xi jiu	28
东扯西拉	dong che xi la	1
东挪西凑	dong nuo xi cou	9
