# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一元多项式	yi yuan duo xiang shi	10
一对一联系	yi dui yi lian xi	8
一对多	yi dui duo	30
一级缓存	yi ji huan cun	13
一维数组	yi wei shu zu	2
一致性哈希	yi zhi xing ha xi	11
一致性检验	yi zhi xing jian yan	8
一致性测试	yi zhi xing ce shi	1
一致性约束	yi zhi xing yue shu	8
一般函数	yi ban han shu	1
一般图匹配	yi ban tu pi pei	7
一般处理程序	yi ban chu li cheng xu	10
一般用户	yi ban yong hu	14
一键分享	yi jian fen xiang	1
一键备份	yi jian bei fen	5
一键安装	yi jian an zhuang	3
一键恢复	yi jian hui fu	10
一键锁屏	yi jian suo ping	9
一阶矩	yi jie ju	8
一阶逻辑	yi jie luo ji	13
七层协议	qi ceng xie yi	10
七层模型	qi ceng mo xing	11
七牛	qi niu	1
七牛云存储	qi niu yun cun chu	10
万兆网卡	wan zhao wang ka	8
万能适配器	wan neng shi pei qi	8
三位编码	san wei bian ma	5
三元组	san yuan zu	16
三元运算符	san yuan yun suan fu	12
三分搜索	san fen sou suo	7
三分查找	san fen cha zhao	7
三大框架	san da kuang jia	1
三大范式	san da fan shi	9
三层交换	san ceng jiao huan	1
三层交换机	san ceng jiao huan ji	10
三层架构	san ceng jia gou	4
三层结构	san ceng jie gou	21
三态门	san tai men	8
三方库	san fang ku	11
三方插件	san fang cha jian	6
三方框架	san fang kuang jia	1
三方类库	san fang lei ku	7
三极管	san ji guan	10
三次握手	san ci wo shou	2
三消类游戏	san xiao lei you xi	5
三点透视	san dian tou shi	3
三目运算	san mu yun suan	10
三级模式	san ji mo shi	9
三级缓存	san ji huan cun	1
三级网络	san ji wang luo	2
三级联动	san ji lian dong	2
三维偏序	san wei pian xu	8
三维图像	san wei tu xiang	9
三维建模	san wei jian mo	7
三维扫描仪	san wei sao miao yi	1
三维数组	san wei shu zu	1
三维注册	san wei zhu ce	4
三维虚拟现实	san wei xu ni xian shi	5
