# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一上班	yi shang ban	15
一串铃法	yi chuan ling fa	3
一事一议制度	yi shi yi yi zhi du	7
一事不再理	yi shi bu zai li	4
一事不再罚原则	yi shi bu zai fa yuan ze	8
一切危险保险合同	yi qie wei xian bao xian he tong	2
一切可能措施	yi qie ke neng cuo shi	8
一切合理措施	yi qie he li cuo shi	7
一切必要措施	yi qie bi yao cuo shi	17
一参一控	yi can yi kong	1
一告九不理	yi gao jiu bu li	2
一夫一妻制	yi fu yi qi zhi	40
一夫多妻制	yi fu duo qi zhi	36
一如法界	yi ru fa jie	3
一审判决书	yi shen pan jue shu	9
一审法院	yi shen fa yuan	36
一审终结	yi shen zhong jie	8
一审裁定	yi shen cai ding	2
一对多业务	yi dui duo ye wu	3
一律予以没收	yi lv yu yi mo shou	8
一支黑玫瑰	yi zhi hei mei gui	6
一次指数平滑法	yi ci zhi shu ping hua fa	5
一次课征制	yi ci ke zheng zhi	5
一物一权	yi wu yi quan	9
一物一权原则	yi wu yi quan yuan ze	8
一签字	yi qian zi	10
一级市场	yi ji shi chang	1
一级漏电	yi ji lou dian	6
一级漏电保护	yi ji lou dian bao hu	5
一级谋杀	yi ji mou sha	48
一经循公诉程序定罪	yi jing xun gong su cheng xu ding zui	6
一致表决	yi zhi biao jue	2
一致裁决	yi zhi cai jue	7
一般交易条件	yi ban jiao yi tiao jian	7
一般侵权行为	yi ban qin quan xing wei	1
一般保证	yi ban bao zheng	12
一般共同犯罪	yi ban gong tong fan zui	8
一般共犯	yi ban gong fan	5
一般商事行为	yi ban shang shi xing wei	2
一般地域管辖例外	yi ban di yu guan xia li wai	2
一般地方立法	yi ban di fang li fa	7
一般担保	yi ban dan bao	9
一般担保责任	yi ban dan bao ze ren	6
一般授权	yi ban shou quan	2
一般授权立法	yi ban shou quan li fa	5
一般权利	yi ban quan li	9
一般法	yi ban fa	14
一般法律监督	yi ban fa lv jian du	5
一般流氓行为	yi ban liu mang xing wei	3
一般渎职罪	yi ban du zhi zui	4
一般留置权	yi ban liu zhi quan	4
一般税收协定	yi ban shui shou xie ding	4
一般累犯	yi ban lei fan	9
一般经济责任制	yi ban jing ji ze ren zhi	5
一般经纪商	yi ban jing ji shang	3
一般缓刑	yi ban huan xing	6
一般行政法原理	yi ban xing zheng fa yuan li	3
一般转让背书	yi ban zhuan rang bei shu	4
一般过失	yi ban guo shi	1
一般违法行为	yi ban wei fa xing wei	11
一般附加险	yi ban fu jia xian	9
一裁终局	yi cai zhong ju	11
一裁终局制度	yi cai zhong ju zhi du	8
一调一裁两审制	yi tiao yi cai liang shen zhi	3
一部露出说	yi bu lu chu shuo	2
丁凌华	ding ling hua	4
七出三不去	qi chu san bu qu	6
七十自画像	qi shi zi hua xiang	3
七去三不去	qi qu san bu qu	2
三三制法	san san zhi fa	2
三代以内直系血亲	san dai yi nei zhi xi xue qin	7
三元陶瓷集团	san yuan tao ci ji tuan	4
三农政策学习问答	san nong zheng ce xue xi wen da	3
三台县公安局	san tai xian gong an ju	7
三方责任事故	san fang ze ren shi gu	5
三明市烟草专卖局	san ming shi yan cao zhuan mai ju	6
三来一补	san lai yi bu	3
三来一补企业	san lai yi bu qi ye	9
三段警备法	san duan jing bei fa	1
三维谈判法	san wei tan pan fa	2
三重标准	san chong biao zhun	2
三高农业	san gao nong ye	10
上位法	shang wei fa	7
上市公司收购	shang shi gong si shou gou	1
上市公司现场检查办法	shang shi gong si xian chang jian cha ban fa	3
上市公司私有化	shang shi gong si si you hua	1
上海市专利费资助办法	shang hai shi zhuan li fei zi zhu ban fa	2
上海市协力律师事务所	shang hai shi xie li lv shi shi wu suo	9
上海市安全生产条例	shang hai shi an quan sheng chan tiao li	6
上海市展览业管理办法	shang hai shi zhan lan ye guan li ban fa	6
上海市工会条例	shang hai shi gong hui tiao li	4
上海市恒谊律师事务所	shang hai shi heng yi lv shi shi wu suo	4
上海市统计登记办法	shang hai shi tong ji deng ji ban fa	3
上海市防汛条例	shang hai shi fang xun tiao li	4
上海段和段律师事务所	shang hai duan he duan lv shi shi wu suo	7
上海税收优惠政策	shang hai shui shou you hui zheng ce	3
上诉审裁处	shang su shen cai chu	5
下关惨案	xia guan can an	6
下岗工人	xia gang gong ren	8
下级人民法院	xia ji ren min fa yuan	1
下级法庭	xia ji fa ting	5
不作为侵权	bu zuo wei qin quan	9
不作为债务	bu zuo wei zhai wu	6
不作为犯	bu zuo wei fan	3
不作为犯研究	bu zuo wei fan yan jiu	5
不具有法律效力	bu ju you fa lv xiao li	1
不动产信用控制	bu dong chan xin yong kong zhi	5
不动产物权变动模式	bu dong chan wu quan bian dong mo shi	4
不动产物权登记制度	bu dong chan wu quan deng ji zhi du	6
不动产登记法	bu dong chan deng ji fa	1
不动产统一登记制度	bu dong chan tong yi deng ji zhi du	8
不单方接触	bu dan fang jie chu	6
不可侵犯权	bu ke qin fan quan	7
不可分之债	bu ke fen zhi zhai	5
不可抗力事件	bu ke kang li shi jian	12
不可撤销贷款承诺	bu ke che xiao dai kuan cheng nuo	4
不可避免披露原则	bu ke bi mian pi lu yuan ze	5
不合常理	bu he chang li	30
不告不理	bu gao bu li	2
不安全行为	bu an quan xing wei	2
不安全食品	bu an quan shi pin	12
不安抗辩权	bu an kang bian quan	12
不完全履行	bu wan quan lv xing	13
不完全酷刑档案	bu wan quan ku xing dang an	3
不定值保险合同	bu ding zhi bao xian he tong	9
不定期航班	bu ding qi hang ban	3
不履行合同	bu lv xing he tong	14
不履行合约	bu lv xing he yue	8
不得担任国家	bu de dan ren guo jia	1
不正当有奖销售行为	bu zheng dang you jiang xiao shou xing wei	6
不歧视待遇	bu qi shi dai yu	4
不真正不作为犯	bu zhen zheng bu zuo wei fan	6
不真正连带之债	bu zhen zheng lian dai zhi zhai	4
不确定性经济学	bu que ding xing jing ji xue	5
不能犯未遂	bu neng fan wei sui	7
不良行为记录	bu liang xing wei ji lu	13
不要式合同	bu yao shi he tong	8
不要式民事法律行为	bu yao shi min shi fa lv xing wei	4
不要式法律行为	bu yao shi fa lv xing wei	6
不计免赔率特约险	bu ji mian pei lv te yue xian	9
不配合强奸	bu pei he qiang jian	2
与国际惯例接轨	yu guo ji guan li jie gui	13
专业化银行制	zhuan ye hua yin hang zhi	4
专业技术类职位	zhuan ye ji shu lei zhi wei	8
专业技术职务聘任制	zhuan ye ji shu zhi wu pin ren zhi	11
专业标准化技术委员会	zhuan ye biao zhun hua ji shu wei yuan hui	10
专业计算	zhuan ye ji suan	14
专利产品	zhuan li chan pin	4
专利代理人考核委员会	zhuan li dai li ren kao he wei yuan hui	8
专利代理委托书	zhuan li dai li wei tuo shu	8
专利代理费	zhuan li dai li fei	7
专利使用费	zhuan li shi yong fei	2
专利侵权	zhuan li qin quan	25
专利侵权救济	zhuan li qin quan jiu ji	5
专利侵权行为	zhuan li qin quan xing wei	2
专利保护期限	zhuan li bao hu qi xian	8
专利保护范围	zhuan li bao hu fan wei	1
专利信息	zhuan li xin xi	13
专利制度	zhuan li zhi du	2
专利发展战略研究	zhuan li fa zhan zhan lve yan jiu	5
专利合作条约	zhuan li he zuo tiao yue	11
专利复审委员会	zhuan li fu shen wei yuan hui	4
专利实施强制许可办法	zhuan li shi shi qiang zhi xu ke ban fa	7
专利实施许可合同	zhuan li shi shi xu ke he tong	12
专利审查协作中心	zhuan li shen cha xie zuo zhong xin	1
专利审查指南	zhuan li shen cha zhi nan	9
专利技术转让合同	zhuan li ji shu zhuan rang he tong	8
专利文件	zhuan li wen jian	14
专利无效诉讼	zhuan li wu xiao su song	6
专利权人	zhuan li quan ren	1
专利权利要求	zhuan li quan li yao qiu	3
专利权归属	zhuan li quan gui shu	9
专利权无效	zhuan li quan wu xiao	5
专利权终止	zhuan li quan zhong zhi	8
专利权质押合同	zhuan li quan zhi ya he tong	9
专利权转让	zhuan li quan zhuan rang	12
专利权转让合同	zhuan li quan zhuan rang he tong	10
专利法	zhuan li fa	22
专利法实施细则	zhuan li fa shi shi xi ze	2
专利法条约	zhuan li fa tiao yue	6
专利法研究	zhuan li fa yan jiu	6
专利流氓	zhuan li liu mang	6
专利独立权利要求	zhuan li du li quan li yao qiu	10
专利申请优先权	zhuan li shen qing you xian quan	6
专利申请号标准	zhuan li shen qing hao biao zhun	6
专利申请实施许可合同	zhuan li shen qing shi shi xu ke he tong	6
专利申请权	zhuan li shen qing quan	13
专利申请权人	zhuan li shen qing quan ren	6
专利申请权转让	zhuan li shen qing quan zhuan rang	10
专利申请权转让合同	zhuan li shen qing quan zhuan rang he tong	9
专利的分案申请	zhuan li de fen an shen qing	3
专利知识产权	zhuan li zhi shi chan quan	10
专利终止	zhuan li zhong zhi	4
专利维持	zhuan li wei chi	1
专利联营	zhuan li lian ying	6
专利许可协议	zhuan li xu ke xie yi	2
专利许可贸易	zhuan li xu ke mao yi	8
专利费用减缓办法	zhuan li fei yong jian huan ban fa	6
专利转让	zhuan li zhuan rang	2
专属经济区和大陆架法	zhuan shu jing ji qu he da lu jia fa	8
专有出版发行权	zhuan you chu ban fa xing quan	5
专有出版权	zhuan you chu ban quan	11
专有技术	zhuan you ji shu	8
专有技术秘密	zhuan you ji shu mi mi	4
专有技术许可合同	zhuan you ji shu xu ke he tong	7
专有表演权	zhuan you biao yan quan	4
专权离婚主义	zhuan quan li hun zhu yi	4
专款专用	zhuan kuan zhuan yong	8
专用记账凭证	zhuan yong ji zhang ping zheng	7
专用采访证	zhuan yong cai fang zheng	5
专科学校法	zhuan ke xue xiao fa	7
专约	zhuan yue	11
专营政策	zhuan ying zheng ce	9
专门业务培训	zhuan men ye wu pei xun	10
专门人民检察院	zhuan men ren min jian cha yuan	1
专门人民法院	zhuan men ren min fa yuan	7
专门检察院	zhuan men jian cha yuan	3
专门法庭	zhuan men fa ting	8
专门法院	zhuan men fa yuan	9
专项应急预案	zhuan xiang ying ji yu an	1
专题讲座配套练习	zhuan ti jiang zuo pei tao lian xi	3
世界人权约法总览	shi jie ren quan yue fa zong lan	1
世界动物卫生组织	shi jie dong wu wei sheng zu zhi	43
世界法学家协会	shi jie fa xue jia xie hui	8
世界法律传统	shi jie fa lv chuan tong	3
世界法律名著选读	shi jie fa lv ming zhu xuan du	4
世界法律日	shi jie fa lv ri	5
世界濒危动物红皮书	shi jie bin wei dong wu hong pi shu	5
世界环境法汇编	shi jie huan jing fa hui bian	2
世界知识产权组织	shi jie zhi shi chan quan zu zhi	25
世界贸易组织协议	shi jie mao yi zu zhi xie yi	2
业主临时公约	ye zhu lin shi gong yue	12
业主大会规程	ye zhu da hui gui cheng	9
业主大会议事规则	ye zhu da hui yi shi gui ze	13
业主委员会	ye zhu wei yuan hui	27
业主工程款支付担保	ye zhu gong cheng kuan zhi fu dan bao	10
业主撤销权	ye zhu che xiao quan	2
业主权	ye zhu quan	2
业务分类	ye wu fen lei	3
业权文件	ye quan wen jian	4
业瑜伽	ye yu jia	12
东南欧稳定公约	dong nan ou wen ding gong yue	2
东坡先生墓志铭	dong po xian sheng mu zhi ming	5
东营市中级人民法院	dong ying shi zhong ji ren min fa yuan	9
丞相史	cheng xiang shi	10
丢失枪支不报罪	diu shi qiang zhi bu bao zui	5
两值期权	liang zhi qi quan	2
两全保险	liang quan bao xian	13
两段招标	liang duan zhao biao	5
两非案件	liang fei an jian	5
个人二手住房贷款	ge ren er shou zhu fang dai kuan	8
个人代理人	ge ren dai li ren	11
个人住房加按揭贷款	ge ren zhu fang jia an jie dai kuan	7
个人住房转按揭贷款	ge ren zhu fang zhuan an jie dai kuan	7
个人恐怖犯罪	ge ren kong bu fan zui	5
个人独资企业法	ge ren du zi qi ye fa	11
个人经营	ge ren jing ying	8
个体工商户	ge ti gong shang hu	26
个体工商户纳税	ge ti gong shang hu na shui	7
个体经济法	ge ti jing ji fa	3
个体经济组织	ge ti jing ji zu zhi	13
个体经营	ge ti jing ying	17
个别发行证券	ge bie fa xing zheng quan	3
中世纪西欧骑士制度	zhong shi ji xi ou qi shi zhi du	4
中介服务收费管理办法	zhong jie fu wu shou fei guan li ban fa	7
中位数价格法	zhong wei shu jia ge fa	3
中俄密约	zhong e mi yue	7
中俄续勘喀什噶尔界约	zhong e xu kan ka shi ga er jie yue	7
中保财产保险公司	zhong bao cai chan bao xian gong si	8
中共中央书记处研究室	zhong gong zhong yang shu ji chu yan jiu shi	8
中共中央政法委员会	zhong gong zhong yang zheng fa wei yuan hui	10
中共中央调查部	zhong gong zhong yang diao cha bu	16
