# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一一七中学	yi yi qi zhong xue	1
一中	yi zhong	15
一二九街	yi er jiu jie	7
一二八纪念路	yi er ba ji nian lu	3
一二条社区	yi er tiao she qu	3
一亩园	yi mu yuan	3
一亩园社区	yi mu yuan she qu	4
一人巷	yi ren xiang	3
一公司	yi gong si	13
一公园	yi gong yuan	11
一六一医院	yi liu yi yi yuan	4
一六八医院	yi liu ba yi yuan	1
一分场	yi fen chang	14
一医	yi yi	10
一医院	yi yi yuan	12
一号桥	yi hao qiao	29
一号立井	yi hao li jing	1
一号船闸	yi hao chuan zha	7
一号路	yi hao lu	14
一号路四号大街口	yi hao lu si hao da jie kou	3
一号闸	yi hao zha	6
一品嘉园	yi pin jia yuan	5
一四二中	yi si er zhong	3
一声霹雳	yi sheng pi li	2
一多楼	yi duo lou	5
一字桥	yi zi qiao	2
一建	yi jian	11
一建家属院	yi jian jia shu yuan	4
一德东	yi de dong	4
一德西	yi de xi	5
一德路	yi de lu	19
一斗泉乡	yi dou quan xiang	2
一汽公司	yi qi gong si	2
一清新村	yi qing xin cun	5
一渡	yi du	8
一环路东一段	yi huan lu dong yi duan	6
一环路东三段	yi huan lu dong san duan	7
一环路九里堤路口	yi huan lu jiu li di lu kou	3
一环路北三段	yi huan lu bei san duan	7
一环路北四段	yi huan lu bei si duan	8
一环路南四段	yi huan lu nan si duan	7
一环路大石路口	yi huan lu da shi lu kou	5
一环路建设路口	yi huan lu jian she lu kou	6
一环路新鸿路口	yi huan lu xin hong lu kou	4
一环路菊乐路口	yi huan lu ju le lu kou	1
一环路高升桥东路	yi huan lu gao sheng qiao dong lu	3
一环路高升桥东路口	yi huan lu gao sheng qiao dong lu kou	3
一纬路	yi wei lu	1
一职高	yi zhi gao	2
一节路	yi jie lu	2
一街新村	yi jie xin cun	2
一路吉祥	yi lu ji xiang	5
一轴两翼	yi zhou liang yi	8
一配	yi pei	8
一里坡	yi li po	3
一零四团	yi ling si tuan	4
一马路	yi ma lu	10
丁仁山	ding ren shan	3
丁卯街道	ding mao jie dao	5
丁司垱镇	ding si dang zhen	4
丁各庄	ding ge zhuang	5
丁堰	ding yan	5
丁塘镇	ding tang zhen	4
丁墙	ding qiang	7
丁子路口	ding zi lu kou	1
丁字口	ding zi kou	1
丁字古	ding zi gu	3
丁字桥	ding zi qiao	10
丁字沽	ding zi gu	1
丁字沽一号路	ding zi gu yi hao lu	4
丁字沽三号路	ding zi gu san hao lu	1
丁字沽二号路	ding zi gu er hao lu	3
丁字胡同	ding zi hu tong	3
丁字路口	ding zi lu kou	42
丁家坝	ding jia ba	4
丁家堡	ding jia bao	4
丁家堡村	ding jia bao cun	2
丁家山	ding jia shan	2
丁家山景区	ding jia shan jing qu	4
丁家庄	ding jia zhuang	4
丁家村	ding jia cun	2
丁家桥	ding jia qiao	7
丁家桥村	ding jia qiao cun	2
丁家沟乡	ding jia gou xiang	5
丁家滩	ding jia tan	4
丁山	ding shan	32
丁山乡	ding shan xiang	2
丁庄	ding zhuang	5
丁店	ding dian	6
丁所	ding suo	5
丁杨	ding yang	2
丁桥	ding qiao	12
丁桥镇政府	ding qiao zhen zheng fu	4
丁楼	ding lou	5
丁氏祠堂	ding shi ci tang	2
丁溪	ding xi	1
丁溪村	ding xi cun	3
丁甲庄	ding jia zhuang	4
丁白村	ding bai cun	2
丁白路西口	ding bai lu xi kou	4
丁章胡同	ding zhang hu tong	2
丁营村	ding ying cun	3
丁贤	ding xian	2
丁陂乡	ding bei xiang	2
丁集	ding ji	4
丁青	ding qing	32
丁香公寓	ding xiang gong yu	3
丁香园	ding xiang yuan	18
丁香胡同	ding xiang hu tong	4
丁香街	ding xiang jie	5
丁香路	ding xiang lu	20
七一厂	qi yi chang	3
七一村	qi yi cun	1
七一酱园	qi yi jiang yuan	4
七七街	qi qi jie	2
七二一	qi er yi	14
七井胡同	qi jing hu tong	3
七农场	qi nong chang	8
七前	qi qian	4
七十二团场	qi shi er tuan chang	2
七十二泾	qi shi er jing	4
七十六中	qi shi liu zhong	4
七厂	qi chang	17
七厂十字	qi chang shi zi	7
七台河市	qi tai he shi	47
