# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一一如青虫	yi yi ru qing chong	2
一一生绿苔	yi yi sheng lv tai	4
一万年太久	yi wan nian tai jiu	31
一丘一壑也风流	yi qiu yi he ye feng liu	4
一丛深色花	yi cong shen se hua	4
一为迁客去长沙	yi wei qian ke qu chang sha	4
一举成名天下知	yi ju cheng ming tian xia zhi	7
一举累十觞	yi ju lei shi shang	2
一乡之善士	yi xiang zhi shan shi	1
一事无成百不堪	yi shi wu cheng bai bu kan	3
一二老寡妻	yi er lao gua qi	2
一人口插几张匙	yi ren kou cha ji zhang chi	2
一从大地起风雷	yi cong da di qi feng lei	3
一代新人换旧人	yi dai xin ren huan jiu ren	12
一代繁华地	yi dai fan hua di	2
一任群芳妒	yi ren qun fang du	3
一入凄凉耳	yi ru qi liang er	2
一凶一吉在眼前	yi xiong yi ji zai yan qian	3
一别二十年	yi bie er shi nian	3
一别旧游尽	yi bie jiu you jin	2
一别武功去	yi bie wu gong qu	2
一千五百年间事	yi qian wu bai nian jian shi	2
一卧沧江惊岁晚	yi wo cang jiang jing sui wan	2
一卷冰雪文	yi juan bing xue wen	2
一去一万里	yi qu yi wan li	3
一去三十年	yi qu san shi nian	2
一去可怜终不返	yi qu ke lian zhong bu fan	2
一去无踪迹	yi qu wu zong ji	2
一去紫台连朔漠	yi qu zi tai lian shuo mo	1
一受其成形	yi shou qi cheng xing	2
一句十回吟	yi ju shi hui yin	3
一叫一回肠一断	yi jiao yi hui chang yi duan	2
一可以为法则	yi ke yi wei fa ze	3
一叶浮萍归大海	yi ye fu ping gui da hai	1
一叶轻舟寄渺茫	yi ye qing zhou ji miao mang	2
一叶随风忽报秋	yi ye sui feng hu bao qiu	2
一吟双泪流	yi yin shuang lei liu	5
一唱雄鸡天下白	yi chang xiong ji tian xia bai	1
一国之善士	yi guo zhi shan shi	3
一场寂寞凭谁诉	yi chang ji mo ping shui su	2
一城之人皆若狂	yi cheng zhi ren jie ruo kuang	5
一声何满子	yi sheng he man zi	2
一声吹断横笛	yi sheng chui duan heng di	2
一夕轻雷落万丝	yi xi qing lei luo wan si	2
一夕高楼月	yi xi gao lou yue	3
一夜乡心五处同	yi ye xiang xin wu chu tong	2
一夜到江涨	yi ye dao jiang zhang	2
一夜好风吹	yi ye hao feng chui	4
一夜征人尽望乡	yi ye zheng ren jin wang xiang	1
一夜梦中香	yi ye meng zhong xiang	2
一夜飞度镜湖月	yi ye fei du jing hu yue	3
一夜鱼龙舞	yi ye yu long wu	6
一夫作难而七庙隳	yi fu zuo nan er qi miao hui	3
一字偕华星	yi zi xie hua xing	3
一字至七字诗	yi zi zhi qi zi shi	3
一宵冷雨葬名花	yi xiao leng yu zang ming hua	3
一家二十口	yi jia er shi kou	2
一寸相思一寸灰	yi cun xiang si yi cun hui	6
一寸荒田牛得耕	yi cun huang tian niu de geng	3
一射两虎穿	yi she liang hu chuan	2
一尊还酹江月	yi zun huan lei jiang yue	4
一山飞峙大江边	yi shan fei zhi da jiang bian	4
一岁一枯荣	yi sui yi ku rong	17
一川碎石大如斗	yi chuan sui shi da ru dou	1
一州笑我为狂客	yi zhou xiao wo wei kuang ke	2
一年一年老去	yi nian yi nian lao qu	3
一年一度秋风劲	yi nian yi du qiu feng jing	1
一年三百六十日	yi nian san bai liu shi ri	5
一年好景君须记	yi nian hao jing jun xu ji	5
一年居梓州	yi nian ju zi zhou	3
一年强半在城中	yi nian qiang ban zai cheng zhong	2
一年明月今宵多	yi nian ming yue jin xiao duo	2
一年春好处	yi nian chun hao chu	1
一年颜状镜中来	yi nian yan zhuang jing zhong lai	2
一度欲离别	yi du yu li bie	3
一弦一柱思华年	yi xian yi zhu si hua nian	15
一弹指顷去来今	yi tan zhi qing qu lai jin	2
一往情深深几许	yi wang qing shen shen ji xu	5
一心愁谢如枯兰	yi xin chou xie ru ku lan	2
一悟得所遣	yi wu de suo qian	2
一愿郎君千岁	yi yuan lang jun qian sui	2
一截还东国	yi jie huan dong guo	5
一拔何亏大圣毛	yi ba he kui da sheng mao	2
一摘使瓜好	yi zhai shi gua hao	3
一斗合自然	yi dou he zi ran	2
一斛荐槟榔	yi hu jian bin lang	3
一方黑照三方紫	yi fang hei zhao san fang zi	2
一日上树能千回	yi ri shang shu neng qian hui	3
