# 编码	词频（wordfreq 英文 Zipf × 1000）
a	7360
aardvark	2390
aback	2990
abacus	2650
abacuses	1120
abandon	4019
abandoned	4400
abandoning	3510
abandonment	3400
abandons	2960
abate	2680
abated	2590
abates	1750
abating	2270
abbey	3880
abbeys	2270
abbot	3430
abbots	2430
abbreviate	2230
abbreviated	3190
abbreviates	1450
abbreviating	1770
abbreviation	3140
abbreviations	3040
abdicate	2660
abdicated	2580
abdicates	1860
abdicating	2050
abdication	2800
abdications	1010
abdomen	3560
abdomens	1950
abdominal	3580
abduct	2740
abducted	3560
abducting	2550
abducts	2050
aberration	2980
aberrations	2630
abet	2410
abets	1620
abetted	2560
abetting	2820
abhor	2640
abhorred	2310
abhorrence	2190
abhorrent	2970
abhorring	1360
abhors	2280
abide	3590
abides	2550
abiding	3450
abilities	4210
ability	4960
abject	3000
ablaze	2930
able	5430
abler	1290
ablest	1890
ably	2670
abnormal	3710
abnormalities	3310
abnormality	2890
abnormally	3070
aboard	4140
abode	3130
abodes	2029
abolish	3480
abolished	3620
abolishes	2190
abolishing	3100
abolition	3510
abominable	2850
abomination	3130
aboriginal	3780
aborigine	2110
aborigines	2950
abort	3270
aborted	3180
aborting	2410
abortion	4240
abortions	3530
abortive	2670
aborts	2070
abound	3270
abounded	2410
abounding	2480
abounds	2700
about	6400
above	5200
aboveboard	1660
abrasive	3220
abrasives	2440
abreast	2950
abridge	1950
abridged	3010
abridges	1200
abridging	1950
abroad	4390
abrupt	3380
abrupter	0
abruptest	0
abruptly	3560
abscess	2810
abscessed	1610
abscesses	2420
abscessing	0
abscond	2070
absconded	2370
absconding	2210
absconds	1660
absence	4340
absences	3010
absent	3980
absented	1550
absentee	3170
absentees	2300
absenting	1190
absents	1240
absolute	4540
absolutely	4980
absolutes	2430
absolutest	0
absolve	2830
absolved	2690
absolves	2120
absolving	2170
absorb	3810
absorbed	3920
absorbent	2810
absorbents	1440
absorbing	3500
absorbs	3180
absorption	3660
abstain	3070
abstained	2780
abstaining	2690
abstains	1940
abstention	2510
abstentions	2460
abstinence	3180
abstract	4140
abstracted	2840
abstracting	2560
abstraction	3300
abstractions	2750
abstracts	3110
abstruse	2130
absurd	3950
absurder	0
absurdest	0
absurdities	2440
absurdity	3210
absurdly	2950
abundance	3860
abundances	2320
abundant	3770
abundantly	3110
abuse	4660
abused	4000
abusers	3250
abuses	3690
abusing	3620
abusive	3870
abysmal	2920
abyss	3400
abysses	1640
academic	4570
academically	3180
academics	3780
academies	3340
academy	4570
accede	2500
acceded	2580
accedes	1560
acceding	1980
accelerate	3660
accelerated	3750
accelerates	2970
accelerating	3460
acceleration	3730
accelerations	2190
accelerator	3420
accelerators	2770
accent	4140
accented	2900
accenting	1790
accents	3570
accentuate	2760
accentuated	2730
accentuates	2360
accentuating	2230
accept	4850
acceptability	2620
acceptable	4270
acceptably	2210
acceptance	4160
acceptances	2360
accepted	4670
accepting	4180
accepts	3880
access	5050
accessed	3890
accesses	2680
accessibility	3510
accessible	4180
accessing	3480
accessories	3950
accessory	3630
accident	4710
accidental	3820
accidentally	4220
accidentals	1800
accidents	4160
acclaim	3290
acclaimed	3700
acclaiming	1400
acclaims	1490
acclimate	2330
acclimated	2470
acclimates	1130
acclimating	1850
acclimatise	1760
acclimatised	1740
acclimatises	0
acclimatising	1280
acclimatize	1790
acclimatized	1880
acclimatizes	0
acclimatizing	1310
accolade	2820
accolades	3170
accommodate	4019
accommodated	3160
accommodates	2820
accommodating	3250
accommodation	4059
accommodations	3480
accompanied	4250
accompanies	3200
accompaniment	3220
accompaniments	2330
accompanist	2300
accompanists	1500
accompany	3810
accompanying	3850
accomplice	3220
accomplices	3030
accomplish	4050
accomplished	4150
accomplishes	2850
accomplishing	3230
accomplishment	3690
accomplishments	3750
accord	3810
accordance	4130
accorded	3020
according	5280
accordingly	4019
accordion	3090
accordions	1920
accords	3140
accost	1960
accosted	2660
accosting	1880
accosts	1510
account	5210
accountability	3910
accountable	3900
accountancy	3100
accountant	3760
accountants	3470
accounted	3820
accounting	4290
accounts	4730
accrue	2910
accrued	3140
accrues	2220
accruing	2580
accumulate	3480
accumulated	3700
accumulates	2880
accumulating	3230
accumulation	3590
accumulations	2540
accuracies	1920
accuracy	4240
accurate	4570
accurately	3990
accusation	3600
accusations	3850
accuse	3710
accused	4460
accuser	2990
accusers	2860
accuses	3420
accusing	3740
accustom	2060
accustomed	3640
accustoming	1130
accustoms	0
ace	4110
aced	2610
aces	3390
ache	3430
ached	2410
aches	3280
achievable	3210
achieve	4570
achieved	4490
achievement	4360
achievements	4059
achieves	3330
achieving	4030
aching	3290
acid	4450
acidity	3200
acids	3850
acing	2020
acknowledge	4180
acknowledged	4080
acknowledgement	3320
acknowledgements	2430
acknowledges	3530
acknowledging	3650
acknowledgment	3110
acknowledgments	2260
acne	3660
acorn	3080
acorns	2810
acoustic	3980
acoustics	3100
acquaint	2510
acquaintance	3550
acquaintances	3400
acquainted	3510
acquainting	1800
acquaints	1410
acquiesce	2480
acquiesced	2420
acquiescence	2470
acquiesces	1650
acquiescing	1900
acquire	4130
acquired	4400
acquires	3290
acquiring	3800
acquisition	4260
acquisitions	3690
acquit	2580
acquits	1970
acquittal	3040
acquittals	1990
acquitted	3440
acquitting	1830
acre	3930
acreage	3050
acreages	1740
acres	4170
acrid	2370
acrider	0
acridest	0
acrimonious	2550
acrimony	2340
acrobat	2720
acrobatic	2810
acrobatics	2750
acrobats	2510
acronym	3380
acronyms	2870
across	5250
acrylic	3420
acrylics	2570
act	5300
acted	4280
acting	4820
action	5250
actions	4820
activate	3760
activated	4010
activates	3180
activating	3260
active	4930
