# mine 结果经虚词规则 + 相邻字对 PMI≥3 过滤。词	次数
一个	629228
看到	187356
回家	114741
有点	109044
第二	102002
这种	101560
一次	85201
两个	79757
下次	78225
个月	77769
每天	76651
近地	68057
一种	65833
几天	62066
不行	58465
基特	57777
只能	57710
特峰	57384
基特峰	57240
干嘛	55839
不敢	54165
不懂	53276
不同	52719
第三	48325
为啥	48216
每次	46095
尔省	46061
大区	45529
找到	45429
二十	45277
木有	42568
看着	41727
那种	41297
科罗	41076
几个	40798
索科	40367
索科罗	40061
两天	39792
莱蒙	39616
该地	38836
蒙山	38543
莱蒙山	38442
十二	37305
在哪	37274
遇到	36065
一句	35493
今晚	34994
千玺	34522
错了	34093
利亚	33542
第十	33350
挺好	33156
不够	32462
忘了	32288
祝你	32002
该国	31769
尼亚	31711
等着	30166
句话	30062
一颗	29688
斯特	29437
列表	28525
对呀	28499
一条	28460
烊千	28449
烊千玺	28427
十三	28291
易烊	28288
卢瓦	28178
易烊千	28113
易烊千玺	28094
最大	28040
最高	27835
没见	27727
瓦尔	27569
于时	27398
这边	27374
或旧	27261
长得	26589
见过	26168
么哒	25782
另一	25711
三十	25691
么么哒	25392
一座	25104
有空	24948
一位	24702
林那	24063
第四	24051
上次	23617
一段	22705
这几	22467
阿尔	22458
一个月	22427
提出	22308
奥林	22166
想问	22153
林匹	21920
奥林匹	21752
深圳	21647
匹克	21579
单曲	21545
林匹克	21511
这句	21497
奥林匹克	21345
年至	20817
快来	20298
见到	20135
新增	20054
女孩	19884
北起	19882
快点	19725
号线	19536
更多	19315
十五	19264
二次	19221
一场	19188
卢瓦尔	19160
四年	19154
尔斯	19099
进去	18908
帕洛	18895
而该	18894
洛马	18882
马山	18875
恩省	18868
去哪	18679
帕洛马	18616
帕洛马山	18583
洛马山	18583
来找	18256
十八	18115
看完	18057
喝酒	18021
第五	17912
而该地	17892
十四	17828
最爱	17692
学姐	17634
没钱	17514
镇区	17226
十六	17170
曾任	17142
想起	17115
下雪	16760
格兰	16750
东临	16749
听到	16655
五年	16612
四十	16586
男神	16453
克斯	16381
这几天	16300
阿拉	16149
比利	16107
吃完	16102
座标	15840
维尔	15733
厄尔	15668
首歌	15655
星等	15477
标为	15462
并于	15417
这句话	15411
厦门	15398
座标为	15322
笑死	15162
玩家	15139
第二次	15120
莱茵	15057
博主	15047
尔特	15017
一块	14852
清朝	14756
瓦尔省	14747
带着	14625
两次	14587
南至	14572
一件	14418
将其	14356
变得	14327
第六	14323
学家	14152
建于	14084
鹿晗	14026
透过	14004
卢瓦尔省	13900
纽约	13801
小孩	13794
尔德	13749
西接	13700
十七	13663
点半	13633
块钱	13612
卡尔	13526
个字	13421
六年	13391
拉斯	13362
最棒	13260
过几	13191
昭和	13170
几点	13155
一份	13110
日至	13076
兹省	13035
青岛	13026
一顿	13012
十九	13004
床上	12899
差点	12890
一遍	12849
淡定	12792
啥子	12752
没见过	12751
纳省	12751
三届	12736
颜值	12724
斯省	12583
贝尔	12555
肿么	12479
巴西	12442
龙省	12416
举人	12326
最美	12252
哪天	12205
这首	12092
看书	11933
乡试	11842
狗粮	11830
泽尔	11799
第七	11715
省级	11634
早睡	11584
日起	11573
考完	11569
比亚	11559
知县	11499
五十	11468
活着	11419
回事	11394
前几	11365
疯了	11268
网红	11235
室友	11218
第十三	11216
半个	11174
瑞士	11172
梦到	11147
