# 词	音节	词频
的	de	100000
我	wo	90000
是	shi	85000
你	ni	80000
不	bu	80000
了	le	75000
他	ta	70000
在	zai	70000
有	you	68000
人	ren	60000
这	zhe	60000
个	ge	60000
中	zhong	50000
大	da	50000
来	lai	45000
上	shang	45000
国	guo	40000
到	dao	40000
说	shuo	40000
们	men	40000
和	he	40000
她	ta	40000
为	wei	38000
子	zi	30000
时	shi	30000
好	hao	30000
事	shi	25000
生	sheng	25000
它	ta	20000
十	shi	20000
开	kai	20000
学	xue	20000
天	tian	20000
发	fa	18000
法	fa	15000
西	xi	15000
机	ji	15000
电	dian	15000
方	fang	12000
安	an	12000
明	ming	12000
再	zai	12000
先	xian	10000
气	qi	10000
见	jian	10000
现	xian	9000
放	fang	8000
计	ji	8000
入	ru	8000
下	xia	8000
想	xiang	9000
算	suan	7000
饭	fan	6000
输	shu	5000
习	xi	5000
谢	xie	5000
脑	nao	4000
一个	yi ge	25000
我们	wo men	25000
中国	zhong guo	20000
可以	ke yi	20000
什么	shen me	20000
这个	zhe ge	18000
没有	mei you	18000
他们	ta men	15000
现在	xian zai	15000
知道	zhi dao	15000
开始	kai shi	12000
你好	ni hao	12000
今天	jin tian	12000
时间	shi jian	12000
工作	gong zuo	12000
问题	wen ti	12000
因为	yin wei	12000
但是	dan shi	12000
怎么	zen me	12000
那个	na ge	12000
时候	shi hou	11000
你们	ni men	10000
学习	xue xi	10000
如果	ru guo	10000
所以	suo yi	10000
喜欢	xi huan	10000
东西	dong xi	10000
已经	yi jing	10000
公司	gong si	10000
开发	kai fa	9000
先生	xian sheng	9000
学生	xue sheng	9000
谢谢	xie xie	9000
朋友	peng you	9000
觉得	jue de	9000
还是	hai shi	9000
发展	fa zhan	9000
地方	di fang	9000
开心	kai xin	8000
中文	zhong wen	8000
学校	xue xiao	8000
明天	ming tian	8000
事情	shi qing	8000
生活	sheng huo	8000
发现	fa xian	8000
方法	fang fa	8000
电脑	dian nao	7000
天气	tian qi	7000
系统	xi tong	7000
电影	dian ying	7000
中间	zhong jian	6000
显示	xian shi	6000
再见	zai jian	6000
昨天	zuo tian	6000
语言	yu yan	6000
英语	ying yu	6000
网络	wang luo	6000
数据	shu ju	6000
项目	xiang mu	6000
电话	dian hua	6000
开放	kai fang	5000
计算机	ji suan ji	5000
输入	shu ru	5000
程序	cheng xu	5000
软件	ruan jian	5000
电视	dian shi	5000
西安	xi an	4000
开会	kai hui	4000
计算	ji suan	4000
生日	sheng ri	4000
拼音	pin yin	4000
翻译	fan yi	4000
代码	dai ma	4000
现实	xian shi	4000
智能	zhi neng	3500
开发者	kai fa zhe	3000
输入法	shu ru fa	3000
汉语	han yu	3000
单词	dan ci	3000
日语	ri yu	3000
机器	ji qi	3000
人工智能	ren gong zhi neng	3000
西方	xi fang	3000
程序员	cheng xu yuan	2500
机器人	ji qi ren	2500
输出	shu chu	2500
词典	ci dian	2000
硬件	ying jian	2000
计算器	ji suan qi	1500
开饭	kai fan	800
先前	xian qian	800
