# 词	[词性. ]译文	[词性. ]译文
我	pron. I
你	pron. you
他	pron. he
她	pron. she
它	pron. it
是	v. be
不	adv. not
有	v. have
人	n. person
大	adj. big
好	adj. good
天	n. day	n. sky
学	v. learn
开	v. open
发	v. send	v. emit
说	v. say
来	v. come
中	n. middle
国	n. country
电	n. electricity
时	n. time
事	n. matter
十	num. ten
想	v. think	v. want
下	prep. under	v. go down
开发	v. develop	n. development
开发者	n. developer
开放	v. open up	adj. open
开饭	v. serve a meal
开始	v. begin	n. start
开心	adj. happy
开会	v. hold a meeting
中文	n. Chinese (language)
中国	n. China
中间	n. middle
西安	n. Xi'an
现在	adv. now	n. present
先生	n. mister	n. gentleman
显示	v. display	n. display
学习	v. study	n. learning
学生	n. student
学校	n. school
电脑	n. computer
计算机	n. computer
计算	v. calculate	n. calculation
计算器	n. calculator
输入	v. input	n. input
输入法	n. input method
你好	int. hello
谢谢	int. thanks	v. thank
再见	int. goodbye
天气	n. weather
明天	n. tomorrow
今天	n. today
昨天	n. yesterday
我们	pron. we
他们	pron. they
你们	pron. you (plural)
时间	n. time
时候	n. moment
事情	n. matter	n. affair
汉语	n. Chinese (language)
拼音	n. pinyin
翻译	v. translate	n. translation
单词	n. word
词典	n. dictionary
语言	n. language
英语	n. English
日语	n. Japanese
程序	n. program
程序员	n. programmer
代码	n. code
软件	n. software
硬件	n. hardware
系统	n. system
网络	n. network
数据	n. data
项目	n. project
工作	n. work	v. work
公司	n. company
问题	n. question	n. problem
朋友	n. friend
喜欢	v. like
可以	v. can	adj. OK
知道	v. know
因为	conj. because
所以	conj. therefore
但是	conj. but
如果	conj. if
什么	pron. what
怎么	adv. how
这个	pron. this
那个	pron. that
一个	num. one
没有	v. not have	adv. not
觉得	v. feel	v. think
已经	adv. already
还是	adv. still	conj. or
机器	n. machine
机器人	n. robot
人工智能	n. artificial intelligence
智能	n. intelligence	adj. smart
生活	n. life	v. live
生日	n. birthday
输出	v. output	n. output
发展	v. develop	n. development
发现	v. discover	n. discovery
方法	n. method
地方	n. place
西方	n. the West
东西	n. thing
现实	n. reality	adj. realistic
电话	n. telephone
电影	n. movie
电视	n. television
